Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Augsburg,1,5.0,14,1,0,0,0,10.1,0.37,-3.9,-0.77,23,60,38.3,127,33,31.5,31.7,63,3,4.8,6,1.2,13.7
Bayern Munich,2,5.0,4,1,0,1,0,2.5,0.21,-1.5,-0.29,18,38,47.4,225,24,16.4,28.2,39,2,5.1,10,2.0,12.3
Bochum,1,5.0,11,1,0,0,0,10.7,0.35,-0.3,-0.06,64,140,45.7,165,16,57.6,38.2,97,6,6.2,9,1.8,13.1
Dortmund,1,5.0,9,1,0,1,0,7.9,0.34,-1.1,-0.22,12,35,34.3,169,20,17.2,24.3,73,1,1.4,4,0.8,12.2
Eint Frankfurt,2,5.0,6,1,0,1,0,5.6,0.19,-0.4,-0.09,20,63,31.7,141,29,34.8,30.8,99,7,7.1,8,1.6,11.5
Freiburg,2,5.0,7,1,0,1,0,5.8,0.4,-1.2,-0.23,25,82,30.5,169,18,40.8,37.8,57,2,3.5,8,1.6,13.8
Gladbach,2,5.0,8,0,0,1,0,8.8,0.3,0.8,0.16,29,58,50.0,203,23,24.6,30.2,61,2,3.3,7,1.4,17.8
Heidenheim,1,5.0,7,1,0,0,0,5.7,0.33,-1.3,-0.25,30,73,41.1,145,21,33.1,33.8,84,3,3.6,4,0.8,13.4
Hoffenheim,1,5.0,15,1,0,3,0,15.2,0.48,0.2,0.03,22,67,32.8,132,24,42.4,36.0,76,3,3.9,6,1.2,15.6
Holstein Kiel,1,5.0,17,2,1,2,1,12.1,0.29,-3.9,-0.78,30,76,39.5,164,31,42.7,33.2,89,8,9.0,1,0.2,8.4
Leverkusen,2,5.0,10,0,0,1,1,5.7,0.25,-3.3,-0.67,20,43,46.5,109,19,30.3,30.2,49,3,6.1,7,1.4,15.1
Mainz 05,1,5.0,10,1,1,1,0,9.8,0.29,-0.2,-0.05,29,89,32.6,130,29,46.9,38.6,124,10,8.1,14,2.8,15.4
RB Leipzig,1,5.0,2,0,0,0,0,4.4,0.17,2.4,0.48,9,24,37.5,127,20,16.5,27.2,59,4,6.8,3,0.6,12.4
St. Pauli,1,5.0,6,0,0,2,0,8.0,0.31,2.0,0.4,32,85,37.6,182,19,39.0,35.2,75,4,5.3,4,0.8,16.7
Stuttgart,1,5.0,10,1,0,1,0,8.9,0.36,-1.1,-0.23,22,58,37.9,191,23,28.3,30.2,48,2,4.2,5,1.0,16.5
Union Berlin,1,5.0,3,0,1,0,0,3.1,0.18,0.1,0.01,30,78,38.5,128,24,46.1,36.0,71,3,4.2,3,0.6,11.5
Werder Bremen,1,5.0,11,0,0,0,0,9.4,0.41,-1.6,-0.32,16,47,34.0,137,28,27.7,32.5,76,6,7.9,3,0.6,12.9
Wolfsburg,1,5.0,11,1,0,3,1,11.5,0.33,1.5,0.3,44,137,32.1,166,15,68.7,43.4,56,0,0.0,0,0.0,10.8
