Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%
Augsburg,1,5,5,450,5.0,14,2.8,25,11,48.0,0.0,1,1,3,0,0.0
Bayern Munich,2,5,5,450,5.0,4,0.8,8,4,62.5,0.0,4,1,0,2,40.0
Bochum,1,5,5,450,5.0,11,2.2,28,17,64.3,0.0,0,1,4,0,0.0
Dortmund,1,5,5,450,5.0,9,1.8,21,12,61.9,0.0,3,1,1,2,40.0
Eint Frankfurt,2,5,5,450,5.0,6,1.2,24,18,79.2,0.0,4,0,1,1,20.0
Freiburg,2,5,5,450,5.0,7,1.4,13,6,53.8,0.0,3,0,2,1,20.0
Gladbach,2,5,5,450,5.0,8,1.6,27,18,70.4,100.0,2,0,3,2,40.0
Heidenheim,1,5,5,450,5.0,7,1.4,15,8,60.0,0.0,3,0,2,3,60.0
Hoffenheim,1,5,5,450,5.0,15,3.0,32,17,56.3,0.0,1,0,4,0,0.0
Holstein Kiel,1,5,5,450,5.0,17,3.4,37,21,59.5,0.0,0,1,4,0,0.0
Leverkusen,2,5,5,450,5.0,10,2.0,23,14,56.5,,3,1,1,0,0.0
Mainz 05,1,5,5,450,5.0,10,2.0,33,23,72.7,0.0,1,2,2,0,0.0
RB Leipzig,1,5,5,450,5.0,2,0.4,21,18,90.5,100.0,3,2,0,4,80.0
St. Pauli,1,5,5,450,5.0,6,1.2,23,16,73.9,100.0,1,1,3,2,40.0
Stuttgart,1,5,5,450,5.0,10,2.0,24,14,62.5,0.0,2,2,1,0,0.0
Union Berlin,1,5,5,450,5.0,3,0.6,12,8,75.0,100.0,2,2,1,2,40.0
Werder Bremen,1,5,5,450,5.0,11,2.2,23,12,52.2,,2,2,1,1,20.0
Wolfsburg,1,5,5,450,5.0,11,2.2,30,19,66.7,50.0,1,1,3,1,20.0
