Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,23,5.0,16,1,0,53,55,6,127,38,36,1,1,0,186,77,82,48.4
Bayern Munich,21,5.0,9,0,0,59,51,3,78,40,46,1,2,0,249,68,45,60.2
Bochum,19,5.0,11,0,0,69,44,8,71,44,52,0,1,0,178,97,87,52.7
Dortmund,19,5.0,14,1,1,52,47,7,100,34,40,1,1,0,188,72,50,59.0
Eint Frankfurt,22,5.0,7,0,0,53,44,6,85,38,38,0,1,0,187,65,64,50.4
Freiburg,24,5.0,6,0,0,38,60,18,98,51,54,1,1,0,214,75,94,44.4
Gladbach,20,5.0,7,0,0,58,47,17,91,50,53,0,1,0,198,67,75,47.2
Heidenheim,20,5.0,11,1,0,64,46,7,78,44,53,1,1,0,206,104,92,53.1
Hoffenheim,22,5.0,13,1,0,56,67,6,106,24,53,1,1,0,177,66,92,41.8
Holstein Kiel,22,5.0,9,1,1,64,63,8,88,47,47,1,2,1,199,94,90,51.1
Leverkusen,21,5.0,12,0,0,45,52,5,98,34,49,2,0,1,202,61,43,58.7
Mainz 05,20,5.0,14,2,2,56,43,9,96,43,37,1,1,0,156,91,91,50.0
RB Leipzig,20,5.0,6,1,0,42,59,11,83,43,56,1,1,0,235,77,49,61.1
St. Pauli,19,5.0,11,0,0,54,51,9,88,36,41,0,1,0,214,91,122,42.7
Stuttgart,21,5.0,10,1,1,48,57,10,86,45,33,1,1,0,208,57,52,52.3
Union Berlin,19,5.0,13,0,0,73,57,6,91,36,44,0,1,0,183,79,105,42.9
Werder Bremen,20,5.0,7,1,0,51,59,12,90,45,50,1,0,0,177,54,50,51.9
Wolfsburg,20,5.0,20,1,0,67,60,7,73,45,50,1,2,1,189,69,81,46.0
