Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Augsburg,23,5.0,2420,2156,258,62,6,10,127,108,36,16,15,0,1912,6,62
Bayern Munich,21,5.0,3867,3661,203,54,18,12,78,93,29,17,2,1,3437,3,48
Bochum,19,5.0,1851,1595,248,62,8,6,71,95,14,8,5,0,1326,8,33
Dortmund,19,5.0,3019,2785,227,64,3,15,100,85,36,16,11,3,2594,7,45
Eint Frankfurt,22,5.0,2091,1880,205,46,7,14,85,79,29,8,19,0,1696,6,42
Freiburg,24,5.0,2475,2228,229,61,6,16,98,96,28,11,17,0,1922,18,53
Gladbach,20,5.0,2926,2688,221,53,11,18,91,103,19,6,11,0,2407,17,55
Heidenheim,20,5.0,1971,1732,232,48,3,12,78,110,17,7,10,0,1443,7,49
Hoffenheim,22,5.0,2282,2040,236,70,11,13,106,85,23,8,8,1,1800,6,46
Holstein Kiel,22,5.0,2151,1903,240,64,3,13,88,101,18,7,8,0,1648,8,39
Leverkusen,21,5.0,3113,2878,230,59,9,13,98,79,41,13,12,0,2673,5,52
Mainz 05,20,5.0,1973,1724,240,45,3,8,96,103,28,10,11,4,1445,9,42
RB Leipzig,20,5.0,3126,2897,218,65,15,7,83,93,26,13,7,0,2611,11,57
St. Pauli,19,5.0,2346,2110,227,60,4,13,88,102,20,4,9,0,1754,9,52
Stuttgart,21,5.0,2968,2730,228,71,4,13,86,97,25,8,13,0,2493,10,51
Union Berlin,19,5.0,2069,1822,241,64,2,7,91,108,28,15,8,0,1493,6,46
Werder Bremen,20,5.0,2417,2181,224,69,4,20,90,78,18,4,9,0,1958,12,39
Wolfsburg,20,5.0,1744,1477,260,72,3,11,73,115,16,14,1,0,1231,7,36
