Squad,# Pl,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Augsburg,23,5.0,1912,2420,79.0,36000,13940,720,829,86.9,935,1070,87.4,212,384,55.2,6,5.0,7.6,1.0,56,159,44,13,220
Bayern Munich,21,5.0,3437,3867,88.9,56419,18836,1730,1863,92.9,1450,1566,92.6,208,325,64.0,10,8.5,10.2,1.5,74,293,66,7,314
Bochum,19,5.0,1326,1851,71.6,25886,11618,489,597,81.9,611,761,80.3,170,365,46.6,3,3.1,3.2,-0.1,46,100,31,13,131
Dortmund,19,5.0,2594,3019,85.9,44213,15547,1236,1345,91.9,1115,1241,89.8,200,316,63.3,9,6.4,6.3,2.6,64,182,44,9,242
Eint Frankfurt,22,5.0,1696,2091,81.1,30634,11770,749,824,90.9,716,814,88.0,191,344,55.5,9,9.2,7.5,-0.2,58,120,45,7,161
Freiburg,24,5.0,1922,2475,77.7,35213,12735,777,898,86.5,890,1040,85.6,198,386,51.3,5,5.2,6.7,-0.2,52,158,40,10,194
Gladbach,20,5.0,2407,2926,82.3,40091,14175,1156,1275,90.7,1003,1156,86.8,182,326,55.8,4,6.8,6.3,-2.8,60,162,46,14,172
Heidenheim,20,5.0,1443,1971,73.2,28144,11480,542,677,80.1,669,803,83.3,192,363,52.9,7,5.7,4.6,1.3,42,99,33,11,119
Hoffenheim,22,5.0,1800,2282,78.9,32785,12319,781,885,88.2,786,924,85.1,188,350,53.7,5,4.6,6.0,0.4,44,162,38,12,180
Holstein Kiel,22,5.0,1648,2151,76.6,30939,12643,679,769,88.3,740,886,83.5,200,400,50.0,5,4.0,3.5,1.0,43,94,28,13,129
Leverkusen,21,5.0,2673,3113,85.9,42341,14554,1422,1554,91.5,964,1082,89.1,202,321,62.9,8,6.7,9.2,1.3,69,234,52,12,246
Mainz 05,20,5.0,1445,1973,73.2,26720,10760,647,765,84.6,576,721,79.9,187,372,50.3,4,4.0,5.6,0.0,37,128,38,12,144
RB Leipzig,20,5.0,2611,3126,83.5,43986,15336,1184,1354,87.4,1185,1329,89.2,192,313,61.3,7,6.2,6.5,0.8,52,196,49,7,230
St. Pauli,19,5.0,1754,2346,74.8,33147,13138,689,832,82.8,829,983,84.3,208,420,49.5,4,4.1,4.2,-0.1,44,142,29,7,175
Stuttgart,21,5.0,2493,2968,84.0,43265,15380,1179,1295,91.0,1081,1216,88.9,201,351,57.3,9,6.9,7.1,2.1,60,185,40,14,208
Union Berlin,19,5.0,1493,2069,72.2,26800,11601,679,807,84.1,585,752,77.8,177,375,47.2,2,2.3,3.7,-0.3,37,110,34,8,135
Werder Bremen,20,5.0,1958,2417,81.0,35610,12382,810,913,88.7,885,1033,85.7,211,344,61.3,6,4.2,6.1,1.8,37,134,65,20,186
Wolfsburg,20,5.0,1231,1744,70.6,22181,8920,565,667,84.7,474,616,76.9,142,344,41.3,7,4.5,3.8,2.5,40,117,22,9,131
