Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,23,5.0,7,79,18,22.8,15.8,3.6,0.09,0.39,16.4,2,0,1,7.9,7.1,0.09,-0.9,-0.1
Bayern Munich,21,5.0,15,91,31,34.1,18.2,6.2,0.14,0.42,16.2,2,2,2,11.5,10.0,0.11,3.5,3.0
Bochum,19,5.0,5,62,18,29.0,12.4,3.6,0.08,0.28,19.5,1,0,0,4.5,4.5,0.08,0.5,0.5
Dortmund,19,5.0,11,70,24,34.3,14.0,4.8,0.13,0.38,16.9,0,2,2,8.8,7.3,0.11,2.2,1.7
Eint Frankfurt,22,5.0,11,76,28,36.8,15.2,5.6,0.13,0.36,15.7,2,1,1,10.8,10.0,0.13,0.2,0.0
Freiburg,24,5.0,8,73,22,30.1,14.6,4.4,0.11,0.36,16.9,2,0,2,9.4,7.9,0.12,-1.4,0.1
Gladbach,20,5.0,6,76,28,36.8,15.2,5.6,0.08,0.21,16.1,1,0,0,8.7,8.7,0.12,-2.7,-2.7
Heidenheim,20,5.0,10,50,20,40.0,10.0,4.0,0.16,0.4,16.5,1,2,2,7.8,6.2,0.13,2.2,1.8
Hoffenheim,22,5.0,9,63,22,34.9,12.6,4.4,0.13,0.36,18.6,4,1,1,7.0,6.2,0.1,2.0,1.8
Holstein Kiel,22,5.0,7,58,20,34.5,11.6,4.0,0.1,0.3,18.3,3,1,1,5.8,5.0,0.09,1.2,1.0
Leverkusen,21,5.0,14,92,34,37.0,18.4,6.8,0.14,0.38,17.3,2,1,2,10.4,8.6,0.1,3.6,4.4
Mainz 05,20,5.0,8,52,18,34.6,10.4,3.6,0.13,0.39,17.0,4,1,1,6.1,5.3,0.1,1.9,1.7
RB Leipzig,20,5.0,8,62,20,32.3,12.4,4.0,0.13,0.4,16.6,1,0,1,7.4,6.6,0.11,0.6,1.4
St. Pauli,19,5.0,4,57,15,26.3,11.4,3.0,0.07,0.27,16.9,3,0,0,4.7,4.7,0.08,-0.7,-0.7
Stuttgart,21,5.0,14,83,32,38.6,16.6,6.4,0.17,0.44,16.6,4,0,1,11.6,10.7,0.13,2.4,3.3
Union Berlin,19,5.0,4,57,17,29.8,11.4,3.4,0.07,0.24,18.6,2,0,0,4.1,4.1,0.07,-0.1,-0.1
Werder Bremen,20,5.0,8,52,19,36.5,10.4,3.8,0.13,0.37,14.9,2,1,1,6.6,6.2,0.12,1.4,0.8
Wolfsburg,20,5.0,9,54,15,27.8,10.8,3.0,0.15,0.53,18.7,1,1,1,6.5,5.7,0.11,2.5,2.3
