Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,G+A-PK,xG+xAG
Augsburg,23,27.3,53.6,5,55,450,5.0,7,1.4,6,1.2,13,2.6,7,1.4,0,1,16,1,7.9,1.58,7.1,1.43,5.0,1.0,12.1,2.43,73,220,2.6,2.58
Bayern Munich,21,27.8,68.8,5,55,450,5.0,15,3.0,10,2.0,25,5.0,13,2.6,2,2,9,0,11.5,2.3,10.0,2.0,8.5,1.71,18.5,3.7,115,314,4.6,4.01
Bochum,19,27.9,40.2,5,55,450,5.0,5,1.0,3,0.6,8,1.6,5,1.0,0,0,11,0,4.5,0.91,4.5,0.91,3.1,0.62,7.7,1.53,45,131,1.6,1.53
Dortmund,19,27.2,59.2,5,55,450,5.0,11,2.2,9,1.8,20,4.0,9,1.8,2,2,14,1,8.8,1.76,7.3,1.46,6.4,1.29,13.7,2.75,117,242,3.6,3.04
Eint Frankfurt,22,25.4,42.2,5,55,450,5.0,11,2.2,9,1.8,20,4.0,10,2.0,1,1,7,0,10.8,2.17,10.0,2.01,9.2,1.85,19.3,3.86,91,161,3.8,4.01
Freiburg,24,27.2,50.4,5,55,450,5.0,8,1.6,5,1.0,13,2.6,8,1.6,0,2,6,0,9.4,1.88,7.9,1.58,5.2,1.03,13.1,2.61,71,194,2.6,2.91
Gladbach,20,27.0,54.6,5,55,450,5.0,6,1.2,4,0.8,10,2.0,6,1.2,0,0,7,0,8.7,1.73,8.7,1.73,6.8,1.36,15.5,3.09,87,172,2.0,3.09
Heidenheim,20,26.9,41.6,5,55,450,5.0,10,2.0,7,1.4,17,3.4,8,1.6,2,2,11,1,7.8,1.56,6.2,1.24,5.7,1.13,11.9,2.38,78,119,3.0,2.69
Hoffenheim,22,27.6,45.8,5,55,450,5.0,9,1.8,5,1.0,14,2.8,8,1.6,1,1,13,1,7.0,1.4,6.2,1.25,4.6,0.93,10.9,2.17,72,180,2.6,2.33
Holstein Kiel,22,26.6,46.6,5,55,450,5.0,7,1.4,5,1.0,12,2.4,6,1.2,1,1,9,1,5.8,1.17,5.0,1.01,4.0,0.8,9.0,1.81,58,129,2.2,1.97
Leverkusen,21,27.0,57.6,5,55,450,5.0,14,2.8,8,1.6,22,4.4,13,2.6,1,2,12,0,10.4,2.07,8.6,1.73,6.7,1.35,15.4,3.08,104,246,4.2,3.42
Mainz 05,20,27.9,45.0,5,55,450,5.0,8,1.6,4,0.8,12,2.4,7,1.4,1,1,14,2,6.1,1.23,5.3,1.07,4.0,0.8,9.3,1.87,55,144,2.2,2.02
RB Leipzig,20,26.0,59.0,5,55,450,5.0,8,1.6,7,1.4,15,3.0,8,1.6,0,1,6,1,7.4,1.48,6.6,1.32,6.2,1.24,12.8,2.55,81,230,3.0,2.71
St. Pauli,19,27.6,47.0,5,55,450,5.0,4,0.8,4,0.8,8,1.6,4,0.8,0,0,11,0,4.7,0.94,4.7,0.94,4.1,0.82,8.8,1.75,55,175,1.6,1.75
Stuttgart,21,25.3,61.4,5,55,450,5.0,14,2.8,9,1.8,23,4.6,14,2.8,0,1,10,1,11.6,2.32,10.7,2.14,6.9,1.38,17.6,3.52,63,208,4.6,3.7
Union Berlin,19,27.7,41.6,5,55,450,5.0,4,0.8,2,0.4,6,1.2,4,0.8,0,0,13,0,4.1,0.82,4.1,0.82,2.3,0.47,6.5,1.29,42,135,1.2,1.29
Werder Bremen,20,27.6,47.6,5,55,450,5.0,8,1.6,6,1.2,14,2.8,7,1.4,1,1,7,1,6.6,1.31,6.2,1.23,4.2,0.85,10.4,2.08,72,186,2.6,2.16
Wolfsburg,20,25.3,37.8,5,55,450,5.0,9,1.8,7,1.4,16,3.2,8,1.6,1,1,20,1,6.5,1.3,5.7,1.14,4.5,0.9,10.2,2.04,42,131,3.0,2.2
