Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
1,Junior Adamu,AUT,FW,Freiburg,23,2001.0,4.5,0,0,0,0,0,0,0,0.0,0,3,0,3,2,2,4,0
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002.0,3.4,7,5,3,1,3,2,2,100.0,0,6,0,6,1,8,0,0
3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000.0,1.4,4,2,0,1,3,1,2,50.0,1,2,0,2,0,4,2,0
4,Oladapo Afolayan,ENG,FW,St. Pauli,26,1998.0,3.1,4,2,1,2,1,1,2,50.0,1,2,0,2,2,6,3,0
5,Felix Agu,GER,DF,Werder Bremen,25,1999.0,4.7,7,3,4,2,1,4,6,66.7,2,3,1,2,5,12,13,0
6,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995.0,5.0,10,2,8,1,1,5,7,71.4,2,16,11,5,1,11,21,0
7,Andreas Albers,DEN,FW,St. Pauli,34,1990.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
8,Skelly Alvero,FRA,MF,Werder Bremen,22,2002.0,0.5,3,3,3,0,0,1,1,100.0,0,2,0,2,1,4,5,0
9,Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003.0,0.6,0,0,0,0,0,0,0,0.0,0,2,2,0,1,1,4,0
10,Nadiem Amiri,GER,MF,Mainz 05,27,1996.0,3.3,5,1,3,2,0,0,4,0.0,4,1,1,0,2,7,7,0
11,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000.0,2.4,2,1,1,0,1,0,0,0.0,0,3,0,3,0,2,0,0
12,Robert Andrich,GER,MF,Leverkusen,30,1994.0,2.8,5,2,1,4,0,3,3,100.0,0,2,0,2,3,8,6,0
13,Waldemar Anton,GER,DF,Dortmund,28,1996.0,5.0,9,7,6,2,1,3,4,75.0,1,10,7,3,6,15,22,1
14,Maximilian Arnold,GER,MF,Wolfsburg,30,1994.0,4.9,9,7,2,5,2,3,7,42.9,4,4,3,1,2,11,9,0
15,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000.0,1.5,4,4,2,1,1,1,2,50.0,1,1,0,1,0,4,0,0
16,Arthur,BRA,DF,Leverkusen,21,2003.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0
17,Noah Atubolu,GER,GK,Freiburg,22,2002.0,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1
18,Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998.0,3.6,6,4,1,3,2,3,8,37.5,5,9,0,9,4,10,4,0
19,Aliou Baldé,GUI,"MF,FW",Bochum,21,2002.0,1.0,1,1,1,0,0,0,0,0.0,0,2,0,2,0,1,0,0
20,Samuel Bamba,GER,"FW,MF",Bochum,20,2004.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
21,Scott Banks,SCO,FW,St. Pauli,23,2001.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0
22,Aymen Barkok,MAR,MF,Mainz 05,26,1998.0,0.8,2,1,1,1,0,1,1,100.0,0,1,1,0,2,4,0,0
23,Maximilian Bauer,GER,DF,Augsburg,24,2000.0,2.8,5,3,1,3,1,1,4,25.0,3,5,1,4,2,7,17,1
24,Oliver Baumann,GER,GK,Hoffenheim,34,1990.0,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
25,Christoph Baumgartner,AUT,"MF,DF",RB Leipzig,25,1999.0,1.2,2,2,1,1,0,2,6,33.3,4,3,1,2,0,2,1,0
26,Adrian Beck,GER,FW,Heidenheim,27,1997.0,2.3,3,2,1,2,0,0,5,0.0,5,9,0,9,3,6,5,0
27,Timo Becker,GER,DF,Holstein Kiel,27,1997.0,5.0,9,5,6,3,0,5,7,71.4,2,6,5,1,3,12,11,0
28,Kevin Behrens,GER,FW,Wolfsburg,33,1991.0,0.5,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
29,Maximilian Beier,GER,"FW,MF",Dortmund,21,2002.0,1.5,2,1,0,1,1,1,3,33.3,2,1,0,1,0,2,2,0
30,Stefan Bell,GER,DF,Mainz 05,33,1991.0,1.8,4,2,3,1,0,0,2,0.0,2,1,1,0,5,9,12,0
31,Jeanuël Belocian,FRA,DF,Leverkusen,19,2005.0,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
32,László Bénes,SVK,"MF,FW",Union Berlin,27,1997.0,1.5,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0
33,Ramy Bensebaini,ALG,"DF,FW",Dortmund,29,1995.0,1.9,1,0,1,0,0,0,3,0.0,3,7,0,7,3,4,5,1
34,Mergim Berisha,GER,FW,Hoffenheim,26,1998.0,2.4,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,2,0
35,Alexander Bernhardsson,SWE,"DF,FW",Holstein Kiel,26,1998.0,1.7,1,1,0,0,1,1,1,100.0,0,2,0,2,0,1,2,0
36,Matúš Bero,SVK,MF,Bochum,29,1995.0,4.7,9,5,4,1,4,5,14,35.7,9,10,1,9,1,10,6,1
37,El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001.0,0.7,2,1,0,1,1,2,2,100.0,0,0,0,0,0,2,0,0
38,Tom Bischof,GER,MF,Hoffenheim,19,2005.0,2.1,9,6,2,7,0,3,5,60.0,2,4,2,2,1,10,6,0
39,Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
40,Myron Boadu,NED,"FW,MF",Bochum,23,2001.0,2.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
41,Sacha Boey,FRA,DF,Bayern Munich,24,2000.0,1.4,3,0,2,0,1,2,3,66.7,1,1,0,1,0,3,4,0
42,Victor Boniface,NGA,FW,Leverkusen,23,2000.0,3.8,2,2,0,2,0,1,1,100.0,0,1,0,1,0,2,3,0
43,Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999.0,5.0,4,2,1,2,1,1,4,25.0,3,8,8,0,5,9,17,0
44,Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999.0,2.6,6,1,0,5,1,0,2,0.0,2,3,0,3,3,9,2,0
45,Julian Brandt,GER,MF,Dortmund,28,1996.0,4.2,2,0,1,1,0,0,1,0.0,1,1,0,1,0,2,3,0
46,Tim Breithaupt,GER,MF,Augsburg,22,2002.0,1.3,1,1,0,1,0,0,4,0.0,4,1,0,1,2,3,0,0
47,Maximilian Breunig,GER,"FW,MF",Heidenheim,24,2000.0,2.4,3,2,0,2,1,2,3,66.7,1,4,2,2,1,4,3,0
48,Moritz Broschinski,GER,FW,Bochum,24,2000.0,2.8,3,2,1,2,0,0,2,0.0,2,3,0,3,0,3,4,0
49,Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,26,1998.0,1.0,1,0,1,0,0,1,2,50.0,1,3,0,3,1,2,1,0
50,Marius Bülter,GER,FW,Hoffenheim,31,1993.0,4.0,5,5,1,3,1,5,6,83.3,1,1,1,0,1,6,2,0
51,Jonathan Burkardt,GER,"FW,MF",Mainz 05,24,2000.0,5.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,6,0
