Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%_penalty,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_penalty
1,Noah Atubolu,GER,GK,Freiburg,22,2002,3,3,270,3.0,4,1.33,8,4,50.0,2,0,1,1,33.3,0,0,0,0,0.0
2,Oliver Baumann,GER,GK,Hoffenheim,34,1990,5,5,450,5.0,15,3.0,32,17,56.3,1,0,4,0,0.0,1,1,0,0,0.0
3,Patrick Drewes,GER,GK,Bochum,31,1993,5,5,450,5.0,11,2.2,28,17,64.3,0,1,4,0,0.0,1,1,0,0,0.0
4,Kamil Grabara,POL,GK,Wolfsburg,25,1999,5,5,450,5.0,11,2.2,30,19,66.7,1,1,3,1,20.0,2,1,1,0,50.0
5,Péter Gulácsi,HUN,GK,RB Leipzig,34,1990,5,5,450,5.0,2,0.4,21,18,90.5,3,2,0,4,80.0,1,0,1,0,100.0
6,Lukáš Hrádecký,FIN,GK,Leverkusen,34,1989,4,4,360,4.0,7,1.75,19,13,63.2,3,1,0,0,0.0,0,0,0,0,0.0
7,Gregor Kobel,SUI,GK,Dortmund,26,1997,5,5,450,5.0,9,1.8,21,12,61.9,3,1,1,2,40.0,1,1,0,0,0.0
8,Matej Kovar,CZE,GK,Leverkusen,24,2000,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,0.0
9,Nediljko Labrović,CRO,GK,Augsburg,24,1999,5,5,450,5.0,14,2.8,25,11,48.0,1,1,3,0,0.0,1,1,0,0,0.0
10,Florian Müller,GER,GK,Freiburg,26,1997,2,2,180,2.0,3,1.5,5,2,60.0,1,0,1,0,0.0,1,1,0,0,0.0
11,Kevin Müller,GER,GK,Heidenheim,33,1991,5,5,450,5.0,7,1.4,15,8,60.0,3,0,2,3,60.0,1,1,0,0,0.0
12,Manuel Neuer,GER,GK,Bayern Munich,38,1986,4,4,360,4.0,4,1.0,8,4,62.5,3,1,0,1,25.0,2,1,0,1,0.0
13,Moritz Nicolas,GER,GK,Gladbach,26,1997,2,2,180,2.0,2,1.0,6,4,66.7,1,0,1,1,50.0,0,0,0,0,0.0
14,Alexander Nübel,GER,GK,Stuttgart,28,1996,5,5,450,5.0,10,2.0,24,14,62.5,2,2,1,0,0.0,1,1,0,0,0.0
15,Jonas Omlin,SUI,GK,Gladbach,30,1994,3,3,270,3.0,6,2.0,21,14,71.4,1,0,2,1,33.3,1,0,1,0,100.0
16,Frederik Rønnow,DEN,GK,Union Berlin,32,1992,5,5,450,5.0,3,0.6,12,8,75.0,2,2,1,2,40.0,1,0,1,0,100.0
17,Kauã Santos,BRA,GK,Eint Frankfurt,21,2003,3,2,225,2.5,3,1.2,14,11,85.7,2,0,0,1,50.0,1,1,0,0,0.0
18,Kevin Trapp,GER,GK,Eint Frankfurt,34,1990,3,3,225,2.5,3,1.2,10,7,70.0,2,0,1,0,0.0,0,0,0,0,0.0
19,Sven Ulreich,GER,GK,Bayern Munich,36,1988,1,1,90,1.0,0,0.0,0,0,0.0,1,0,0,1,100.0,0,0,0,0,0.0
20,Nikola Vasilj,BIH,GK,St. Pauli,28,1995,5,5,450,5.0,6,1.2,23,16,73.9,1,1,3,2,40.0,1,0,1,0,100.0
21,Timon Weiner,GER,GK,Holstein Kiel,25,1999,5,5,450,5.0,17,3.4,37,21,59.5,0,1,4,0,0.0,2,2,0,0,0.0
22,Robin Zentner,GER,GK,Mainz 05,29,1994,5,5,450,5.0,10,2.0,33,23,72.7,1,2,2,0,0.0,1,1,0,0,0.0
23,Michael Zetterer,GER,GK,Werder Bremen,29,1995,5,5,450,5.0,11,2.2,23,12,52.2,2,2,1,1,20.0,0,0,0,0,0.0
