Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Junior Adamu,AUT,FW,Freiburg,23,2001.0,4.5,2,0,0,6,8,8,2,2,0,0,0,0,18,14,28,33.3
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002.0,3.4,0,0,0,5,3,0,1,1,5,0,0,0,12,1,3,25.0
3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000.0,1.4,1,0,0,2,5,0,3,0,2,1,0,0,7,6,4,60.0
4,Oladapo Afolayan,ENG,FW,St. Pauli,26,1998.0,3.1,0,0,0,4,7,0,9,2,2,0,0,0,15,4,10,28.6
5,Felix Agu,GER,DF,Werder Bremen,25,1999.0,4.7,0,0,0,4,8,2,14,5,3,0,0,0,12,4,2,66.7
6,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995.0,5.0,2,0,0,7,6,0,4,1,2,0,0,0,28,9,8,52.9
7,Andreas Albers,DEN,FW,St. Pauli,34,1990.0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,66.7
8,Skelly Alvero,FRA,MF,Werder Bremen,22,2002.0,0.5,0,0,0,2,1,0,0,1,3,0,0,0,2,1,1,50.0
9,Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003.0,0.6,1,0,0,2,1,0,0,1,0,0,0,0,1,1,1,50.0
10,Nadiem Amiri,GER,MF,Mainz 05,27,1996.0,3.3,2,1,1,4,3,0,21,2,1,0,0,0,23,2,0,100.0
11,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000.0,2.4,1,0,0,5,1,3,4,0,1,0,0,0,10,1,2,33.3
12,Robert Andrich,GER,MF,Leverkusen,30,1994.0,2.8,2,0,0,6,4,0,1,3,2,0,0,0,12,6,1,85.7
13,Waldemar Anton,GER,DF,Dortmund,28,1996.0,5.0,1,0,0,5,5,0,3,6,7,0,0,0,19,14,9,60.9
14,Maximilian Arnold,GER,MF,Wolfsburg,30,1994.0,4.9,4,0,0,10,14,0,15,2,7,0,0,0,21,3,5,37.5
15,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000.0,1.5,1,0,0,2,5,0,4,0,4,0,0,0,3,1,1,50.0
16,Arthur,BRA,DF,Leverkusen,21,2003.0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0
17,Noah Atubolu,GER,GK,Freiburg,22,2002.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0
18,Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998.0,3.6,1,0,0,3,2,0,14,4,4,0,0,0,20,1,4,20.0
19,Aliou Baldé,GUI,"MF,FW",Bochum,21,2002.0,1.0,1,0,0,0,0,2,4,0,1,0,0,0,3,0,1,0.0
20,Samuel Bamba,GER,"FW,MF",Bochum,20,2004.0,0.1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,50.0
21,Scott Banks,SCO,FW,St. Pauli,23,2001.0,0.2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0.0
22,Aymen Barkok,MAR,MF,Mainz 05,26,1998.0,0.8,0,0,0,2,1,0,5,2,1,0,0,0,4,2,5,28.6
23,Maximilian Bauer,GER,DF,Augsburg,24,2000.0,2.8,0,0,0,2,5,0,2,2,3,0,0,0,6,5,5,50.0
24,Oliver Baumann,GER,GK,Hoffenheim,34,1990.0,5.0,0,0,0,0,2,0,0,0,0,0,0,0,8,2,0,100.0
25,Christoph Baumgartner,AUT,"MF,DF",RB Leipzig,25,1999.0,1.2,0,0,0,4,4,0,0,0,2,0,0,0,6,4,3,57.1
26,Adrian Beck,GER,FW,Heidenheim,27,1997.0,2.3,0,0,0,2,1,0,4,3,2,0,0,0,17,5,2,71.4
27,Timo Becker,GER,DF,Holstein Kiel,27,1997.0,5.0,0,0,0,0,4,0,1,3,5,0,0,0,21,6,6,50.0
28,Kevin Behrens,GER,FW,Wolfsburg,33,1991.0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,42.9
29,Maximilian Beier,GER,"FW,MF",Dortmund,21,2002.0,1.5,0,0,0,1,1,2,0,0,1,0,0,0,4,3,6,33.3
30,Stefan Bell,GER,DF,Mainz 05,33,1991.0,1.8,0,0,0,4,0,0,0,5,2,0,0,0,5,13,5,72.2
31,Jeanuël Belocian,FRA,DF,Leverkusen,19,2005.0,0.5,1,0,0,1,4,0,0,0,1,0,0,0,1,1,1,50.0
32,László Bénes,SVK,"MF,FW",Union Berlin,27,1997.0,1.5,1,0,0,3,1,0,9,0,0,0,0,0,11,1,4,20.0
33,Ramy Bensebaini,ALG,"DF,FW",Dortmund,29,1995.0,1.9,2,0,0,3,4,0,0,3,0,0,0,0,7,6,1,85.7
34,Mergim Berisha,GER,FW,Hoffenheim,26,1998.0,2.4,0,0,0,3,5,3,2,0,1,0,0,0,4,3,5,37.5
35,Alexander Bernhardsson,SWE,"DF,FW",Holstein Kiel,26,1998.0,1.7,1,0,0,3,0,0,3,0,1,0,0,0,5,2,2,50.0
36,Matúš Bero,SVK,MF,Bochum,29,1995.0,4.7,2,0,0,5,9,0,4,1,5,0,0,0,19,2,3,40.0
37,El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001.0,0.7,0,0,0,2,0,1,0,0,1,0,0,0,1,2,3,40.0
38,Tom Bischof,GER,MF,Hoffenheim,19,2005.0,2.1,1,0,0,5,1,0,10,1,6,0,0,0,13,1,2,33.3
39,Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
40,Myron Boadu,NED,"FW,MF",Bochum,23,2001.0,2.9,0,0,0,2,1,2,0,0,0,0,0,0,1,1,3,25.0
41,Sacha Boey,FRA,DF,Bayern Munich,24,2000.0,1.4,1,0,0,2,2,0,2,0,0,0,1,0,5,2,0,100.0
42,Victor Boniface,NGA,FW,Leverkusen,23,2000.0,3.8,1,0,0,3,4,0,1,0,2,0,0,0,10,10,5,66.7
43,Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999.0,5.0,1,0,0,6,2,0,0,5,2,0,1,0,11,11,10,52.4
44,Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999.0,2.6,0,0,0,2,2,0,2,3,1,0,0,0,11,7,8,46.7
45,Julian Brandt,GER,MF,Dortmund,28,1996.0,4.2,0,0,0,1,3,2,13,0,0,0,0,0,10,1,1,50.0
46,Tim Breithaupt,GER,MF,Augsburg,22,2002.0,1.3,0,0,0,2,3,0,1,2,1,0,0,0,9,4,5,44.4
47,Maximilian Breunig,GER,"FW,MF",Heidenheim,24,2000.0,2.4,0,0,0,6,4,1,1,1,2,0,0,0,10,7,23,23.3
48,Moritz Broschinski,GER,FW,Bochum,24,2000.0,2.8,0,0,0,2,0,1,2,0,2,0,0,0,9,9,6,60.0
