Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Junior Adamu,AUT,FW,Freiburg,23,2001.0,4.5,93,86,6,0,0,0,2,0,0,0,0,0,57,1,5
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002.0,3.4,82,80,1,0,1,0,1,0,0,0,0,0,60,1,7
3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000.0,1.4,62,58,4,0,0,1,3,4,0,0,0,0,45,0,1
4,Oladapo Afolayan,ENG,FW,St. Pauli,26,1998.0,3.1,65,62,1,0,0,3,9,1,0,0,0,0,42,2,2
5,Felix Agu,GER,DF,Werder Bremen,25,1999.0,4.7,186,156,29,1,0,2,14,28,0,0,0,0,155,1,5
6,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995.0,5.0,293,271,21,11,0,2,4,1,0,0,0,0,262,1,3
7,Andreas Albers,DEN,FW,St. Pauli,34,1990.0,0.3,14,14,0,0,0,0,0,0,0,0,0,0,6,0,0
8,Skelly Alvero,FRA,MF,Werder Bremen,22,2002.0,0.5,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
9,Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003.0,0.6,30,29,1,0,0,1,0,1,0,0,0,0,26,0,1
10,Nadiem Amiri,GER,MF,Mainz 05,27,1996.0,3.3,196,165,29,12,1,2,21,1,16,4,8,1,147,2,6
11,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000.0,2.4,49,48,1,0,0,0,4,0,0,0,0,0,32,0,3
12,Robert Andrich,GER,MF,Leverkusen,30,1994.0,2.8,137,134,3,3,0,1,1,0,0,0,0,0,122,0,2
13,Waldemar Anton,GER,DF,Dortmund,28,1996.0,5.0,363,350,13,9,0,2,3,4,0,0,0,0,334,0,1
14,Maximilian Arnold,GER,MF,Wolfsburg,30,1994.0,4.9,175,141,33,18,0,1,15,0,8,8,0,0,138,1,2
15,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000.0,1.5,34,25,7,1,0,1,4,5,0,0,0,0,20,2,1
16,Arthur,BRA,DF,Leverkusen,21,2003.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
17,Noah Atubolu,GER,GK,Freiburg,22,2002.0,3.0,128,113,15,6,0,0,0,0,0,0,0,0,100,0,0
18,Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998.0,3.6,123,116,6,0,2,1,14,6,0,0,0,0,82,1,7
19,Aliou Baldé,GUI,"MF,FW",Bochum,21,2002.0,1.0,20,18,1,0,1,0,4,1,0,0,0,0,11,1,1
20,Samuel Bamba,GER,"FW,MF",Bochum,20,2004.0,0.1,9,8,1,0,0,0,3,0,1,1,0,0,6,0,1
21,Scott Banks,SCO,FW,St. Pauli,23,2001.0,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
22,Aymen Barkok,MAR,MF,Mainz 05,26,1998.0,0.8,37,35,2,1,0,0,5,0,1,1,0,0,26,0,2
23,Maximilian Bauer,GER,DF,Augsburg,24,2000.0,2.8,104,101,3,2,0,1,2,1,0,0,0,0,86,0,1
24,Oliver Baumann,GER,GK,Hoffenheim,34,1990.0,5.0,170,127,43,15,0,1,0,0,0,0,0,0,121,0,0
25,Christoph Baumgartner,AUT,"MF,DF",RB Leipzig,25,1999.0,1.2,48,43,4,1,1,0,0,2,0,0,0,0,27,1,5
26,Adrian Beck,GER,FW,Heidenheim,27,1997.0,2.3,87,80,7,2,0,2,4,2,2,0,2,0,66,0,1
