Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1,Junior Adamu,AUT,FW,Freiburg,23,2001.0,5,408.0,82.0,90.7,4.5,5,82.0,2,0,0.0,0,1.8,8.0,7.0,1.0,0.22,9.1,4.3,4.8,1.06
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002.0,5,305.0,61.0,67.8,3.4,4,68.0,1,1,34.0,0,2.0,7.0,6.0,1.0,0.3,6.2,4.9,1.3,0.39
3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000.0,5,128.0,26.0,28.4,1.4,1,55.0,0,4,18.0,0,2.0,4.0,5.0,-1.0,-0.7,3.4,1.7,1.7,1.19
4,Oladapo Afolayan,ENG,FW,St. Pauli,26,1998.0,5,278.0,56.0,61.8,3.1,2,89.0,0,3,34.0,0,0.8,4.0,4.0,0.0,0.0,3.1,4.8,-1.7,-0.55
5,Felix Agu,GER,DF,Werder Bremen,25,1999.0,5,422.0,84.0,93.8,4.7,5,84.0,3,0,0.0,0,1.6,7.0,11.0,-4.0,-0.85,6.2,6.4,-0.2,-0.04
6,Jonathan Akaegbobi,GER,FW,Wolfsburg,18,2006.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,0.6,9.0,15.0,-6.0,-1.2,7.0,11.9,-4.9,-0.98
8,Andreas Albers,DEN,FW,St. Pauli,34,1990.0,3,23.0,8.0,5.1,0.3,0,0.0,0,3,8.0,1,1.0,0.0,1.0,-1.0,-3.91,0.2,1.0,-0.7,-2.83
9,Ben Alexander Voll,GER,GK,St. Pauli,23,2000.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Skelly Alvero,FRA,MF,Werder Bremen,22,2002.0,4,42.0,11.0,9.3,0.5,0,0.0,0,4,11.0,1,1.75,0.0,0.0,0.0,0.0,0.6,0.7,-0.1,-0.14
11,Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003.0,2,51.0,26.0,11.3,0.6,1,45.0,0,1,6.0,3,3.0,1.0,1.0,0.0,0.0,1.0,1.5,-0.5,-0.87
12,Nadiem Amiri,GER,MF,Mainz 05,27,1996.0,4,300.0,75.0,66.7,3.3,4,75.0,2,0,0.0,0,1.25,6.0,6.0,0.0,0.0,4.6,6.2,-1.6,-0.48
13,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000.0,3,219.0,73.0,48.7,2.4,2,87.0,0,1,45.0,0,0.33,6.0,5.0,1.0,0.41,2.6,4.8,-2.2,-0.91
14,Robert Andrich,GER,MF,Leverkusen,30,1994.0,3,250.0,83.0,55.6,2.8,3,83.0,1,0,0.0,2,2.33,7.0,3.0,4.0,1.44,5.0,3.3,1.7,0.6
15,Mathys Angély,FRA,DF,Wolfsburg,17,2007.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Waldemar Anton,GER,DF,Dortmund,28,1996.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,2.0,11.0,9.0,2.0,0.4,8.8,8.1,0.6,0.13
17,Maximilian Arnold,GER,MF,Wolfsburg,30,1994.0,5,445.0,89.0,98.9,4.9,5,89.0,4,0,0.0,0,0.8,10.0,10.0,0.0,0.0,6.4,9.5,-3.0,-0.61
