Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
1,Junior Adamu,AUT,FW,Freiburg,23,2001.0,4.5,137,3,15,64,61,21,137,4,4,100.0,0,0.0,72,314,132,3,2,1,11,5,88,20
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002.0,3.4,135,2,12,60,68,17,135,22,12,54.5,9,40.9,81,689,351,12,10,8,10,5,101,29
3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000.0,1.4,84,2,10,26,49,12,84,9,4,44.4,4,44.4,42,289,172,6,6,2,4,2,64,15
4,Oladapo Afolayan,ENG,FW,St. Pauli,26,1998.0,3.1,117,2,17,45,59,12,117,22,13,59.1,7,31.8,74,506,212,8,4,3,9,9,79,21
5,Felix Agu,GER,DF,Werder Bremen,25,1999.0,4.7,230,15,70,88,73,13,230,5,1,20.0,4,80.0,113,656,357,10,2,4,7,1,145,40
6,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995.0,5.0,359,56,159,173,28,1,359,6,3,50.0,3,50.0,218,974,435,5,4,0,2,1,226,8
7,Andreas Albers,DEN,FW,St. Pauli,34,1990.0,0.3,18,0,1,3,14,4,18,0,0,0.0,0,0.0,8,22,1,0,0,0,0,4,17,4
8,Skelly Alvero,FRA,MF,Werder Bremen,22,2002.0,0.5,23,5,14,5,4,0,23,0,0,0.0,0,0.0,4,21,8,0,0,0,1,1,7,0
9,Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003.0,0.6,38,7,14,21,3,0,38,1,1,100.0,0,0.0,25,107,46,1,0,0,0,0,23,1
10,Nadiem Amiri,GER,MF,Mainz 05,27,1996.0,3.3,229,9,42,116,72,4,228,5,4,80.0,1,20.0,108,498,187,5,3,1,4,5,135,8
11,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000.0,2.4,74,0,9,24,42,8,74,7,0,0.0,7,100.0,42,292,164,6,3,4,3,1,54,21
12,Robert Andrich,GER,MF,Leverkusen,30,1994.0,2.8,161,9,39,95,29,1,161,2,1,50.0,0,0.0,48,191,74,0,2,0,0,0,108,4
13,Waldemar Anton,GER,DF,Dortmund,28,1996.0,5.0,428,48,180,227,21,9,428,2,1,50.0,1,50.0,256,1291,685,5,2,0,6,0,310,6
14,Maximilian Arnold,GER,MF,Wolfsburg,30,1994.0,4.9,208,11,39,127,44,1,208,2,1,50.0,1,50.0,90,320,105,0,0,0,3,1,113,2
15,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000.0,1.5,60,1,9,24,27,3,60,6,2,33.3,3,50.0,29,181,82,2,4,0,7,5,37,12
16,Arthur,BRA,DF,Leverkusen,21,2003.0,0.1,5,0,1,2,2,0,5,0,0,0.0,0,0.0,3,22,13,1,1,0,0,0,2,1
17,Noah Atubolu,GER,GK,Freiburg,22,2002.0,3.0,131,83,130,1,0,0,131,0,0,0.0,0,0.0,81,477,278,0,0,0,0,0,76,0
18,Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998.0,3.6,164,3,20,70,76,9,164,5,2,40.0,3,60.0,87,459,156,2,2,2,7,4,96,25
19,Aliou Baldé,GUI,"MF,FW",Bochum,21,2002.0,1.0,42,0,2,18,24,2,42,9,2,22.2,6,66.7,29,205,129,2,4,0,4,3,28,4
