Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Junior Adamu,AUT,FW,Freiburg,23,2001.0,4.5,2,10,4,40.0,2.21,0.88,0.2,0.5,12.9,0,0,0,2.1,2.1,0.22,-0.1,-0.1
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002.0,3.4,2,8,4,50.0,2.36,1.18,0.25,0.5,16.8,0,0,0,0.7,0.7,0.09,1.3,1.3
3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000.0,1.4,0,4,0,0.0,2.81,0.0,0.0,0.0,11.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4
4,Oladapo Afolayan,ENG,FW,St. Pauli,26,1998.0,3.1,1,8,4,50.0,2.59,1.29,0.13,0.25,17.9,0,0,0,0.7,0.7,0.08,0.3,0.3
5,Felix Agu,GER,DF,Werder Bremen,25,1999.0,4.7,1,1,1,100.0,0.21,0.21,1.0,1.0,12.3,0,0,0,0.1,0.1,0.06,0.9,0.9
6,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
7,Andreas Albers,DEN,FW,St. Pauli,34,1990.0,0.3,0,1,0,0.0,3.91,0.0,0.0,0.0,13.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1
8,Skelly Alvero,FRA,MF,Werder Bremen,22,2002.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,Nadiem Amiri,GER,MF,Mainz 05,27,1996.0,3.3,2,8,4,50.0,2.4,1.2,0.13,0.25,32.6,3,1,1,1.1,0.3,0.04,0.9,0.7
11,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000.0,2.4,1,6,2,33.3,2.47,0.82,0.17,0.5,17.4,0,0,0,0.6,0.6,0.11,0.4,0.4
12,Robert Andrich,GER,MF,Leverkusen,30,1994.0,2.8,1,4,2,50.0,1.44,0.72,0.25,0.5,25.6,0,0,0,0.1,0.1,0.02,0.9,0.9
13,Waldemar Anton,GER,DF,Dortmund,28,1996.0,5.0,0,4,0,0.0,0.8,0.0,0.0,0.0,12.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
14,Maximilian Arnold,GER,MF,Wolfsburg,30,1994.0,4.9,1,4,2,50.0,0.81,0.4,0.25,0.5,30.7,1,0,0,0.1,0.1,0.02,0.9,0.9
15,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000.0,1.5,0,4,1,25.0,2.73,0.68,0.0,0.0,19.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3
16,Arthur,BRA,DF,Leverkusen,21,2003.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
17,Noah Atubolu,GER,GK,Freiburg,22,2002.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
18,Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998.0,3.6,1,6,2,33.3,1.66,0.55,0.17,0.5,21.0,0,0,0,0.5,0.5,0.08,0.5,0.5
19,Aliou Baldé,GUI,"MF,FW",Bochum,21,2002.0,1.0,0,4,1,25.0,4.09,1.02,0.0,0.0,26.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
20,Samuel Bamba,GER,"FW,MF",Bochum,20,2004.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
21,Scott Banks,SCO,FW,St. Pauli,23,2001.0,0.2,0,1,0,0.0,5.29,0.0,0.0,0.0,13.1,0,0,0,0.0,0.0,0.04,0.0,0.0
22,Aymen Barkok,MAR,MF,Mainz 05,26,1998.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
23,Maximilian Bauer,GER,DF,Augsburg,24,2000.0,2.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
24,Oliver Baumann,GER,GK,Hoffenheim,34,1990.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
25,Christoph Baumgartner,AUT,"MF,DF",RB Leipzig,25,1999.0,1.2,0,4,1,25.0,3.4,0.85,0.0,0.0,12.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
26,Adrian Beck,GER,FW,Heidenheim,27,1997.0,2.3,1,3,1,33.3,1.3,0.43,0.33,1.0,21.1,0,0,0,0.5,0.5,0.16,0.5,0.5
27,Timo Becker,GER,DF,Holstein Kiel,27,1997.0,5.0,0,7,2,28.6,1.4,0.4,0.0,0.0,18.4,1,0,0,0.8,0.8,0.13,-0.8,-0.8
28,Kevin Behrens,GER,FW,Wolfsburg,33,1991.0,0.5,0,3,0,0.0,6.0,0.0,0.0,0.0,12.6,0,0,0,0.5,0.5,0.15,-0.5,-0.5
29,Maximilian Beier,GER,"FW,MF",Dortmund,21,2002.0,1.5,0,1,0,0.0,0.65,0.0,0.0,0.0,17.9,0,0,0,0.1,0.1,0.14,-0.1,-0.1
