Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
1,Junior Adamu,AUT,FW,Freiburg,23.0,2001.0,5,5,408,4.5,2,0.44,1,0.22,3,0.66,2,0.44,0,0,2,0,2.1,0.47,2.1,0.47,1.1,0.25,3.3,0.72,3,2,20,0.66,0.72
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22.0,2002.0,5,4,305,3.4,2,0.59,3,0.89,5,1.48,2,0.59,0,0,0,0,0.7,0.22,0.7,0.22,1.7,0.49,2.4,0.71,12,3,29,1.48,0.71
3,Amine Adli,MAR,"MF,FW",Leverkusen,24.0,2000.0,5,1,128,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,0.28,0.4,0.28,0.0,0.01,0.4,0.29,6,3,15,0.0,0.29
4,Oladapo Afolayan,ENG,FW,St. Pauli,26.0,1998.0,5,2,278,3.1,1,0.32,0,0.0,1,0.32,1,0.32,0,0,0,0,0.7,0.22,0.7,0.22,0.4,0.12,1.0,0.34,8,6,21,0.32,0.34
5,Felix Agu,GER,DF,Werder Bremen,25.0,1999.0,5,5,422,4.7,1,0.21,0,0.0,1,0.21,1,0.21,0,0,0,0,0.1,0.01,0.1,0.01,0.4,0.09,0.5,0.11,10,10,40,0.21,0.11
6,Kevin Akpoguma,NGA,DF,Hoffenheim,29.0,1995.0,5,5,450,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,5,26,8,0.0,0.01
7,Andreas Albers,DEN,FW,St. Pauli,34.0,1990.0,3,0,23,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.36,0.1,0.36,0.1,0.37,0.2,0.73,0,1,4,0.0,0.73
8,Skelly Alvero,FRA,MF,Werder Bremen,22.0,2002.0,4,0,42,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0
9,Aurele Amenda,SUI,DF,Eint Frankfurt,21.0,2003.0,2,1,51,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0
10,Nadiem Amiri,GER,MF,Mainz 05,27.0,1996.0,4,4,300,3.3,2,0.6,0,0.0,2,0.6,1,0.3,1,1,2,1,1.1,0.33,0.3,0.09,0.5,0.14,0.8,0.24,5,23,8,0.3,0.47
