Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
1,Abel,ESP,DF,Osasuna,24,2000,5.8,15,11,8,5,2,10,15,66.7,5,12,2,10,6,21,19,0
2,Nabil Aberdin,FRA,MF,Getafe,22,2002,2.5,5,4,3,2,0,1,1,100.0,0,2,0,2,0,5,4,0
3,Abdel Abqar,MAR,DF,Alavés,25,1999,6.8,8,5,3,5,0,2,5,40.0,3,6,3,3,15,23,32,0
4,Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,5.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
5,Lucien Agoume,FRA,MF,Sevilla,22,2002,5.2,9,4,6,2,1,6,9,66.7,3,11,5,6,6,15,8,0
6,Álvaro Aguado,ESP,MF,Espanyol,28,1996,2.5,4,2,2,2,0,2,4,50.0,2,5,0,5,1,5,5,1
7,Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,3.7,6,4,3,3,0,3,5,60.0,2,5,2,3,4,10,10,0
8,Joseph Aidoo,GHA,DF,Celta Vigo,29,1995,0.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
9,Ilias Akhomach,MAR,MF,Villarreal,20,2004,3.2,8,5,2,3,3,3,8,37.5,5,6,0,6,2,10,8,0
10,Raúl Albiol,ESP,DF,Villarreal,39,1985,4.5,2,2,2,0,0,1,2,50.0,1,6,6,0,2,4,37,0
11,Omar Alderete,PAR,DF,Getafe,27,1996,7.0,10,7,8,1,1,5,6,83.3,1,8,6,2,4,14,39,1
12,Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,3.4,6,3,2,3,1,4,8,50.0,4,7,1,6,0,6,2,0
13,Alfon,ESP,"FW,MF",Celta Vigo,25,1999,2.1,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,1,0
14,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,24,2000,3.8,10,6,5,3,2,4,6,66.7,2,5,1,4,1,11,2,0
15,Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
16,Marcos Alonso,ESP,"DF,MF",Celta Vigo,33,1990,3.1,3,1,2,1,0,2,5,40.0,3,3,1,2,3,6,7,0
17,Adrià Altimira,ESP,"FW,DF",Leganés,23,2001,2.0,5,2,2,2,1,2,6,33.3,4,1,1,0,4,9,4,0
18,Sergi Altimira,ESP,MF,Betis,23,2001,3.9,6,4,3,2,1,4,9,44.4,5,3,0,3,2,8,4,0
19,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,6.6,12,4,6,5,1,5,7,71.4,2,6,1,5,4,16,11,0
20,Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24,2000,4.9,2,1,1,0,1,1,2,50.0,1,6,0,6,0,2,2,0
21,Yeray Álvarez,ESP,DF,Athletic Club,29,1995,4.0,6,4,3,2,1,3,5,60.0,2,3,1,2,9,15,15,1
22,Selim Amallah,MAR,MF,Valladolid,27,1996,4.2,7,4,2,4,1,0,3,0.0,3,12,0,12,5,12,0,0
23,Amath,SEN,"FW,DF",Valladolid,28,1996,2.5,0,0,0,0,0,0,4,0.0,4,3,0,3,1,1,1,0
24,Marcos André,BRA,FW,Valladolid,27,1996,2.3,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,1,0
25,Antoniu,ESP,MF,Espanyol,22,2002,0.3,1,0,0,0,1,1,1,100.0,0,0,0,0,1,2,1,0
26,Aritz Arambarri,ESP,DF,Leganés,26,1998,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0
27,Mauro Arambarri,URU,"MF,FW",Getafe,29,1995,4.2,7,3,1,5,1,2,7,28.6,5,5,1,4,2,9,9,0
28,Jon Aramburu,VEN,DF,Real Sociedad,22,2002,3.8,21,15,12,5,4,13,17,76.5,4,4,2,2,1,22,16,0
29,Adu Ares,ESP,FW,Athletic Club,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
30,Jesús Areso,ESP,DF,Osasuna,25,1999,6.8,7,6,4,2,1,7,12,58.3,5,9,2,7,3,10,13,0
31,José Arnaiz,ESP,FW,Osasuna,29,1995,0.2,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
32,Takuma Asano,JPN,FW,Mallorca,29,1994,3.5,5,3,1,3,1,2,3,66.7,1,3,0,3,2,7,4,0
33,Iago Aspas,ESP,"FW,MF",Celta Vigo,37,1987,6.4,3,2,2,1,0,2,6,33.3,4,4,0,4,1,4,4,0
34,Yaser Asprilla,COL,"MF,FW",Girona,20,2003,2.8,5,2,4,1,0,1,4,25.0,3,0,0,0,1,6,1,0
35,Ezequiel Ávila,ARG,FW,Betis,30,1994,2.2,2,0,0,1,1,1,3,33.3,2,2,0,2,1,3,1,0
36,César Azpilicueta,ESP,DF,Atlético Madrid,35,1989,4.3,8,3,4,4,0,8,12,66.7,4,2,1,1,1,9,11,0
37,Loïc Bade,FRA,DF,Sevilla,24,2000,5.2,8,7,6,2,0,3,4,75.0,1,1,1,0,4,12,27,0
38,Alex Baena,ESP,MF,Villarreal,23,2001,5.1,2,1,0,1,1,1,4,25.0,3,9,1,8,5,7,1,0
39,Eric Bailly,CIV,DF,Villarreal,30,1994,4.2,7,1,4,3,0,2,3,66.7,1,7,3,4,4,11,15,0
40,Cédric Bakambu,COD,FW,Betis,33,1991,1.2,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,0,0
41,Alejandro Balde,ESP,DF,Barcelona,20,2003,5.2,4,4,2,1,1,2,3,66.7,1,2,2,0,2,6,4,0
42,Iván Balliu,ALB,DF,Rayo Vallecano,32,1992,4.5,8,7,2,4,2,3,8,37.5,5,2,1,1,4,12,12,0
43,Jonathan Bamba,CIV,"FW,MF",Celta Vigo,28,1996,2.8,4,1,1,2,1,2,4,50.0,2,2,0,2,3,7,3,0
44,Valentín Barco,ARG,DF,Sevilla,20,2004,2.8,14,8,7,3,4,11,14,78.6,3,0,0,0,2,16,5,0
45,Enzo Barrenechea,ARG,MF,Valencia,23,2001,2.1,5,1,3,2,0,3,5,60.0,2,2,0,2,1,6,7,0
46,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,2.8,3,3,0,3,0,0,4,0.0,4,4,0,4,4,7,6,0
47,Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,3.5,9,5,4,5,0,4,8,50.0,4,1,1,0,7,16,5,2
48,Thierno Barry,FRA,FW,Villarreal,21,2002,4.0,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,4,0
49,Marc Bartra,ESP,DF,Betis,33,1991,1.9,2,2,2,0,0,2,2,100.0,0,4,3,1,2,4,5,0
50,Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
52,Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,4.8,1,1,0,1,0,0,2,0.0,2,2,0,2,0,1,7,0
53,Donny van de Beek,NED,"MF,FW",Girona,27,1997,1.3,1,1,1,0,0,0,1,0.0,1,4,0,4,0,1,3,0
54,Héctor Bellerín,ESP,DF,Betis,29,1995,3.3,9,4,5,2,2,7,8,87.5,1,2,1,1,1,10,10,0
55,Jude Bellingham,ENG,MF,Real Madrid,21,2003,3.9,11,8,6,3,2,6,7,85.7,1,8,0,8,6,17,3,0
56,Fran Beltrán,ESP,MF,Celta Vigo,25,1999,4.6,10,5,5,4,1,5,6,83.3,1,2,0,2,3,13,6,0
57,Carlos Benavídez,URU,MF,Alavés,26,1998,2.4,5,3,2,2,1,0,3,0.0,3,1,1,0,5,10,3,1
58,Iker Benito,ESP,"FW,MF",Osasuna,22,2002,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
59,Yuri Berchiche,ESP,DF,Athletic Club,34,1990,5.2,8,6,6,1,1,4,9,44.4,5,7,2,5,5,13,13,0
60,Álex Berenguer,ESP,FW,Athletic Club,29,1995,4.6,5,2,2,1,2,4,7,57.1,3,3,1,2,3,8,3,0
61,Marc Bernal,ESP,MF,Barcelona,17,2007,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0
62,Juan Bernat,ESP,"MF,DF",Villarreal,31,1993,0.2,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
