Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
1,Abel,ESP,DF,Osasuna,24,2000,5.8,8,1.38,5,0,1,0,1,1,2,0.35,0,0,1,0,0,1
2,Nabil Aberdin,FRA,MF,Getafe,22,2002,2.5,3,1.21,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3,Abdel Abqar,MAR,DF,Alavés,25,1999,6.8,4,0.59,2,0,0,0,1,1,1,0.15,0,0,0,0,1,0
4,Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,5.4,1,0.19,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5,Lucien Agoume,FRA,MF,Sevilla,22,2002,5.2,11,2.13,10,0,1,0,0,0,0,0.0,0,0,0,0,0,0
6,Álvaro Aguado,ESP,MF,Espanyol,28,1996,2.5,9,3.55,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
7,Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,3.7,3,0.81,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
8,Joseph Aidoo,GHA,DF,Celta Vigo,29,1995,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
9,Ilias Akhomach,MAR,MF,Villarreal,20,2004,3.2,14,4.16,10,0,2,0,2,0,1,0.3,0,0,0,0,1,0
10,Raúl Albiol,ESP,DF,Villarreal,39,1985,4.5,1,0.22,1,0,0,0,0,0,1,0.22,1,0,0,0,0,0
11,Omar Alderete,PAR,DF,Getafe,27,1996,7.0,10,1.43,6,1,0,2,0,1,1,0.14,0,0,0,1,0,0
12,Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,3.4,3,0.89,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
13,Alfon,ESP,"FW,MF",Celta Vigo,25,1999,2.1,15,7.22,5,0,4,3,3,0,1,0.48,0,0,0,1,0,0
14,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,24,2000,3.8,15,3.91,10,2,1,1,1,0,0,0.0,0,0,0,0,0,0
15,Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0
16,Marcos Alonso,ESP,"DF,MF",Celta Vigo,33,1990,3.1,4,1.28,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
17,Adrià Altimira,ESP,"FW,DF",Leganés,23,2001,2.0,3,1.52,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
18,Sergi Altimira,ESP,MF,Betis,23,2001,3.9,11,2.8,10,0,1,0,0,0,1,0.25,1,0,0,0,0,0
19,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,6.6,15,2.27,12,0,2,1,0,0,4,0.61,3,0,1,0,0,0
20,Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24,2000,4.9,13,2.67,9,0,1,3,0,0,1,0.21,1,0,0,0,0,0
21,Yeray Álvarez,ESP,DF,Athletic Club,29,1995,4.0,4,1.0,3,0,0,0,0,1,1,0.25,1,0,0,0,0,0
22,Selim Amallah,MAR,MF,Valladolid,27,1996,4.2,6,1.44,4,1,0,0,0,1,1,0.24,1,0,0,0,0,0
23,Amath,SEN,"FW,DF",Valladolid,28,1996,2.5,7,2.79,6,0,0,1,0,0,1,0.4,1,0,0,0,0,0
24,Marcos André,BRA,FW,Valladolid,27,1996,2.3,2,0.87,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
25,Antoniu,ESP,MF,Espanyol,22,2002,0.3,3,9.31,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
26,Aritz Arambarri,ESP,DF,Leganés,26,1998,2.0,1,0.51,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
27,Mauro Arambarri,URU,"MF,FW",Getafe,29,1995,4.2,6,1.43,5,0,0,1,0,0,1,0.24,0,0,0,1,0,0
28,Jon Aramburu,VEN,DF,Real Sociedad,22,2002,3.8,7,1.82,7,0,0,0,0,0,1,0.26,1,0,0,0,0,0
29,Adu Ares,ESP,FW,Athletic Club,22,2001,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
30,Jesús Areso,ESP,DF,Osasuna,25,1999,6.8,15,2.21,12,2,0,0,1,0,1,0.15,1,0,0,0,0,0
31,José Arnaiz,ESP,FW,Osasuna,29,1995,0.2,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
32,Takuma Asano,JPN,FW,Mallorca,29,1994,3.5,4,1.13,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
33,Iago Aspas,ESP,"FW,MF",Celta Vigo,37,1987,6.4,14,2.19,11,1,0,1,1,0,4,0.62,2,0,0,1,1,0
34,Yaser Asprilla,COL,"MF,FW",Girona,20,2003,2.8,9,3.23,7,2,0,0,0,0,1,0.36,1,0,0,0,0,0
35,Ezequiel Ávila,ARG,FW,Betis,30,1994,2.2,10,4.55,8,0,0,1,1,0,0,0.0,0,0,0,0,0,0
36,César Azpilicueta,ESP,DF,Atlético Madrid,35,1989,4.3,3,0.69,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
37,Loïc Bade,FRA,DF,Sevilla,24,2000,5.2,5,0.96,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
38,Alex Baena,ESP,MF,Villarreal,23,2001,5.1,35,6.8,21,10,0,2,2,0,6,1.17,5,1,0,0,0,0
39,Eric Bailly,CIV,DF,Villarreal,30,1994,4.2,1,0.24,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
40,Cédric Bakambu,COD,FW,Betis,33,1991,1.2,2,1.65,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
41,Alejandro Balde,ESP,DF,Barcelona,20,2003,5.2,20,3.86,14,2,0,0,4,0,4,0.77,2,0,0,0,2,0
42,Iván Balliu,ALB,DF,Rayo Vallecano,32,1992,4.5,6,1.33,4,1,0,0,1,0,1,0.22,1,0,0,0,0,0
43,Jonathan Bamba,CIV,"FW,MF",Celta Vigo,28,1996,2.8,10,3.59,8,0,1,1,0,0,2,0.72,2,0,0,0,0,0
