Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%_penalty,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_penalty
1,Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,6,6,486,5.4,4,0.74,13,9,76.9,4,1,1,2,33.3,1,1,0,0,0.0
2,Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,4,4,360,4.0,3,0.75,11,8,72.7,1,3,0,1,25.0,0,0,0,0,0
3,Cárdenas,ESP,GK,Rayo Vallecano,27,1997,4,4,360,4.0,5,1.25,12,7,58.3,1,1,2,1,25.0,0,0,0,0,0
4,Jasper Cillessen,NED,GK,Las Palmas,35,1989,7,7,630,7.0,13,1.86,36,23,69.4,0,3,4,0,0.0,4,2,1,1,33.3
5,Diego Conde,ESP,GK,Villarreal,25,1998,7,7,630,7.0,14,2.0,38,25,63.2,4,2,1,0,0.0,1,0,0,1,0
6,Thibaut Courtois,BEL,GK,Real Madrid,32,1992,8,8,720,8.0,6,0.75,19,14,68.4,5,3,0,3,37.5,0,0,0,0,0
7,Marko Dmitrović,SRB,GK,Leganés,32,1992,2,2,180,2.0,2,1.0,10,8,90.0,0,2,0,0,0.0,1,1,0,0,0.0
8,Joan García,ESP,GK,Espanyol,23,2001,8,8,720,8.0,12,1.5,51,38,78.4,2,1,5,1,12.5,2,1,1,0,50.0
9,Paulo Gazzaniga,ARG,GK,Girona,32,1992,8,8,720,8.0,11,1.37,28,17,60.7,2,3,3,3,37.5,0,0,0,0,0
10,Dominik Greif,SVK,GK,Mallorca,27,1997,5,5,450,5.0,5,1.0,22,17,77.3,2,1,2,1,20.0,0,0,0,0,0
11,Vicente Guaita,ESP,GK,Celta Vigo,37,1987,4,4,360,4.0,6,1.5,13,7,53.8,1,1,2,0,0.0,0,0,0,0,0
12,Sergio Herrera,ESP,GK,Osasuna,31,1993,8,8,720,8.0,13,1.62,35,23,62.9,4,2,2,2,25.0,0,0,0,0,0
13,Karl Jakob Hein,EST,GK,Valladolid,22,2002,8,8,720,8.0,17,2.12,46,30,63.0,1,2,5,3,37.5,0,0,0,0,0
14,Giorgi Mamardashvili,GEO,GK,Valencia,24,2000,8,8,720,8.0,13,1.62,32,18,62.5,1,2,5,2,25.0,2,1,1,0,50.0
15,Juan Musso,ARG,GK,Atlético Madrid,30,1994,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,0
16,Ørjan Nyland,NOR,GK,Sevilla,34,1990,8,8,720,8.0,10,1.25,34,25,73.5,2,3,3,2,25.0,1,1,0,0,0.0
17,Jan Oblak,SVN,GK,Atlético Madrid,31,1993,7,7,630,7.0,4,0.57,21,18,81.0,3,4,0,4,57.1,0,0,0,0,0
18,Alex Padilla,ESP,GK,Athletic Club,21,2003,4,2,231,2.6,4,1.56,11,8,63.6,0,1,1,0,0.0,0,0,0,0,0
19,Iñaki Peña,ESP,GK,Barcelona,25,1999,3,2,226,2.5,4,1.59,7,3,57.1,1,0,1,1,50.0,1,1,0,0,0.0
20,Álex Remiro,ESP,GK,Real Sociedad,29,1995,8,8,720,8.0,7,0.87,29,22,89.7,2,2,4,4,50.0,4,4,0,0,0.0
21,Leo Román,ESP,GK,Mallorca,24,2000,3,3,270,3.0,1,0.33,13,12,92.3,2,1,0,2,66.7,0,0,0,0,0
22,Rui Silva,POR,GK,Betis,30,1994,8,8,720,8.0,7,0.87,24,17,75.0,3,3,2,3,37.5,1,1,0,0,0.0
23,Antonio Sivera,ESP,GK,Alavés,28,1996,8,8,720,8.0,12,1.5,32,20,68.8,3,1,4,2,25.0,2,2,0,0,0.0
24,David Soria,ESP,GK,Getafe,31,1993,8,8,720,8.0,6,0.75,22,16,77.3,1,4,3,3,37.5,1,1,0,0,0.0
25,Juan Soriano,ESP,GK,Leganés,27,1997,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,0
26,Marc-André ter Stegen,GER,GK,Barcelona,32,1992,6,6,494,5.5,5,0.91,15,10,73.3,6,0,0,1,16.7,1,1,0,0,0.0
27,Iván Villar,ESP,GK,Celta Vigo,27,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0
