Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,1,8.0,12,2,1,0,0,11.4,0.32,-0.6,-0.07,69,171,40.4,168,15,72.6,46.9,87,3,3.4,6,0.75,15.7
Athletic Club,2,8.0,8,1,1,2,1,8.0,0.31,1.0,0.13,35,123,28.5,187,31,45.5,33.8,103,12,11.7,8,1.0,14.3
Atlético Madrid,2,8.0,4,0,0,0,1,4.4,0.2,1.4,0.18,16,45,35.6,124,32,19.4,29.1,97,3,3.1,4,0.5,13.4
Barcelona,2,8.0,9,2,0,0,0,7.8,0.27,-1.2,-0.16,18,44,40.9,257,47,14.4,27.3,89,3,3.4,17,2.13,13.9
Betis,1,8.0,7,1,0,2,0,7.6,0.29,0.6,0.07,16,59,27.1,225,34,20.9,28.6,96,5,5.2,17,2.13,18.9
Celta Vigo,2,8.0,15,0,0,3,2,12.6,0.38,-0.4,-0.05,9,39,23.1,168,45,15.5,26.8,110,5,4.5,8,1.0,12.7
Espanyol,1,8.0,12,1,0,2,0,13.4,0.24,1.4,0.17,34,114,29.8,208,41,42.3,36.0,137,10,7.3,11,1.38,13.9
Getafe,1,8.0,6,1,0,0,0,6.8,0.28,0.8,0.1,34,119,28.6,106,16,68.9,48.7,93,4,4.3,7,0.88,12.2
Girona,1,8.0,11,0,1,1,0,7.5,0.27,-3.5,-0.44,12,41,29.3,223,30,13.9,26.0,84,8,9.5,10,1.25,17.1
Las Palmas,1,7.0,13,2,0,1,1,12.1,0.27,0.1,0.01,24,72,33.3,231,42,26.8,27.5,92,4,4.3,9,1.29,18.9
Leganés,2,8.0,9,1,0,1,1,11.6,0.31,3.6,0.45,48,168,28.6,175,25,60.6,53.1,163,9,5.5,1,0.13,9.4
Mallorca,2,8.0,6,0,0,1,0,7.0,0.2,1.0,0.12,34,117,29.1,163,22,55.8,39.5,121,2,1.7,1,0.13,7.7
Osasuna,1,8.0,13,0,0,2,1,10.7,0.31,-1.3,-0.16,57,142,40.1,204,21,49.5,40.7,128,9,7.0,27,3.38,19.9
Rayo Vallecano,2,8.0,8,0,0,0,0,6.6,0.29,-1.4,-0.18,40,121,33.1,164,29,51.8,39.7,113,8,7.1,3,0.38,12.6
Real Madrid,1,8.0,6,0,0,1,1,5.6,0.3,0.6,0.08,15,46,32.6,220,49,15.0,26.8,85,6,7.1,4,0.5,10.2
Real Sociedad,1,8.0,7,4,0,0,0,7.3,0.14,0.3,0.04,41,99,41.4,217,24,27.2,31.4,113,4,3.5,11,1.38,16.4
Sevilla,1,8.0,10,1,0,0,1,7.9,0.21,-1.1,-0.14,28,112,25.0,225,28,42.2,35.9,122,4,3.3,5,0.63,13.7
Valencia,1,8.0,13,1,0,1,0,13.0,0.35,0.0,0.01,28,87,32.2,189,34,29.1,33.0,101,4,4.0,10,1.25,17.2
Valladolid,1,8.0,17,0,1,1,1,14.2,0.31,-1.8,-0.22,41,106,38.7,235,40,33.6,33.4,110,9,8.2,10,1.25,15.5
Villarreal,1,7.0,14,0,1,3,1,9.8,0.27,-3.2,-0.46,26,61,42.6,135,25,32.6,32.5,129,9,7.0,1,0.14,8.5
