Squad,# Pl,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
Alavés,24,8.0,151,91,69,63,19,73,141,51.8,68,69,14,55,72,223,144,2
Athletic Club,26,8.0,100,63,39,50,11,54,123,43.9,69,72,22,50,86,186,188,6
Atlético Madrid,21,8.0,125,74,71,42,12,71,131,54.2,60,76,19,57,59,184,159,4
Barcelona,22,8.0,117,75,40,56,21,56,103,54.4,47,61,13,48,37,154,131,4
Betis,24,8.0,136,81,67,46,23,74,135,54.8,61,88,26,62,64,200,145,2
Celta Vigo,23,8.0,107,62,51,47,9,53,100,53.0,47,63,24,39,55,162,159,2
Espanyol,21,8.0,129,84,71,50,8,55,117,47.0,62,102,43,59,59,188,233,5
Getafe,22,8.0,154,87,76,59,19,71,148,48.0,77,81,18,63,44,198,174,3
Girona,23,8.0,134,83,60,56,18,66,119,55.5,53,91,20,71,58,192,129,3
Las Palmas,26,7.0,122,75,63,49,10,63,126,50.0,63,68,17,51,56,178,142,1
Leganés,23,8.0,151,101,71,68,12,65,126,51.6,61,90,27,63,80,231,246,1
Mallorca,22,8.0,133,82,75,39,19,55,104,52.9,49,78,28,50,69,202,235,2
Osasuna,22,8.0,137,77,54,65,18,65,131,49.6,66,101,24,77,61,198,192,3
Rayo Vallecano,22,8.0,140,95,73,54,13,65,140,46.4,75,80,30,50,84,224,195,0
Real Madrid,19,8.0,116,77,55,44,17,57,105,54.3,48,85,30,55,73,189,114,3
Real Sociedad,26,8.0,134,78,63,51,20,60,113,53.1,53,89,33,56,49,183,171,6
Sevilla,25,8.0,131,84,70,42,19,61,99,61.6,38,76,21,55,67,198,156,2
Valencia,23,8.0,133,85,64,48,21,56,118,47.5,62,80,21,59,52,185,158,3
Valladolid,25,8.0,137,84,76,49,12,62,138,44.9,76,102,37,65,68,205,159,5
Villarreal,22,7.0,102,62,50,37,15,47,109,43.1,62,88,28,60,53,155,180,2
