Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,24,8.0,20,1,0,125,101,12,161,72,91,2,2,0,312,106,150,41.4
Athletic Club,26,8.0,18,2,0,103,77,17,142,86,63,1,1,1,334,90,104,46.4
Atlético Madrid,21,8.0,11,1,0,82,74,15,129,59,74,0,0,1,328,95,71,57.2
Barcelona,22,8.0,14,1,0,64,103,13,134,37,75,2,2,0,300,71,67,51.4
Betis,24,8.0,17,0,0,101,114,11,150,64,81,1,1,0,358,95,79,54.6
Celta Vigo,23,8.0,16,1,0,79,111,15,112,55,62,1,1,2,296,67,69,49.3
Espanyol,21,8.0,23,0,0,99,99,7,114,59,84,1,2,0,270,96,97,49.7
Getafe,22,8.0,19,0,0,125,117,23,158,44,87,1,1,0,299,181,151,54.5
Girona,23,8.0,13,0,0,87,76,22,158,58,83,0,0,0,317,36,55,39.6
Las Palmas,26,7.0,13,0,0,89,81,7,143,56,75,0,4,1,284,72,104,40.9
Leganés,23,8.0,17,0,0,107,97,16,121,80,101,1,1,1,315,119,139,46.1
Mallorca,22,8.0,14,1,0,92,80,12,176,69,82,0,0,0,320,141,128,52.4
Osasuna,22,8.0,16,0,0,106,69,22,161,61,77,2,0,1,314,132,94,58.4
Rayo Vallecano,22,8.0,20,0,0,121,92,18,152,84,95,0,0,0,368,105,121,46.5
Real Madrid,19,8.0,15,1,0,72,94,10,118,73,77,3,0,1,325,77,64,54.6
Real Sociedad,26,8.0,18,1,0,105,99,17,146,49,78,0,4,0,310,120,138,46.5
Sevilla,25,8.0,24,3,2,103,91,19,136,67,84,0,1,1,325,107,107,50.0
Valencia,23,8.0,15,0,0,85,79,22,170,52,85,0,2,0,321,84,109,43.5
Valladolid,25,8.0,23,1,0,113,87,17,155,68,84,0,0,1,281,110,95,53.7
Villarreal,22,7.0,27,1,1,69,80,18,94,53,62,1,1,1,277,98,60,62.0
