Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alavés,24,8.0,2771,2354,405,114,12,21,161,168,32,12,11,3,1902,12,71
Athletic Club,26,8.0,3533,3136,380,99,13,34,142,175,35,14,10,0,2749,17,53
Atlético Madrid,21,8.0,4488,4112,361,84,8,35,129,158,34,8,13,0,3742,15,76
Barcelona,22,8.0,4995,4572,410,149,25,39,134,145,53,14,16,0,4320,13,81
Betis,24,8.0,4265,3863,391,136,12,30,150,145,52,21,17,0,3517,11,84
Celta Vigo,23,8.0,4729,4327,387,122,18,30,112,159,31,5,17,0,4044,15,72
Espanyol,21,8.0,3179,2811,361,116,6,26,114,123,27,2,21,0,2467,7,59
Getafe,22,8.0,2528,2059,446,130,2,27,158,206,34,14,16,0,1589,23,52
Girona,23,8.0,4831,4434,375,87,12,28,158,182,36,12,17,0,4212,22,68
Las Palmas,26,7.0,3951,3586,358,97,12,11,143,144,34,12,16,1,3219,7,71
Leganés,23,8.0,3252,2881,355,103,10,27,121,140,24,13,8,0,2390,16,66
Mallorca,22,8.0,3414,3038,364,92,5,32,176,140,39,13,22,1,2651,12,64
Osasuna,22,8.0,3146,2728,396,88,3,28,161,189,33,15,8,0,2279,22,73
Rayo Vallecano,22,8.0,3298,2894,386,93,7,18,152,169,38,17,15,0,2446,18,83
Real Madrid,19,8.0,5264,4906,348,99,11,49,118,134,49,20,16,1,4665,10,72
Real Sociedad,26,8.0,4057,3612,428,114,8,30,146,187,47,22,15,0,3223,17,66
Sevilla,25,8.0,4115,3689,407,108,8,26,136,177,47,23,7,0,3332,19,75
Valencia,23,8.0,3579,3154,403,100,4,23,170,184,49,16,24,0,2755,22,95
Valladolid,25,8.0,3241,2848,376,112,7,41,155,150,32,14,13,0,2547,17,61
Villarreal,22,7.0,3015,2700,297,91,11,36,94,109,28,15,9,0,2465,18,45
