Squad,# Pl,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alavés,24,8.0,1902,2771,68.6,36711,16289,835,1035,80.7,758,976,77.7,264,581,45.4,6,5.1,5.9,0.9,65,181,57,27,228
Athletic Club,26,8.0,2749,3533,77.8,49144,17360,1202,1402,85.7,1240,1450,85.5,258,532,48.5,10,5.9,5.8,4.1,53,254,45,15,311
Atlético Madrid,21,8.0,3742,4488,83.4,64385,21533,1698,1891,89.8,1622,1826,88.8,316,538,58.7,10,9.6,8.5,0.4,77,251,79,24,328
Barcelona,22,8.0,4320,4995,86.5,76357,25043,1865,2081,89.6,2029,2207,91.9,360,514,70.0,18,14.6,11.9,3.4,108,362,96,18,440
Betis,24,8.0,3517,4265,82.5,59015,20433,1690,1875,90.1,1484,1683,88.2,265,497,53.3,5,9.4,9.3,-4.4,96,267,81,20,360
Celta Vigo,23,8.0,4044,4729,85.5,70350,22432,1700,1869,91.0,1917,2106,91.0,319,520,61.3,9,8.1,9.3,0.9,71,282,71,17,360
Espanyol,21,8.0,2467,3179,77.6,46152,17642,994,1148,86.6,1147,1323,86.7,288,568,50.7,5,5.2,4.7,-0.2,58,154,35,16,210
Getafe,22,8.0,1589,2528,62.9,30637,14622,695,901,77.1,589,860,68.5,247,584,42.3,2,5.1,4.9,-3.1,71,177,43,17,200
Girona,23,8.0,4212,4831,87.2,72757,21849,1905,2039,93.4,1918,2073,92.5,337,550,61.3,7,8.0,9.6,-1.0,64,366,61,16,399
Las Palmas,26,7.0,3219,3951,81.5,53613,18753,1567,1743,89.9,1349,1564,86.3,227,458,49.6,6,6.0,5.5,0.0,64,213,52,21,252
Leganés,23,8.0,2390,3252,73.5,43945,16452,1025,1193,85.9,1029,1258,81.8,270,622,43.4,5,3.4,3.6,1.6,45,152,38,10,203
Mallorca,22,8.0,2651,3414,77.7,49961,19106,1148,1315,87.3,1096,1299,84.4,353,630,56.0,5,5.2,6.1,-0.2,66,212,58,28,259
Osasuna,22,8.0,2279,3146,72.4,43253,17645,965,1159,83.3,980,1205,81.3,284,608,46.7,5,5.6,5.3,-0.6,57,192,38,20,237
Rayo Vallecano,22,8.0,2446,3298,74.2,44607,18296,1070,1244,86.0,1065,1282,83.1,259,593,43.7,8,6.0,4.0,2.0,61,214,45,14,272
Real Madrid,19,8.0,4665,5264,88.6,80469,24652,2144,2301,93.2,2027,2195,92.3,388,548,70.8,11,10.7,11.2,0.3,115,424,85,8,476
Real Sociedad,26,8.0,3223,4057,79.4,57846,19730,1423,1637,86.9,1426,1682,84.8,312,547,57.0,5,7.3,7.6,-2.3,57,260,54,14,307
Sevilla,25,8.0,3332,4115,81.0,54230,18277,1674,1859,90.0,1310,1511,86.7,234,513,45.6,4,6.5,5.2,-2.5,85,209,50,13,264
Valencia,23,8.0,2755,3579,77.0,50047,16720,1204,1368,88.0,1252,1470,85.2,264,549,48.1,4,4.4,5.9,-0.4,56,238,38,15,269
Valladolid,25,8.0,2547,3241,78.6,48204,18465,1055,1186,89.0,1137,1338,85.0,308,560,55.0,4,4.7,5.1,-0.7,56,165,38,18,242
Villarreal,22,7.0,2465,3015,81.8,47148,16816,937,1057,88.6,1203,1370,87.8,286,470,60.9,10,8.9,8.1,1.1,78,211,55,17,256
