Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alavés,24,27.1,8,720,90,100,8.0,88,79,47,40,23,55,1.25,11,12,-1,-0.12,9.8,9.5,0.3,0.03
Athletic Club,26,27.2,8,720,90,100,8.0,88,79,46,40,24,53,1.75,12,8,4,0.5,8.5,9.6,-1.1,-0.13
Atlético Madrid,21,29.2,8,720,90,100,8.0,88,78,49,38,27,54,2.0,12,4,8,1.0,11.8,6.5,5.4,0.67
Barcelona,22,24.9,8,720,90,100,8.0,88,81,51,37,20,51,2.63,25,9,16,2.0,19.6,9.3,10.4,1.29
Betis,24,27.9,8,720,90,100,8.0,88,81,50,39,21,53,1.5,8,7,1,0.12,13.3,7.4,5.9,0.74
Celta Vigo,23,26.7,8,720,90,100,8.0,88,78,48,40,27,55,1.25,15,15,0,0.0,11.6,9.5,2.1,0.26
Espanyol,21,25.5,8,720,90,100,8.0,88,80,47,41,21,55,0.88,7,12,-5,-0.62,7.2,15.1,-8.0,-1.0
Getafe,22,27.2,8,720,90,100,8.0,88,82,52,36,19,47,0.88,5,6,-1,-0.12,7.8,7.6,0.3,0.03
Girona,23,27.4,8,720,90,100,8.0,88,80,51,37,24,58,1.13,9,11,-2,-0.25,11.1,6.8,4.3,0.54
Las Palmas,26,27.8,7,630,90,100,7.0,77,79,41,36,24,48,0.43,8,13,-5,-0.71,7.0,13.5,-6.5,-0.93
Leganés,23,27.9,8,720,90,100,8.0,88,80,49,39,23,54,0.88,5,9,-4,-0.5,5.4,10.6,-5.2,-0.65
Mallorca,22,28.8,8,720,90,100,8.0,88,82,48,39,19,56,1.75,8,6,2,0.25,8.2,6.7,1.5,0.19
Osasuna,22,27.6,8,720,90,100,8.0,88,82,50,39,18,55,1.75,12,13,-1,-0.12,8.2,9.6,-1.5,-0.19
Rayo Vallecano,22,29.3,8,720,90,100,8.0,88,79,48,40,25,56,1.25,9,8,1,0.12,7.7,8.2,-0.6,-0.07
Real Madrid,19,27.7,8,720,90,100,8.0,88,84,55,32,17,39,2.25,17,6,11,1.37,16.4,6.3,10.1,1.27
Real Sociedad,26,25.8,8,720,90,100,8.0,88,79,47,40,24,55,1.0,6,7,-1,-0.12,9.3,10.1,-0.8,-0.1
Sevilla,25,26.6,8,720,90,100,8.0,88,82,48,38,19,57,1.13,8,10,-2,-0.25,10.1,9.6,0.5,0.06
Valencia,23,24.4,8,720,90,100,8.0,88,82,49,39,17,51,0.63,5,13,-8,-1.0,5.1,13.7,-8.6,-1.07
Valladolid,25,25.8,8,720,90,100,8.0,88,78,47,40,26,53,0.63,4,17,-13,-1.62,6.2,15.2,-9.1,-1.13
Villarreal,22,27.9,7,630,90,100,7.0,77,81,43,33,21,34,2.0,14,14,0,0.0,11.2,10.6,0.7,0.1
