Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,G+A-PK,xG+xAG
Alavés,24,27.1,41.8,8,88,720,8.0,11,1.37,6,0.75,17,2.12,10,1.25,1,2,20,1,9.8,1.23,8.2,1.03,5.1,0.63,13.3,1.66,103,228,2.0,1.86
Athletic Club,26,27.2,46.0,8,88,720,8.0,12,1.5,10,1.25,22,2.75,11,1.37,1,1,18,2,8.5,1.06,7.7,0.96,5.9,0.74,13.6,1.7,117,311,2.62,1.8
Atlético Madrid,21,29.2,50.1,8,88,720,8.0,12,1.5,10,1.25,22,2.75,12,1.5,0,0,11,1,11.8,1.48,11.8,1.48,9.6,1.2,21.4,2.68,136,328,2.75,2.68
Barcelona,22,24.9,66.0,8,88,720,8.0,25,3.12,18,2.25,43,5.37,24,3.0,1,2,14,1,19.6,2.46,18.1,2.26,14.6,1.82,32.6,4.08,161,440,5.25,4.28
Betis,24,27.9,53.6,8,88,720,8.0,8,1.0,5,0.62,13,1.62,7,0.87,1,2,17,0,13.3,1.66,11.9,1.48,9.4,1.17,21.2,2.66,133,360,1.5,2.84
Celta Vigo,23,26.7,55.5,8,88,720,8.0,14,1.75,9,1.13,23,2.87,13,1.62,1,2,16,1,11.6,1.45,10.0,1.25,8.1,1.01,18.1,2.26,152,360,2.75,2.46
Espanyol,21,25.5,42.6,8,88,720,8.0,6,0.75,5,0.62,11,1.37,5,0.62,1,1,23,0,7.2,0.9,6.4,0.8,5.2,0.65,11.6,1.45,88,210,1.25,1.55
Getafe,22,27.2,42.1,8,88,720,8.0,5,0.62,2,0.25,7,0.87,3,0.37,2,2,19,0,7.8,0.98,6.3,0.79,5.1,0.64,11.4,1.43,86,200,0.62,1.62
Girona,23,27.4,57.9,8,88,720,8.0,9,1.13,7,0.87,16,2.0,8,1.0,1,1,13,0,11.1,1.39,10.3,1.29,8.0,1.0,18.3,2.29,145,399,1.87,2.39
Las Palmas,26,27.8,57.3,7,77,630,7.0,7,1.0,6,0.86,13,1.86,7,1.0,0,0,13,0,7.0,0.99,7.0,0.99,6.0,0.85,12.9,1.85,99,252,1.86,1.85
Leganés,23,27.9,43.1,8,88,720,8.0,5,0.62,5,0.62,10,1.25,5,0.62,0,1,17,0,5.4,0.68,4.6,0.58,3.4,0.42,8.0,1.0,78,203,1.25,1.1
Mallorca,22,28.8,45.0,8,88,720,8.0,7,0.87,5,0.62,12,1.5,6,0.75,1,1,14,1,8.2,1.03,7.5,0.93,5.2,0.65,12.7,1.58,113,259,1.37,1.68
Osasuna,22,27.6,43.4,8,88,720,8.0,10,1.25,5,0.62,15,1.87,8,1.0,2,2,16,0,8.2,1.02,6.6,0.82,5.6,0.7,12.2,1.52,112,237,1.62,1.72
Rayo Vallecano,22,29.3,47.1,8,88,720,8.0,9,1.13,8,1.0,17,2.12,9,1.13,0,0,20,0,7.7,0.96,7.7,0.96,6.0,0.75,13.7,1.71,106,272,2.12,1.71
Real Madrid,19,27.7,61.0,8,88,720,8.0,17,2.12,11,1.37,28,3.5,12,1.5,5,5,15,1,16.4,2.05,12.9,1.61,10.7,1.34,23.6,2.95,209,476,2.87,3.39
Real Sociedad,26,25.8,58.1,8,88,720,8.0,6,0.75,5,0.62,11,1.37,6,0.75,0,0,18,1,9.3,1.16,9.3,1.16,7.3,0.91,16.6,2.07,147,307,1.37,2.07
Sevilla,25,26.6,56.9,8,88,720,8.0,5,0.62,4,0.5,9,1.13,5,0.62,0,0,24,3,10.1,1.26,10.1,1.26,6.5,0.81,16.5,2.07,141,264,1.13,2.07
Valencia,23,24.4,45.9,8,88,720,8.0,5,0.62,4,0.5,9,1.13,5,0.62,0,0,15,0,5.1,0.64,5.1,0.64,4.4,0.55,9.5,1.19,115,269,1.13,1.19
Valladolid,25,25.8,43.8,8,88,720,8.0,4,0.5,4,0.5,8,1.0,4,0.5,0,0,23,1,6.2,0.77,6.2,0.77,4.7,0.58,10.8,1.35,99,242,1.0,1.35
Villarreal,22,27.9,42.9,7,77,630,7.0,12,1.71,10,1.43,22,3.14,12,1.71,0,1,27,1,11.2,1.61,10.3,1.47,8.9,1.27,19.2,2.74,119,256,3.14,2.88
