Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Abel,ESP,DF,Osasuna,24,2000,5.8,1,0,0,5,7,0,17,6,11,0,0,0,31,5,4,55.6
2,Nabil Aberdin,FRA,MF,Getafe,22,2002,2.5,0,0,0,5,6,0,0,0,4,0,0,0,8,10,2,83.3
3,Abdel Abqar,MAR,DF,Alavés,25,1999,6.8,4,0,0,17,5,1,1,15,5,1,0,0,22,6,6,50.0
4,Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,5.4,0,1,0,2,1,0,0,0,0,0,1,0,6,3,0,100.0
5,Lucien Agoume,FRA,MF,Sevilla,22,2002,5.2,0,0,0,13,2,1,1,6,4,0,0,0,22,8,13,38.1
6,Álvaro Aguado,ESP,MF,Espanyol,28,1996,2.5,1,0,0,2,5,0,9,1,2,0,0,0,18,1,0,100.0
7,Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,3.7,1,0,0,2,5,0,0,4,4,0,0,0,14,6,7,46.2
8,Joseph Aidoo,GHA,DF,Celta Vigo,29,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
9,Ilias Akhomach,MAR,MF,Villarreal,20,2004,3.2,1,0,0,4,11,1,8,2,5,0,0,0,15,3,3,50.0
10,Raúl Albiol,ESP,DF,Villarreal,39,1985,4.5,2,0,0,2,1,0,0,2,2,0,0,1,9,13,3,81.3
11,Omar Alderete,PAR,DF,Getafe,27,1996,7.0,1,0,0,6,2,2,0,4,7,0,0,0,23,25,15,62.5
12,Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,3.4,1,0,0,6,6,2,5,0,3,0,0,0,9,8,8,50.0
13,Alfon,ESP,"FW,MF",Celta Vigo,25,1999,2.1,0,1,0,6,6,0,4,1,0,0,0,0,1,0,1,0.0
14,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,24,2000,3.8,0,0,0,7,3,2,8,1,6,0,0,0,16,1,3,25.0
15,Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0.0
