Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1,Álvaro Abajas,ESP,GK,Leganés,21,2003.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Rodrigo Abajas,ESP,DF,Valencia,21,2003.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Abel,ESP,DF,Osasuna,24,2000.0,7,521.0,74.0,72.4,5.8,6,85.0,4,1,14.0,1,2.0,8.0,8.0,0.0,0.0,4.3,6.4,-2.0,-0.35
4,Nabil Aberdin,FRA,MF,Getafe,22,2002.0,4,224.0,56.0,31.1,2.5,3,74.0,1,1,2.0,0,1.5,1.0,1.0,0.0,0.0,1.6,0.6,1.0,0.41
5,Abdel Abqar,MAR,DF,Alavés,25,1999.0,8,612.0,77.0,85.0,6.8,8,77.0,5,0,0.0,0,1.25,8.0,10.0,-2.0,-0.29,8.1,7.8,0.3,0.05
6,Adrián,ESP,GK,Betis,37,1987.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
7,Julen Agirrezabala,ESP,GK,Athletic Club,23,2000.0,6,486.0,81.0,67.5,5.4,6,81.0,4,0,0.0,1,2.17,9.0,4.0,5.0,0.93,6.8,5.6,1.2,0.22
8,Lucien Agoume,FRA,MF,Sevilla,22,2002.0,8,465.0,58.0,64.6,5.2,5,82.0,2,3,18.0,0,1.13,4.0,10.0,-6.0,-1.16,5.8,7.7,-2.0,-0.38
9,Álvaro Aguado,ESP,MF,Espanyol,28,1996.0,7,228.0,33.0,31.7,2.5,2,72.0,0,5,17.0,1,1.0,3.0,3.0,0.0,0.0,2.7,4.4,-1.8,-0.69
10,Nayef Aguerd,MAR,DF,Real Sociedad,28,1996.0,4,334.0,84.0,46.4,3.7,4,84.0,2,0,0.0,0,1.0,3.0,3.0,0.0,0.0,6.4,4.7,1.6,0.44
