Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Abel,ESP,DF,Osasuna,24,2000,5.8,2,3,2,66.7,0.52,0.35,0.67,1.0,24.7,0,0,0,0.2,0.2,0.07,1.8,1.8
2,Nabil Aberdin,FRA,MF,Getafe,22,2002,2.5,0,2,0,0.0,0.8,0.0,0.0,0.0,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
3,Abdel Abqar,MAR,DF,Alavés,25,1999,6.8,0,1,0,0.0,0.15,0.0,0.0,0.0,7.6,0,0,0,0.0,0.0,0.05,0.0,0.0
4,Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,5.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
5,Lucien Agoume,FRA,MF,Sevilla,22,2002,5.2,0,1,0,0.0,0.19,0.0,0.0,0.0,24.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
6,Álvaro Aguado,ESP,MF,Espanyol,28,1996,2.5,0,5,0,0.0,1.97,0.0,0.0,0.0,24.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2
7,Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,3.7,0,4,2,50.0,1.08,0.54,0.0,0.0,14.6,0,0,0,0.8,0.8,0.2,-0.8,-0.8
8,Joseph Aidoo,GHA,DF,Celta Vigo,29,1995,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,Ilias Akhomach,MAR,MF,Villarreal,20,2004,3.2,0,5,2,40.0,1.55,0.62,0.0,0.0,26.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
10,Raúl Albiol,ESP,DF,Villarreal,39,1985,4.5,0,1,0,0.0,0.22,0.0,0.0,0.0,4.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
11,Omar Alderete,PAR,DF,Getafe,27,1996,7.0,0,13,4,30.8,1.86,0.57,0.0,0.0,20.8,1,0,0,0.3,0.3,0.02,-0.3,-0.3
12,Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,3.4,0,4,1,25.0,1.18,0.3,0.0,0.0,12.9,0,0,0,0.8,0.8,0.19,-0.8,-0.8
13,Alfon,ESP,"FW,MF",Celta Vigo,25,1999,2.1,0,7,1,14.3,3.37,0.48,0.0,0.0,14.4,0,0,0,0.7,0.7,0.1,-0.7,-0.7
14,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,24,2000,3.8,0,2,1,50.0,0.52,0.26,0.0,0.0,22.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
15,Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,0,1,0,0.0,1.87,0.0,0.0,0.0,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
16,Marcos Alonso,ESP,"DF,MF",Celta Vigo,33,1990,3.1,0,2,1,50.0,0.64,0.32,0.0,0.0,17.5,1,0,0,0.2,0.2,0.08,-0.2,-0.2
17,Adrià Altimira,ESP,"FW,DF",Leganés,23,2001,2.0,0,3,0,0.0,1.52,0.0,0.0,0.0,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
18,Sergi Altimira,ESP,MF,Betis,23,2001,3.9,0,7,1,14.3,1.78,0.25,0.0,0.0,23.4,0,0,0,0.3,0.2,0.03,-0.3,-0.2
19,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,6.6,1,6,3,50.0,0.91,0.45,0.17,0.33,18.0,1,0,0,0.4,0.4,0.07,0.6,0.6
20,Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24,2000,4.9,2,12,5,41.7,2.47,1.03,0.17,0.4,16.0,0,0,0,1.6,1.6,0.13,0.4,0.4
21,Yeray Álvarez,ESP,DF,Athletic Club,29,1995,4.0,0,1,0,0.0,0.25,0.0,0.0,0.0,10.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
