Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
1,Abel,ESP,DF,Osasuna,24,2000,7,6,521,5.8,2,0.35,0,0.0,2,0.35,2,0.35,0,0,1,0,0.2,0.04,0.2,0.04,0.2,0.03,0.4,0.07,13,25,12,0.35,0.07
2,Nabil Aberdin,FRA,MF,Getafe,22,2002,4,3,224,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.01,0.1,0.03,2,6,2,0.0,0.03
3,Abdel Abqar,MAR,DF,Alavés,25,1999,8,8,612,6.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,4,0,0.0,0.01,0.0,0.01,0.0,0.0,0.1,0.01,6,19,0,0.0,0.01
4,Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,6,6,486,5.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5,Lucien Agoume,FRA,MF,Sevilla,22,2002,8,5,465,5.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.2,0.03,0.2,0.05,7,24,7,0.0,0.05
6,Álvaro Aguado,ESP,MF,Espanyol,28,1996,7,2,228,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.08,0.2,0.08,0.0,0.02,0.2,0.1,7,19,2,0.0,0.1
7,Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,4,4,334,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.8,0.22,0.8,0.22,0.0,0.01,0.8,0.22,5,15,0,0.0,0.22
8,Joseph Aidoo,GHA,DF,Celta Vigo,29,1995,1,0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0
9,Ilias Akhomach,MAR,MF,Villarreal,20,2004,6,3,291,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.04,0.1,0.04,0.5,0.16,0.7,0.2,13,4,32,0.0,0.2
10,Raúl Albiol,ESP,DF,Villarreal,39,1985,6,5,401,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02,0,4,0,0.0,0.02
11,Omar Alderete,PAR,DF,Getafe,27,1996,7,7,630,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.3,0.04,0.3,0.04,0.6,0.09,0.9,0.13,7,31,0,0.0,0.13
12,Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,6,3,305,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.8,0.23,0.8,0.23,0.0,0.0,0.8,0.23,2,8,7,0.0,0.23
13,Alfon,ESP,"FW,MF",Celta Vigo,25,1999,4,2,187,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0.7,0.35,0.7,0.35,0.3,0.17,1.1,0.52,9,6,20,0.0,0.52
14,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,24,2000,7,4,346,3.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.3,0.07,0.4,0.1,6,28,16,0.0,0.1
15,Iker Almena,ESP,"FW,DF",Girona,20,2004,2,0,48,0.5,0,0.0,1,1.87,1,1.87,0,0.0,0,0,0,0,0.0,0.06,0.0,0.06,0.7,1.27,0.7,1.33,6,2,10,1.87,1.33
16,Marcos Alonso,ESP,"DF,MF",Celta Vigo,33,1990,4,2,282,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.2,0.06,0.3,0.11,12,31,18,0.0,0.11
17,Adrià Altimira,ESP,"FW,DF",Leganés,23,2001,4,2,178,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.05,0.1,0.05,0.0,0.01,0.1,0.06,3,3,6,0.0,0.06
18,Sergi Altimira,ESP,MF,Betis,23,2001,6,3,354,3.9,0,0.0,1,0.25,1,0.25,0,0.0,0,0,2,0,0.3,0.07,0.2,0.05,0.2,0.05,0.4,0.09,5,22,6,0.25,0.12
19,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,8,6,594,6.6,1,0.15,1,0.15,2,0.3,1,0.15,0,0,3,0,0.4,0.06,0.4,0.06,0.3,0.05,0.7,0.11,29,20,70,0.3,0.11
20,Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24,2000,8,5,438,4.9,2,0.41,0,0.0,2,0.41,2,0.41,0,0,1,0,1.6,0.33,1.6,0.33,0.2,0.04,1.8,0.37,11,5,27,0.41,0.37
21,Yeray Álvarez,ESP,DF,Athletic Club,29,1995,4,4,360,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.02,0.1,0.02,0.0,0.01,0.1,0.03,3,28,0,0.0,0.03
22,Selim Amallah,MAR,MF,Valladolid,27,1996,6,5,374,4.2,0,0.0,1,0.24,1,0.24,0,0.0,0,0,1,0,0.4,0.11,0.4,0.11,0.1,0.03,0.6,0.14,8,20,7,0.24,0.14
23,Amath,SEN,"FW,DF",Valladolid,28,1996,5,4,226,2.5,0,0.0,1,0.4,1,0.4,0,0.0,0,0,0,0,0.3,0.11,0.3,0.11,0.2,0.08,0.5,0.19,6,8,15,0.4,0.19
24,Marcos André,BRA,FW,Valladolid,27,1996,4,3,207,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.04,0.1,0.04,0.0,0.0,0.1,0.04,1,0,5,0.0,0.04
25,Antoniu,ESP,MF,Espanyol,22,2002,2,0,29,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.05,0.0,0.05,0.1,0.29,0.1,0.34,0,0,1,0.0,0.34
26,Aritz Arambarri,ESP,DF,Leganés,26,1998,2,2,177,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0,2,0,0.0,0.01
27,Mauro Arambarri,URU,"MF,FW",Getafe,29,1995,8,4,378,4.2,2,0.48,0,0.0,2,0.48,2,0.48,0,0,3,0,0.4,0.09,0.4,0.09,0.0,0.0,0.4,0.09,1,9,6,0.48,0.09
28,Jon Aramburu,VEN,DF,Real Sociedad,22,2002,6,4,346,3.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.1,0.03,0.1,0.03,0.2,0.06,0.4,0.09,7,21,8,0.0,0.09
29,Adu Ares,ESP,FW,Athletic Club,22,2001,1,0,19,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0
30,Jesús Areso,ESP,DF,Osasuna,25,1999,7,7,612,6.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.3,0.05,0.3,0.05,27,23,28,0.0,0.05
31,José Arnaiz,ESP,FW,Osasuna,29,1995,1,0,15,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.41,0.1,0.41,1,1,1,0.0,0.41
32,Takuma Asano,JPN,FW,Mallorca,29,1994,6,4,319,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.7,0.19,0.7,0.19,0.0,0.0,0.7,0.19,16,9,20,0.0,0.19
33,Iago Aspas,ESP,"FW,MF",Celta Vigo,37,1987,8,6,576,6.4,4,0.62,2,0.31,6,0.94,3,0.47,1,2,1,0,3.1,0.48,1.5,0.24,0.8,0.12,2.3,0.36,19,41,47,0.78,0.61
34,Yaser Asprilla,COL,"MF,FW",Girona,20,2003,5,2,251,2.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.5,0.19,0.5,0.19,0.1,0.04,0.6,0.23,17,18,28,0.0,0.23
35,Ezequiel Ávila,ARG,FW,Betis,30,1994,6,2,198,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.06,0.1,0.06,0.6,0.28,0.8,0.35,4,7,22,0.0,0.35
36,César Azpilicueta,ESP,DF,Atlético Madrid,35,1989,5,5,390,4.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.0,0.0,0.2,0.05,4,29,5,0.0,0.05
37,Loïc Bade,FRA,DF,Sevilla,24,2000,6,5,471,5.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.2,0.03,0.2,0.03,0.0,0.01,0.2,0.04,0,4,1,0.0,0.04
38,Alex Baena,ESP,MF,Villarreal,23,2001,6,6,463,5.1,0,0.0,4,0.78,4,0.78,0,0.0,0,0,2,0,0.9,0.18,0.9,0.18,2.1,0.41,3.1,0.59,11,31,29,0.78,0.59
39,Eric Bailly,CIV,DF,Villarreal,30,1994,5,4,376,4.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.01,0.1,0.01,0.0,0.0,0.1,0.01,1,10,0,0.0,0.01
40,Cédric Bakambu,COD,FW,Betis,33,1991,3,1,109,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.21,0.3,0.21,0.0,0.0,0.3,0.21,0,0,5,0.0,0.21
