Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
1,Keyliane Abdallah,FRA,FW,Marseille,18,2006.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,37,1987.0,5.0,5,2,5,0,0,4,7,57.1,3,9,8,1,3,8,24,0
3,Himad Abdelli,ALG,"MF,FW",Angers,24,1999.0,5.9,12,8,2,4,6,5,9,55.6,4,5,0,5,6,18,5,0
4,Mohamed Abdelmoneim,EGY,DF,Nice,25,1999.0,1.8,9,6,6,2,1,6,11,54.5,5,1,1,0,0,9,4,1
5,Ali Abdi,TUN,"DF,MF",Nice,30,1993.0,1.5,8,5,3,2,3,7,10,70.0,3,3,1,2,1,9,4,0
6,Matthis Abline,FRA,FW,Nantes,21,2003.0,5.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0
7,Abner,BRA,DF,Lyon,24,2000.0,5.1,12,8,4,6,2,9,13,69.2,4,8,1,7,5,17,12,0
8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24,2000.0,4.6,1,0,0,0,1,0,2,0.0,2,3,0,3,2,3,0,0
9,Akor Adams,NGA,FW,Montpellier,24,2000.0,5.1,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0
10,Martin Adeline,FRA,MF,Reims,20,2003.0,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0
11,Adryelson,BRA,DF,Lyon,26,1998.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0
12,Emmanuel Agbadou,CIV,DF,Reims,27,1997.0,6.0,18,11,14,2,2,13,17,76.5,4,14,10,4,8,26,31,1
13,Ruben Aguilar,FRA,DF,Lens,31,1993.0,2.9,9,6,5,4,0,7,9,77.8,2,5,1,4,5,14,2,0
14,Jean-Eudes Aholou,CIV,MF,Angers,30,1994.0,4.1,11,8,5,4,2,4,9,44.4,5,4,2,2,8,19,5,0
15,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19,2005.0,1.0,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0
16,Ludovic Ajorque,FRA,FW,Brest,30,1994.0,4.5,3,2,0,2,1,1,4,25.0,3,2,0,2,0,3,4,0
17,Ümit Akdag,ROU,DF,Toulouse,20,2003.0,0.9,3,2,1,2,0,3,5,60.0,2,1,1,0,5,8,0,0
18,Sergio Akieme,ESP,DF,Reims,26,1997.0,4.0,5,4,4,1,0,3,6,50.0,3,4,2,2,1,6,12,0
19,Maghnes Akliouche,FRA,"FW,MF",Monaco,22,2002.0,4.2,8,6,5,2,1,2,7,28.6,5,2,0,2,0,8,2,0
20,Clément Akpa,CIV,DF,Auxerre,22,2001.0,3.8,4,1,1,0,3,2,6,33.3,4,7,2,5,5,9,16,1
21,Mohamed Ali Cho,FRA,FW,Nice,20,2004.0,3.9,3,2,0,1,2,0,3,0.0,3,2,0,2,1,4,1,0
22,Jim Allevinah,GAB,FW,Angers,29,1995.0,2.3,2,1,1,0,1,0,2,0.0,2,1,0,1,1,3,2,0
23,Jordan Amavi,FRA,DF,Brest,30,1994.0,3.8,14,10,5,6,3,9,13,69.2,4,5,2,3,6,20,8,0
24,Kelvin Amian,FRA,DF,Nantes,26,1998.0,4.2,19,11,17,2,0,9,11,81.8,2,4,1,3,1,20,11,0
25,Michael Amir Murillo,PAN,DF,Marseille,28,1996.0,6.0,13,7,8,3,2,6,12,50.0,6,3,3,0,4,17,17,0
26,Mathis Amougou,FRA,MF,Saint-Étienne,18,2006.0,5.1,5,3,3,2,0,2,5,40.0,3,4,0,4,5,10,2,0
27,Benjamin André,FRA,MF,Lille,34,1990.0,4.9,13,6,5,7,1,8,13,61.5,5,5,0,5,6,19,4,0
28,Dennis Appiah,FRA,DF,Saint-Étienne,32,1992.0,3.9,13,11,9,4,0,10,21,47.6,11,7,4,3,3,16,16,0
29,Carlens Arcus,HAI,DF,Angers,28,1996.0,4.8,13,5,7,5,1,8,16,50.0,8,6,1,5,9,22,7,1
30,Hákon Arnar Haraldsson,ISL,MF,Lille,21,2003.0,1.9,5,2,2,2,1,3,7,42.9,4,0,0,0,1,6,0,0
31,Marco Asensio,ESP,"FW,MF",Paris S-G,28,1996.0,2.9,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0
32,Lorenz Assignon,TOG,"DF,MF",Rennes,24,2000.0,4.3,6,4,2,4,0,4,7,57.1,3,5,3,2,7,13,20,0
33,Dehmaine Assoumani,FRA,"MF,FW",Nantes,19,2005.0,0.3,2,1,0,0,2,0,0,0.0,0,0,0,0,0,2,1,0
34,Valentin Atangana Edoa,FRA,MF,Reims,19,2005.0,5.6,14,9,7,6,1,5,8,62.5,3,6,3,3,7,21,10,0
35,Florian Ayé,FRA,FW,Auxerre,27,1997.0,1.6,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,3,0
36,Neil El Aynaoui,FRA,MF,Lens,23,2001.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Shavy Babicka,GAB,MF,Toulouse,24,2000.0,2.7,7,6,3,3,1,4,5,80.0,1,1,0,1,0,7,0,0
38,Theo Bair,CAN,FW,Auxerre,25,1999.0,2.1,0,0,0,0,0,0,0,0.0,0,2,1,1,0,0,2,0
39,Mitchel Bakker,NED,DF,Lille,24,2000.0,0.6,5,4,1,2,2,2,2,100.0,0,0,0,0,4,9,0,0
40,Dilane Bakwa,FRA,"MF,DF",Strasbourg,22,2002.0,5.8,8,5,5,1,2,4,7,57.1,3,3,0,3,3,11,6,0
41,Leonardo Balerdi,ARG,DF,Marseille,25,1999.0,2.0,2,2,2,0,0,1,2,50.0,1,2,2,0,3,5,7,1
42,Folarin Balogun,USA,FW,Monaco,23,2001.0,3.8,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
43,Abdoulaye Bamba,CIV,DF,Angers,34,1990.0,2.7,5,2,4,1,0,2,3,66.7,1,1,1,0,4,9,12,0
44,Bradley Barcola,FRA,FW,Paris S-G,22,2002.0,4.2,8,4,5,2,1,1,3,33.3,2,6,0,6,2,10,1,0
45,Melvin Bard,FRA,"MF,DF",Nice,23,2000.0,3.7,8,4,4,4,0,3,6,50.0,3,7,2,5,2,10,4,1
46,Gabriel Bares,SUI,MF,Montpellier,24,2000.0,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
47,Dylan Batubinsika,COD,DF,Saint-Étienne,28,1996.0,6.0,11,6,9,2,0,5,7,71.4,2,6,3,3,11,22,29,0
48,Haris Belkebla,ALG,MF,Angers,30,1994.0,2.9,6,5,5,1,0,2,6,33.3,4,4,1,3,1,7,3,1
49,Yassin Belkhdim,FRA,MF,Angers,22,2002.0,3.1,11,5,3,5,3,3,5,60.0,2,4,0,4,6,17,4,0
50,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19,2005.0,4.4,11,8,4,4,3,6,8,75.0,2,6,0,6,0,11,0,0
51,Saïd Benrahma,ALG,"FW,MF",Lyon,29,1995.0,2.9,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,0,0
52,Lucas Beraldo,BRA,DF,Paris S-G,20,2003.0,4.9,10,9,9,1,0,7,13,53.8,6,4,0,4,3,13,8,0
53,Dimitry Bertaud,COD,GK,Montpellier,26,1998.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,Emmanuel Biumla,FRA,DF,Angers,19,2005.0,3.1,10,5,6,4,0,8,10,80.0,2,4,0,4,3,13,8,0
55,Marco Bizot,NED,GK,Brest,33,1991.0,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0
56,Ludovic Blas,FRA,"MF,FW",Rennes,26,1997.0,5.6,5,4,1,2,2,4,9,44.4,5,5,2,3,3,8,2,0
57,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,23,2000.0,0.6,3,1,1,2,0,2,4,50.0,2,0,0,0,0,3,0,0
58,Jeremie Boga,CIV,"FW,MF",Nice,27,1997.0,1.9,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0
59,Moïse Bombito,CAN,DF,Nice,24,2000.0,3.7,7,6,4,3,0,4,5,80.0,1,5,5,0,4,11,19,1
60,Ayyoub Bouaddi,FRA,MF,Lille,16,2007.0,1.0,7,3,4,2,1,3,6,50.0,3,1,0,1,0,7,0,0
61,Badredine Bouanani,ALG,"FW,MF",Nice,19,2004.0,2.9,0,0,0,0,0,0,2,0.0,2,3,0,3,3,3,0,0
62,Benjamin Bouchouari,MAR,MF,Saint-Étienne,22,2001.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
63,Hicham Boudaoui,ALG,MF,Nice,25,1999.0,4.0,14,8,8,3,3,7,13,53.8,6,5,1,4,4,18,1,0
64,Benjamin Bourigeaud,FRA,MF,Rennes,30,1994.0,0.9,1,0,0,1,0,0,2,0.0,2,2,1,1,2,3,1,0
65,Bilal Brahimi,ALG,MF,Nice,24,2000.0,0.8,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,0
66,Lilian Brassier,FRA,DF,Marseille,24,1999.0,4.9,5,4,5,0,0,3,4,75.0,1,6,2,4,4,9,20,0
67,Aurélio Buta,POR,DF,Reims,27,1997.0,3.7,7,6,6,0,1,5,10,50.0,5,1,0,1,5,12,9,0
68,Marcin Bułka,POL,GK,Nice,24,1999.0,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2
69,Rémy Cabella,FRA,"MF,FW",Lille,34,1990.0,2.9,8,5,1,5,2,5,9,55.6,4,2,0,2,2,10,0,0
70,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27,1997.0,4.4,3,2,2,0,1,1,6,16.7,5,2,1,1,3,6,2,0
71,Duje Ćaleta-Car,CRO,DF,Lyon,28,1996.0,6.0,7,2,5,2,0,2,3,66.7,1,8,8,0,10,17,30,0
72,Issiaga Camara,GUI,MF,Nice,19,2005.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0
73,Lamine Camara,SEN,MF,Monaco,20,2004.0,3.7,17,12,7,8,2,7,13,53.8,6,3,0,3,7,24,1,0
74,Mahdi Camara,FRA,MF,Brest,26,1998.0,5.1,14,6,1,9,4,5,8,62.5,3,8,0,8,9,23,7,0
75,Axel Camblan,FRA,"MF,FW",Brest,21,2003.0,0.3,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0
76,Jaydee Canvot,FRA,DF,Toulouse,18,2006.0,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
77,Pierrick Capelle,FRA,MF,Angers,37,1987.0,2.0,6,3,3,2,1,3,6,50.0,3,1,1,0,3,9,0,1
78,Maxence Caqueret,FRA,MF,Lyon,24,2000.0,5.1,17,8,5,9,3,3,17,17.6,14,11,2,9,6,23,1,0
79,Valentin Carboni,ARG,"MF,FW",Marseille,19,2005.0,0.6,2,2,0,1,1,0,1,0.0,1,1,0,1,1,3,1,0
80,Josué Casimir,FRA,"FW,DF",Le Havre,23,2001.0,4.5,7,4,2,3,2,1,4,25.0,3,2,0,2,1,8,7,0
81,Cristian Cásseres Jr.,VEN,MF,Toulouse,24,2000.0,4.7,25,16,14,9,2,8,14,57.1,6,6,1,5,5,30,6,0
82,Jean-Charles Castelletto,CMR,DF,Nantes,29,1995.0,5.0,2,1,2,0,0,1,3,33.3,2,5,4,1,0,2,36,0
83,Brendan Chardonnet,FRA,DF,Brest,29,1994.0,5.0,12,9,5,5,2,8,13,61.5,5,4,3,1,3,15,23,1
84,Jhoanner Chávez,ECU,DF,Lens,22,2002.0,3.4,3,1,1,1,1,1,3,33.3,2,6,1,5,4,7,6,0
85,Théo Chennahi,FRA,DF,Montpellier,19,2005.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
86,Sidiki Cherif,FRA,FW,Angers,17,2006.0,3.1,4,4,0,3,1,3,4,75.0,1,2,0,2,0,4,0,1
87,Rayan Cherki,FRA,MF,Lyon,21,2003.0,0.5,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
88,Lucas Chevalier,FRA,GK,Lille,22,2001.0,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
89,Pedro Chirivella,ESP,MF,Nantes,27,1997.0,5.8,8,8,5,3,0,5,8,62.5,3,2,0,2,1,9,14,0
90,Joris Chotard,FRA,MF,Montpellier,23,2001.0,2.4,6,3,1,5,0,3,5,60.0,2,3,0,3,1,7,2,0
91,Jonathan Clauss,FRA,"MF,DF",Nice,32,1992.0,5.0,19,14,9,9,1,10,15,66.7,5,5,1,4,7,26,13,0
92,Marcus Coco,FRA,DF,Nantes,28,1996.0,3.1,11,11,5,4,2,6,11,54.5,5,5,2,3,2,13,8,0
93,Derek Cornelius,CAN,DF,Marseille,26,1997.0,3.8,5,3,3,2,0,4,5,80.0,1,4,1,3,3,8,18,0
94,Pierre Cornud,FRA,DF,Saint-Étienne,27,1996.0,2.3,3,3,2,0,1,3,4,75.0,1,3,1,2,3,6,10,1
95,David Costa,POR,MF,Lens,23,2001.0,1.5,1,0,0,1,0,1,2,50.0,1,4,1,3,1,2,0,0
96,Logan Costa,CPV,DF,Toulouse,23,2001.0,1.0,2,1,0,2,0,1,1,100.0,0,2,2,0,2,4,4,0
97,Lasso Coulibaly,GHA,"FW,MF",Auxerre,21,2002.0,0.4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
98,Soumaïla Coulibaly,FRA,DF,Brest,20,2003.0,1.2,1,1,0,1,0,0,0,0.0,0,3,1,2,3,4,8,0
99,Tanguy Coulibaly,FRA,FW,Montpellier,23,2001.0,3.2,5,4,2,3,0,2,7,28.6,5,3,0,3,2,7,0,0
100,Nicolas Cozza,FRA,DF,Nantes,25,1999.0,1.3,6,5,2,3,1,5,6,83.3,1,0,0,0,1,7,2,0
101,Charlie Cresswell,ENG,DF,Toulouse,22,2002.0,3.6,8,2,2,6,0,7,12,58.3,5,3,2,1,5,13,16,1
102,Kévin Danois,FRA,"MF,DF",Auxerre,20,2004.0,2.5,7,6,4,3,0,3,7,42.9,4,0,0,0,6,13,3,0
103,Kevin Danso,AUT,DF,Lens,26,1998.0,2.0,3,0,2,1,0,1,2,50.0,1,2,2,0,2,5,12,0
104,Dante,BRA,DF,Nice,40,1983.0,5.3,11,5,3,6,2,7,9,77.8,2,4,1,3,7,18,10,0
105,Pape Daouda Diongue,SEN,MF,Strasbourg,,0.0,0.5,1,0,0,1,0,0,0,0.0,0,0,0,0,1,2,0,0
106,Mohammed Daramy,DEN,FW,Reims,22,2002.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
107,Jonathan David,CAN,FW,Lille,24,2000.0,4.1,5,1,0,3,2,2,4,50.0,2,2,0,2,1,6,0,0
108,Zuriko Davitashvili,GEO,"MF,FW",Saint-Étienne,23,2001.0,5.7,7,4,2,4,1,6,14,42.9,8,3,0,3,3,10,1,0
109,Thibault De Smet,BEL,DF,Reims,26,1998.0,0.1,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,2,0
110,Romain Del Castillo,FRA,FW,Brest,28,1996.0,4.5,8,5,3,1,4,4,5,80.0,1,9,0,9,1,9,0,0
111,Ousmane Dembélé,FRA,FW,Paris S-G,27,1997.0,3.8,3,2,0,2,1,1,1,100.0,0,1,0,1,3,6,0,0
112,Arthur Desmas,FRA,GK,Le Havre,30,1994.0,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
113,Mamadou Diakhon,FRA,"FW,MF",Reims,19,2005.0,0.5,2,2,1,0,1,2,3,66.7,1,0,0,0,0,2,1,0
114,Bafodé Diakité,FRA,DF,Lille,23,2001.0,6.0,7,4,4,2,1,5,9,55.6,4,5,2,3,5,12,12,1
115,Oumar Diakité,CIV,FW,Reims,20,2003.0,4.7,6,4,3,3,0,4,7,57.1,3,3,0,3,0,6,3,0
116,Habib Diarra,SEN,"MF,FW",Strasbourg,20,2004.0,5.3,3,1,0,2,1,1,4,25.0,3,4,0,4,0,3,9,0
117,Krépin Diatta,SEN,DF,Monaco,25,1999.0,0.1,2,0,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0
