Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
1,Keyliane Abdallah,FRA,FW,Marseille,18,2006.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,37,1987.0,5.0,2,0.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3,Himad Abdelli,ALG,"MF,FW",Angers,24,1999.0,5.9,17,2.89,14,1,0,1,1,0,0,0.0,0,0,0,0,0,0
4,Mohamed Abdelmoneim,EGY,DF,Nice,25,1999.0,1.8,2,1.14,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5,Ali Abdi,TUN,"DF,MF",Nice,30,1993.0,1.5,5,3.41,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0
6,Matthis Abline,FRA,FW,Nantes,21,2003.0,5.3,11,2.08,8,0,2,1,0,0,0,0.0,0,0,0,0,0,0
7,Abner,BRA,DF,Lyon,24,2000.0,5.1,12,2.36,9,3,0,0,0,0,0,0.0,0,0,0,0,0,0
8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24,2000.0,4.6,6,1.31,3,0,1,1,1,0,1,0.22,1,0,0,0,0,0
9,Akor Adams,NGA,FW,Montpellier,24,2000.0,5.1,10,1.95,7,0,2,0,1,0,3,0.58,1,0,1,0,1,0
10,Martin Adeline,FRA,MF,Reims,20,2003.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
11,Adryelson,BRA,DF,Lyon,26,1998.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
12,Emmanuel Agbadou,CIV,DF,Reims,27,1997.0,6.0,4,0.67,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
13,Ruben Aguilar,FRA,DF,Lens,31,1993.0,2.9,7,2.45,7,0,0,0,0,0,1,0.35,1,0,0,0,0,0
14,Jean-Eudes Aholou,CIV,MF,Angers,30,1994.0,4.1,11,2.65,8,0,1,0,2,0,0,0.0,0,0,0,0,0,0
15,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19,2005.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
16,Ludovic Ajorque,FRA,FW,Brest,30,1994.0,4.5,10,2.24,8,0,0,0,2,0,1,0.22,0,0,0,0,1,0
17,Ümit Akdag,ROU,DF,Toulouse,20,2003.0,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
18,Sergio Akieme,ESP,DF,Reims,26,1997.0,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
19,Maghnes Akliouche,FRA,"FW,MF",Monaco,22,2002.0,4.2,17,4.03,12,1,2,1,1,0,1,0.24,1,0,0,0,0,0
20,Clément Akpa,CIV,DF,Auxerre,22,2001.0,3.8,10,2.64,9,1,0,0,0,0,1,0.26,1,0,0,0,0,0
21,Mohamed Ali Cho,FRA,FW,Nice,20,2004.0,3.9,14,3.58,7,2,2,0,3,0,3,0.77,2,0,1,0,0,0
22,Jim Allevinah,GAB,FW,Angers,29,1995.0,2.3,3,1.3,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
23,Jordan Amavi,FRA,DF,Brest,30,1994.0,3.8,3,0.78,3,0,0,0,0,0,1,0.26,1,0,0,0,0,0
24,Kelvin Amian,FRA,DF,Nantes,26,1998.0,4.2,11,2.63,8,2,0,1,0,0,0,0.0,0,0,0,0,0,0
25,Michael Amir Murillo,PAN,DF,Marseille,28,1996.0,6.0,10,1.67,8,0,0,1,0,1,0,0.0,0,0,0,0,0,0
26,Mathis Amougou,FRA,MF,Saint-Étienne,18,2006.0,5.1,9,1.76,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0
27,Benjamin André,FRA,MF,Lille,34,1990.0,4.9,9,1.83,9,0,0,0,0,0,1,0.2,1,0,0,0,0,0
28,Dennis Appiah,FRA,DF,Saint-Étienne,32,1992.0,3.9,7,1.82,5,1,1,0,0,0,1,0.26,1,0,0,0,0,0
29,Carlens Arcus,HAI,DF,Angers,28,1996.0,4.8,11,2.29,9,0,1,0,0,1,0,0.0,0,0,0,0,0,0
