Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%_penalty,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_penalty
1,Dimitry Bertaud,COD,GK,Montpellier,26,1998,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,0.0
2,Marco Bizot,NED,GK,Brest,33,1991,6,6,540,6.0,13,2.17,28,16,64.3,2,0,4,2,33.3,4,3,0,1,0.0
3,Marcin Bułka,POL,GK,Nice,24,1999,6,6,540,6.0,6,1.0,30,24,83.3,2,2,2,2,33.3,1,1,0,0,0.0
4,Lucas Chevalier,FRA,GK,Lille,22,2001,6,6,540,6.0,7,1.17,27,20,77.8,3,1,2,3,50.0,1,1,0,0,0.0
5,Arthur Desmas,FRA,GK,Le Havre,30,1994,6,6,540,6.0,13,2.17,37,23,67.6,2,0,4,1,16.7,2,1,1,0,50.0
6,Yehvann Diouf,FRA,GK,Reims,24,1999,6,6,540,6.0,8,1.33,34,26,76.5,3,2,1,0,0.0,0,0,0,0,0.0
7,Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999,4,4,360,4.0,3,0.75,12,9,83.3,4,0,0,1,25.0,1,1,0,0,0.0
8,Yahia Fofana,CIV,GK,Angers,24,2000,6,6,540,6.0,12,2.0,36,24,66.7,0,2,4,0,0.0,0,0,0,0,0.0
9,Karl-Johan Johnsson,SWE,GK,Strasbourg,34,1990,3,3,270,3.0,6,2.0,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0
10,Philipp Köhn,SUI,GK,Monaco,26,1998,6,6,540,6.0,3,0.5,15,12,86.7,5,1,0,3,50.0,1,1,0,0,0.0
11,Alban Lafont,FRA,GK,Nantes,25,1999,6,6,540,6.0,6,1.0,21,15,81.0,2,3,1,2,33.3,2,2,0,0,0.0
12,Gautier Larsonneur,FRA,GK,Saint-Étienne,27,1997,6,6,540,6.0,17,2.83,38,22,65.8,1,1,4,1,16.7,4,4,0,0,0.0
13,Benjamin Lecomte,FRA,GK,Montpellier,33,1991,4,4,360,4.0,13,3.25,25,12,52.0,0,1,3,0,0.0,1,1,0,0,0.0
14,Donovan Léon,GUF,GK,Auxerre,31,1992,6,6,540,6.0,12,2.0,32,21,65.6,2,0,4,1,16.7,1,1,0,0,0.0
15,Steve Mandanda,FRA,GK,Rennes,39,1985,6,6,540,6.0,9,1.5,27,18,66.7,2,1,3,2,33.3,1,0,1,0,100.0
16,Lucas Perri,BRA,GK,Lyon,26,1997,6,6,540,6.0,12,2.0,34,22,64.7,2,1,3,1,16.7,0,0,0,0,0.0
17,Đorđe Petrović,SRB,GK,Strasbourg,24,1999,3,3,270,3.0,4,1.33,12,8,75.0,1,2,0,1,33.3,1,1,0,0,0.0
18,Guillaume Restes,FRA,GK,Toulouse,19,2005,6,6,540,6.0,8,1.33,18,12,55.6,1,2,3,2,33.3,0,0,0,0,0.0
19,Gerónimo Rulli,ARG,GK,Marseille,32,1992,6,6,540,6.0,7,1.17,29,20,75.9,4,1,1,1,16.7,2,0,2,0,100.0
20,Matvei Safonov,RUS,GK,Paris S-G,25,1999,2,2,180,2.0,2,1.0,6,4,83.3,1,1,0,0,0.0,1,1,0,0,0.0
21,Brice Samba,FRA,GK,Lens,30,1994,6,6,540,6.0,2,0.33,21,19,95.2,2,4,0,4,66.7,1,1,0,0,0.0
