Squad,# Pl,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
Angers,23,6.0,134,83,65,45,24,62,121,51.2,59,60,12,48,64,198,116,6
Auxerre,23,6.0,107,66,57,39,11,50,109,45.9,59,64,20,44,57,164,172,4
Brest,24,6.0,116,77,43,52,21,65,105,61.9,40,70,20,50,66,182,132,1
Le Havre,21,6.0,104,70,52,40,12,43,93,46.2,50,66,22,44,63,167,130,1
Lens,22,6.0,106,60,49,40,17,61,106,57.5,45,81,21,60,56,162,140,0
Lille,22,6.0,112,67,35,55,22,63,114,55.3,51,48,6,42,40,152,58,3
Lyon,25,6.0,116,66,45,51,20,55,100,55.0,45,69,21,48,58,174,103,4
Marseille,24,6.0,91,58,58,26,7,51,90,56.7,39,50,16,34,47,138,129,4
Monaco,22,6.0,138,92,66,57,15,65,107,60.7,42,51,14,37,55,193,92,4
Montpellier,25,6.0,127,72,59,56,12,69,128,53.9,59,52,13,39,52,179,99,1
Nantes,22,6.0,120,77,63,40,17,67,112,59.8,45,52,13,39,39,159,181,1
Nice,24,6.0,119,73,48,56,15,59,102,57.8,43,56,18,38,53,172,103,7
Paris S-G,22,6.0,109,65,49,43,17,46,88,52.3,42,60,14,46,38,147,68,2
Reims,22,6.0,112,80,64,36,12,59,115,51.3,56,78,34,44,44,156,126,4
Rennes,21,6.0,121,63,57,51,13,67,110,60.9,43,75,26,49,54,175,122,0
Saint-Étienne,27,6.0,93,62,50,35,8,55,109,50.5,54,72,30,42,51,144,154,4
Strasbourg,22,6.0,109,64,52,39,18,58,96,60.4,38,63,20,43,54,163,143,1
Toulouse,22,6.0,126,71,50,61,15,62,110,56.4,48,54,15,39,48,174,107,1
