Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Angers,23,6.0,2789,2497,281,75,12,3,109,123,30,14,11,1,2227,11,47
Auxerre,23,6.0,2740,2460,273,94,1,25,120,106,25,10,11,0,2155,7,59
Brest,24,6.0,2704,2413,284,93,0,17,103,100,22,10,9,0,2096,7,50
Le Havre,21,6.0,2343,2089,242,72,8,10,85,96,18,8,7,0,1823,12,39
Lens,22,6.0,2988,2696,274,73,12,10,129,119,34,16,10,0,2341,18,66
Lille,22,6.0,3799,3542,241,73,6,17,115,93,35,9,15,0,3265,16,55
Lyon,25,6.0,2873,2573,283,72,6,17,121,115,38,26,7,0,2304,17,72
Marseille,24,6.0,3589,3326,251,81,6,11,54,101,12,6,1,0,3114,12,51
Monaco,22,6.0,3283,2941,327,113,20,14,96,127,36,20,9,0,2703,15,54
Montpellier,25,6.0,2612,2297,304,86,8,25,125,105,33,8,20,0,2060,11,46
Nantes,22,6.0,2724,2441,276,63,5,9,125,135,31,12,15,0,2183,7,53
Nice,24,6.0,2975,2701,261,92,17,4,90,84,25,12,10,0,2487,13,40
Paris S-G,22,6.0,4537,4260,265,79,14,20,88,105,39,9,11,0,4106,12,59
Reims,22,6.0,2452,2207,240,74,10,18,83,83,17,9,6,0,1962,5,41
Rennes,21,6.0,2528,2251,270,82,7,12,85,107,28,23,2,0,1993,7,59
Saint-Étienne,27,6.0,2420,2141,266,72,2,17,66,103,16,7,8,0,1915,13,31
Strasbourg,22,6.0,2833,2539,286,95,9,8,69,102,27,9,15,0,2318,8,45
Toulouse,22,6.0,2739,2451,283,78,7,13,106,123,28,9,17,0,2130,5,48
