Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Angers,23,27.4,6,540,90,100,6.0,66,82,37,29,19,25,0.33,4,12,-8,-1.33,5.3,10.1,-4.8,-0.81
Auxerre,23,26.5,6,540,90,100,6.0,66,81,37,27,19,27,1.0,8,12,-4,-0.67,7.8,11.1,-3.3,-0.55
Brest,24,28.6,6,540,90,100,6.0,66,82,38,28,19,23,1.0,8,13,-5,-0.83,7.5,13.5,-6.0,-1.0
Le Havre,21,26.8,6,540,90,100,6.0,66,82,41,25,20,29,1.0,7,13,-6,-1.0,6.5,10.9,-4.4,-0.73
Lens,22,27.4,6,540,90,100,6.0,66,80,36,30,21,23,1.67,5,2,3,0.5,9.9,5.3,4.5,0.76
Lille,22,26.2,6,540,90,100,6.0,66,80,35,31,20,23,1.67,11,7,4,0.67,11.3,8.1,3.1,0.52
Lyon,25,27.7,6,540,90,100,6.0,66,82,38,28,19,26,1.17,8,12,-4,-0.67,9.0,9.7,-0.8,-0.13
Marseille,24,26.6,6,540,90,100,6.0,66,81,38,27,19,27,2.17,15,7,8,1.33,8.2,9.3,-1.1,-0.19
Monaco,22,24.7,6,540,90,100,6.0,66,82,37,28,20,26,2.67,12,3,9,1.5,13.8,4.7,9.1,1.52
Montpellier,25,26.1,6,540,90,100,6.0,66,81,42,23,25,29,0.67,6,17,-11,-1.83,6.1,12.0,-5.9,-0.98
Nantes,22,26.5,6,540,90,100,6.0,66,85,37,28,12,27,1.5,9,6,3,0.5,7.3,6.1,1.2,0.2
Nice,24,26.5,6,540,90,100,6.0,66,82,37,28,18,26,1.33,14,6,8,1.33,11.9,7.1,4.8,0.79
Paris S-G,22,23.9,6,540,90,100,6.0,66,80,38,28,22,24,2.67,20,5,15,2.5,16.7,4.9,11.8,1.96
Reims,22,25.0,6,540,90,100,6.0,66,82,40,26,16,30,1.83,10,8,2,0.33,6.0,10.1,-4.1,-0.68
Rennes,21,26.6,6,540,90,100,6.0,66,83,39,27,18,27,1.17,10,9,1,0.17,7.9,8.1,-0.1,-0.02
Saint-Étienne,27,26.4,6,540,90,100,6.0,66,80,38,28,22,26,0.67,3,17,-14,-2.33,4.3,15.1,-10.9,-1.81
Strasbourg,22,22.2,6,540,90,100,6.0,66,83,39,27,17,29,1.5,12,10,2,0.33,11.1,9.3,1.8,0.3
Toulouse,22,25.4,6,540,90,100,6.0,66,81,37,28,20,26,0.83,5,8,-3,-0.5,8.6,3.7,5.0,0.83
