Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Angers,23,47.2,6.0,3506,340,1146,1565,826,94,3504,122,52,42.6,66,54.1,1760,9049,4410,85,54,20,103,62,2209,205
Auxerre,23,47.5,6.0,3433,373,1131,1552,782,101,3432,97,36,37.1,51,52.6,1845,9185,4552,96,76,10,74,62,2136,242
Brest,24,47.0,6.0,3371,406,1187,1521,691,99,3367,112,41,36.6,66,58.9,1654,8664,3969,76,54,22,77,41,2078,163
Le Havre,21,39.7,6.0,2970,336,1064,1308,634,90,2968,99,47,47.5,41,41.4,1627,8778,4597,90,47,21,90,54,1810,197
Lens,22,53.0,6.0,3733,343,1067,1677,1021,141,3732,107,37,34.6,65,60.7,1874,9415,4660,91,80,10,103,61,2315,258
Lille,22,61.5,6.0,4379,267,969,2153,1288,192,4377,117,61,52.1,53,45.3,2719,14424,7575,153,125,40,82,58,3242,333
Lyon,25,50.7,6.0,3512,355,1013,1505,1027,160,3510,116,44,37.9,63,54.3,1771,9146,4659,117,59,29,87,55,2280,269
Marseille,24,57.3,6.0,4188,457,1576,1983,657,108,4186,93,36,38.7,51,54.8,2639,12573,5774,85,57,28,82,50,3076,185
Monaco,22,61.3,6.0,3982,301,1040,2021,969,175,3982,136,65,47.8,61,44.9,2398,13557,7084,141,120,43,109,61,2679,285
Montpellier,25,46.8,6.0,3231,376,1076,1459,725,88,3230,109,45,41.3,58,53.2,1634,9317,4416,90,51,23,84,65,2046,206
Nantes,22,44.8,6.0,3400,339,1003,1598,829,128,3399,115,55,47.8,57,49.6,1686,9143,4480,111,79,31,80,55,2175,225
Nice,24,50.8,6.0,3655,369,1243,1742,702,131,3654,132,51,38.6,70,53.0,2096,11384,6181,110,67,33,95,53,2459,209
Paris S-G,22,68.0,6.0,5187,376,1267,2639,1317,196,5185,149,56,37.6,89,59.7,3175,16086,8544,166,114,63,91,52,4081,354
Reims,22,40.5,6.0,3110,475,1342,1224,592,99,3110,111,62,55.9,46,41.4,1717,9873,4897,103,74,19,96,51,1946,182
Rennes,21,44.2,6.0,3218,336,965,1423,865,152,3216,112,49,43.8,57,50.9,1722,8472,4580,99,76,33,85,58,1974,229
Saint-Étienne,27,43.5,6.0,3086,429,1197,1341,579,73,3085,101,39,38.6,58,57.4,1551,8147,4000,73,56,14,101,52,1907,172
Strasbourg,22,49.8,6.0,3491,487,1559,1424,540,101,3491,102,39,38.2,59,57.8,1812,8863,4534,98,55,31,83,58,2286,159
Toulouse,22,46.3,6.0,3350,343,1089,1562,746,118,3349,94,43,45.7,46,48.9,1960,9014,4571,84,61,21,81,55,2101,231
