Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,G+A-PK,xG+xAG
Angers,23,27.4,47.2,6,66,540,6.0,4,0.67,2,0.33,6,1.0,2,0.33,2,2,11,0,5.3,0.88,3.7,0.61,3.2,0.54,6.9,1.15,85,208,0.67,1.42
Auxerre,23,26.5,47.5,6,66,540,6.0,8,1.33,5,0.83,13,2.17,7,1.17,1,1,15,2,7.8,1.3,7.1,1.18,6.3,1.06,13.4,2.23,96,243,2.0,2.36
Brest,24,28.6,47.0,6,66,540,6.0,8,1.33,3,0.5,11,1.83,5,0.83,3,4,11,0,7.5,1.25,4.4,0.73,3.1,0.52,7.5,1.24,76,164,1.33,1.77
Le Havre,21,26.8,39.7,6,66,540,6.0,6,1.0,4,0.67,10,1.67,4,0.67,2,2,13,0,6.5,1.09,4.9,0.82,3.9,0.65,8.9,1.48,90,200,1.33,1.74
Lens,22,27.4,53.0,6,66,540,6.0,4,0.67,2,0.33,6,1.0,3,0.5,1,1,13,2,9.9,1.65,9.1,1.52,6.7,1.12,15.9,2.64,91,261,0.83,2.77
Lille,22,26.2,61.5,6,66,540,6.0,11,1.83,7,1.17,18,3.0,10,1.67,1,2,10,0,11.3,1.88,10.1,1.69,7.9,1.32,18.0,3.0,153,337,2.83,3.19
Lyon,25,27.7,50.7,6,66,540,6.0,7,1.17,4,0.67,11,1.83,7,1.17,0,2,12,0,9.0,1.49,7.2,1.21,5.4,0.9,12.6,2.1,117,273,1.83,2.39
Marseille,24,26.6,57.3,6,66,540,6.0,14,2.33,8,1.33,22,3.67,12,2.0,2,2,13,2,8.2,1.37,6.6,1.1,4.1,0.69,10.7,1.79,85,187,3.33,2.05
Monaco,22,24.7,61.3,6,66,540,6.0,12,2.0,11,1.83,23,3.83,12,2.0,0,0,10,1,13.8,2.3,13.8,2.3,11.6,1.93,25.4,4.23,141,287,3.83,4.23
Montpellier,25,26.1,46.8,6,66,540,6.0,6,1.0,4,0.67,10,1.67,5,0.83,1,1,19,1,6.1,1.02,5.4,0.9,4.1,0.68,9.5,1.58,90,208,1.5,1.7
Nantes,22,26.5,44.8,6,66,540,6.0,9,1.5,6,1.0,15,2.5,8,1.33,1,1,16,1,7.3,1.22,6.5,1.09,5.3,0.89,11.9,1.98,111,226,2.33,2.11
Nice,24,26.5,50.8,6,66,540,6.0,13,2.17,8,1.33,21,3.5,12,2.0,1,1,12,1,11.9,1.98,11.2,1.86,6.3,1.05,17.5,2.91,110,212,3.33,3.04
Paris S-G,22,23.9,68.0,6,66,540,6.0,20,3.33,16,2.67,36,6.0,18,3.0,2,2,7,0,16.7,2.78,15.1,2.52,14.2,2.36,29.3,4.88,166,355,5.67,5.15
Reims,22,25.0,40.5,6,66,540,6.0,10,1.67,5,0.83,15,2.5,10,1.67,0,0,11,1,6.0,1.01,6.0,1.01,4.5,0.75,10.5,1.75,103,183,2.5,1.75
Rennes,21,26.6,44.2,6,66,540,6.0,10,1.67,6,1.0,16,2.67,8,1.33,2,2,13,0,7.9,1.32,6.5,1.08,4.2,0.7,10.7,1.78,99,233,2.33,2.02
Saint-Étienne,27,26.4,43.5,6,66,540,6.0,3,0.5,2,0.33,5,0.83,2,0.33,1,1,13,0,4.3,0.71,3.5,0.58,2.1,0.34,5.6,0.93,73,174,0.67,1.06
Strasbourg,22,22.2,49.8,6,66,540,6.0,11,1.83,8,1.33,19,3.17,11,1.83,0,0,15,0,11.1,1.85,11.1,1.85,8.4,1.4,19.6,3.26,98,162,3.17,3.26
Toulouse,22,25.4,46.3,6,66,540,6.0,5,0.83,5,0.83,10,1.67,5,0.83,0,1,10,1,8.6,1.44,7.8,1.31,6.3,1.06,14.2,2.36,84,236,1.67,2.49
