Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Keyliane Abdallah,FRA,FW,Marseille,18,2006.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,37,1987.0,5.0,0,0,0,7,4,0,0,3,2,0,0,0,15,6,4,60.0
3,Himad Abdelli,ALG,"MF,FW",Angers,24,1999.0,5.9,0,0,0,11,7,0,15,6,8,0,0,0,37,2,2,50.0
4,Mohamed Abdelmoneim,EGY,DF,Nice,25,1999.0,1.8,1,0,0,1,1,0,0,0,6,0,0,0,6,1,4,20.0
5,Ali Abdi,TUN,"DF,MF",Nice,30,1993.0,1.5,1,0,0,3,1,0,3,1,5,0,0,0,5,2,3,40.0
6,Matthis Abline,FRA,FW,Nantes,21,2003.0,5.3,1,0,0,7,7,1,4,0,0,0,0,0,7,10,14,41.7
7,Abner,BRA,DF,Lyon,24,2000.0,5.1,1,0,0,8,0,0,20,5,8,0,0,0,22,2,3,40.0
8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24,2000.0,4.6,0,0,0,9,4,2,7,2,0,0,0,0,12,5,7,41.7
9,Akor Adams,NGA,FW,Montpellier,24,2000.0,5.1,1,0,0,11,6,6,4,0,1,1,0,0,9,12,12,50.0
10,Martin Adeline,FRA,MF,Reims,20,2003.0,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
11,Adryelson,BRA,DF,Lyon,26,1998.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
12,Emmanuel Agbadou,CIV,DF,Reims,27,1997.0,6.0,0,0,0,5,3,0,0,8,11,0,0,0,31,5,5,50.0
13,Ruben Aguilar,FRA,DF,Lens,31,1993.0,2.9,1,0,0,5,2,1,9,5,6,0,0,0,19,2,2,50.0
14,Jean-Eudes Aholou,CIV,MF,Angers,30,1994.0,4.1,1,0,0,12,3,0,0,8,8,0,0,0,20,7,4,63.6
15,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19,2005.0,1.0,0,0,0,2,1,0,1,1,3,0,0,0,4,1,3,25.0
16,Ludovic Ajorque,FRA,FW,Brest,30,1994.0,4.5,1,0,0,6,6,1,0,0,2,2,0,0,9,22,17,56.4
17,Ümit Akdag,ROU,DF,Toulouse,20,2003.0,0.9,0,0,0,3,0,0,0,5,2,0,0,0,6,8,3,72.7
18,Sergio Akieme,ESP,DF,Reims,26,1997.0,4.0,0,0,0,4,2,0,10,1,4,0,0,0,20,3,4,42.9
19,Maghnes Akliouche,FRA,"FW,MF",Monaco,22,2002.0,4.2,0,0,0,6,8,2,8,0,6,0,0,0,24,1,1,50.0
20,Clément Akpa,CIV,DF,Auxerre,22,2001.0,3.8,1,0,0,1,8,0,19,5,1,0,0,0,15,5,5,50.0
21,Mohamed Ali Cho,FRA,FW,Nice,20,2004.0,3.9,0,0,0,4,13,2,14,1,2,0,0,0,13,1,6,14.3
22,Jim Allevinah,GAB,FW,Angers,29,1995.0,2.3,1,0,0,0,2,2,3,1,1,0,0,0,7,1,1,50.0
23,Jordan Amavi,FRA,DF,Brest,30,1994.0,3.8,2,0,0,9,3,0,7,6,10,0,1,0,15,7,3,70.0
24,Kelvin Amian,FRA,DF,Nantes,26,1998.0,4.2,1,0,0,10,1,0,9,1,11,0,0,0,17,4,4,50.0
25,Michael Amir Murillo,PAN,DF,Marseille,28,1996.0,6.0,0,0,0,8,6,1,5,4,7,0,0,0,29,9,3,75.0
26,Mathis Amougou,FRA,MF,Saint-Étienne,18,2006.0,5.1,1,0,0,3,2,0,1,5,3,0,0,0,25,0,7,0.0
27,Benjamin André,FRA,MF,Lille,34,1990.0,4.9,3,0,0,6,9,2,3,6,6,0,0,0,33,10,12,45.5
28,Dennis Appiah,FRA,DF,Saint-Étienne,32,1992.0,3.9,0,0,0,6,0,0,12,3,11,0,2,0,15,3,2,60.0
29,Carlens Arcus,HAI,DF,Angers,28,1996.0,4.8,0,0,0,6,2,0,11,9,5,0,0,0,19,6,4,60.0
30,Hákon Arnar Haraldsson,ISL,MF,Lille,21,2003.0,1.9,0,0,0,2,3,1,4,1,2,0,0,0,11,0,2,0.0
31,Marco Asensio,ESP,"FW,MF",Paris S-G,28,1996.0,2.9,0,0,0,0,1,1,6,0,1,0,0,0,8,1,2,33.3
32,Lorenz Assignon,TOG,"DF,MF",Rennes,24,2000.0,4.3,2,0,0,14,4,1,4,7,4,0,1,0,18,5,4,55.6
33,Dehmaine Assoumani,FRA,"MF,FW",Nantes,19,2005.0,0.3,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0.0
34,Valentin Atangana Edoa,FRA,MF,Reims,19,2005.0,5.6,1,0,0,7,9,0,3,7,9,0,0,0,27,5,3,62.5
35,Florian Ayé,FRA,FW,Auxerre,27,1997.0,1.6,0,0,0,5,1,0,0,1,0,0,0,0,3,1,8,11.1
