Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Keyliane Abdallah,FRA,FW,Marseille,18,2006.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,37,1987.0,5.0,229,201,27,13,0,0,0,1,0,0,0,0,204,1,0
3,Himad Abdelli,ALG,"MF,FW",Angers,24,1999.0,5.9,371,336,34,13,4,0,15,5,5,3,1,0,298,1,7
4,Mohamed Abdelmoneim,EGY,DF,Nice,25,1999.0,1.8,74,68,6,6,0,1,0,0,0,0,0,0,62,0,0
5,Ali Abdi,TUN,"DF,MF",Nice,30,1993.0,1.5,57,49,7,0,0,0,3,7,0,0,0,0,42,1,2
6,Matthis Abline,FRA,FW,Nantes,21,2003.0,5.3,89,84,5,0,1,2,4,0,0,0,0,0,62,0,6
7,Abner,BRA,DF,Lyon,24,2000.0,5.1,270,223,45,2,1,1,20,37,6,6,0,0,214,2,9
8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24,2000.0,4.6,76,71,5,0,0,0,7,2,1,1,0,0,50,0,1
9,Akor Adams,NGA,FW,Montpellier,24,2000.0,5.1,68,62,5,0,0,0,4,0,0,0,0,0,39,1,2
10,Martin Adeline,FRA,MF,Reims,20,2003.0,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
11,Adryelson,BRA,DF,Lyon,26,1998.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
12,Emmanuel Agbadou,CIV,DF,Reims,27,1997.0,6.0,365,334,31,9,1,9,0,1,0,0,0,0,320,0,1
13,Ruben Aguilar,FRA,DF,Lens,31,1993.0,2.9,187,148,39,3,0,1,9,36,0,0,0,0,150,0,7
14,Jean-Eudes Aholou,CIV,MF,Angers,30,1994.0,4.1,189,184,3,3,0,0,0,0,0,0,0,0,171,2,0
15,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19,2005.0,1.0,17,17,0,0,0,0,1,0,0,0,0,0,10,0,0
16,Ludovic Ajorque,FRA,FW,Brest,30,1994.0,4.5,119,118,1,0,0,1,0,0,0,0,0,0,82,0,2
17,Ümit Akdag,ROU,DF,Toulouse,20,2003.0,0.9,61,59,2,0,0,0,0,2,0,0,0,0,39,0,2
18,Sergio Akieme,ESP,DF,Reims,26,1997.0,4.0,117,101,15,1,0,0,10,12,2,2,0,0,86,1,2
19,Maghnes Akliouche,FRA,"FW,MF",Monaco,22,2002.0,4.2,194,187,6,2,0,1,8,2,2,0,1,0,159,1,10
20,Clément Akpa,CIV,DF,Auxerre,22,2001.0,3.8,203,167,35,3,0,4,19,31,1,1,0,0,156,1,8
21,Mohamed Ali Cho,FRA,FW,Nice,20,2004.0,3.9,104,97,6,2,3,0,14,0,4,0,4,0,74,1,3
22,Jim Allevinah,GAB,FW,Angers,29,1995.0,2.3,74,73,1,0,0,0,3,0,1,0,1,0,61,0,3
23,Jordan Amavi,FRA,DF,Brest,30,1994.0,3.8,209,170,38,6,0,0,7,32,0,0,0,0,149,1,8
24,Kelvin Amian,FRA,DF,Nantes,26,1998.0,4.2,191,143,48,1,1,0,9,47,0,0,0,0,164,0,6
25,Michael Amir Murillo,PAN,DF,Marseille,28,1996.0,6.0,359,310,47,9,0,0,5,38,0,0,0,0,317,2,5
26,Mathis Amougou,FRA,MF,Saint-Étienne,18,2006.0,5.1,147,142,4,3,0,1,1,1,0,0,0,0,117,1,3
27,Benjamin André,FRA,MF,Lille,34,1990.0,4.9,366,350,13,12,0,2,3,1,0,0,0,0,307,3,6
28,Dennis Appiah,FRA,DF,Saint-Étienne,32,1992.0,3.9,183,146,35,4,0,0,12,31,0,0,0,0,135,2,8
29,Carlens Arcus,HAI,DF,Angers,28,1996.0,4.8,204,170,33,5,0,0,11,28,0,0,0,0,165,1,4
30,Hákon Arnar Haraldsson,ISL,MF,Lille,21,2003.0,1.9,158,153,5,1,0,1,4,1,3,2,1,0,132,0,0
31,Marco Asensio,ESP,"FW,MF",Paris S-G,28,1996.0,2.9,142,130,10,1,0,0,6,3,2,0,0,0,122,2,2
32,Lorenz Assignon,TOG,"DF,MF",Rennes,24,2000.0,4.3,171,133,38,3,0,0,4,35,0,0,0,0,130,0,5
33,Dehmaine Assoumani,FRA,"MF,FW",Nantes,19,2005.0,0.3,15,12,3,1,0,0,3,1,0,0,0,0,14,0,0
34,Valentin Atangana Edoa,FRA,MF,Reims,19,2005.0,5.6,238,236,2,2,0,0,3,0,0,0,0,0,212,0,2
35,Florian Ayé,FRA,FW,Auxerre,27,1997.0,1.6,32,29,3,0,0,0,0,0,0,0,0,0,25,0,0
36,Neil El Aynaoui,FRA,MF,Lens,23,2001.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
37,Shavy Babicka,GAB,MF,Toulouse,24,2000.0,2.7,62,61,1,0,0,1,6,0,0,0,0,0,45,0,1
38,Theo Bair,CAN,FW,Auxerre,25,1999.0,2.1,42,38,4,0,0,0,2,0,0,0,0,0,29,0,0
39,Mitchel Bakker,NED,DF,Lille,24,2000.0,0.6,53,46,7,0,0,0,6,7,0,0,0,0,43,0,1
40,Dilane Bakwa,FRA,"MF,DF",Strasbourg,22,2002.0,5.8,212,173,38,15,0,3,32,8,15,6,9,0,152,1,7
41,Leonardo Balerdi,ARG,DF,Marseille,25,1999.0,2.0,198,191,7,3,0,1,0,0,0,0,0,0,188,0,1
42,Folarin Balogun,USA,FW,Monaco,23,2001.0,3.8,72,69,2,0,0,0,2,1,0,0,0,0,53,1,3
43,Abdoulaye Bamba,CIV,DF,Angers,34,1990.0,2.7,78,71,7,1,1,0,1,6,0,0,0,0,63,0,2
44,Bradley Barcola,FRA,FW,Paris S-G,22,2002.0,4.2,137,136,1,1,0,0,3,0,0,0,0,0,112,0,7
45,Melvin Bard,FRA,"MF,DF",Nice,23,2000.0,3.7,184,150,34,2,2,0,9,32,0,0,0,0,134,0,6
46,Gabriel Bares,SUI,MF,Montpellier,24,2000.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
47,Dylan Batubinsika,COD,DF,Saint-Étienne,28,1996.0,6.0,276,269,5,4,0,0,0,1,0,0,0,0,245,2,2
48,Haris Belkebla,ALG,MF,Angers,30,1994.0,2.9,150,148,2,2,0,1,1,0,0,0,0,0,127,0,2
49,Yassin Belkhdim,FRA,MF,Angers,22,2002.0,3.1,91,89,2,1,0,0,3,1,0,0,0,0,79,0,1
50,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19,2005.0,4.4,204,195,8,2,2,1,6,2,4,2,0,0,161,1,4
51,Saïd Benrahma,ALG,"FW,MF",Lyon,29,1995.0,2.9,128,117,9,2,0,2,20,0,7,2,4,0,89,2,4
52,Lucas Beraldo,BRA,DF,Paris S-G,20,2003.0,4.9,452,431,20,5,1,1,0,15,0,0,0,0,419,1,2
53,Dimitry Bertaud,COD,GK,Montpellier,26,1998.0,2.0,71,46,24,6,0,0,0,0,0,0,0,0,44,1,0
