Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Keyliane Abdallah,FRA,FW,Marseille,18,2006.0,0.0,2,2,100.0,41,0,0,0,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,37,1987.0,5.0,204,229,89.1,3740,1298,69,74,93.2,121,128,94.5,12,23,52.2,0,0.0,0.0,0.0,1,14,0,0,10
3,Himad Abdelli,ALG,"MF,FW",Angers,24,1999.0,5.9,298,371,80.3,4225,1228,165,185,89.2,109,127,85.8,10,35,28.6,0,1.0,0.8,-1.0,11,36,12,0,44
4,Mohamed Abdelmoneim,EGY,DF,Nice,25,1999.0,1.8,62,74,83.8,1004,368,27,30,90.0,32,38,84.2,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,6
5,Ali Abdi,TUN,"DF,MF",Nice,30,1993.0,1.5,42,57,73.7,557,196,24,30,80.0,14,17,82.4,0,3,0.0,0,0.5,0.0,-0.5,1,3,0,0,2
6,Matthis Abline,FRA,FW,Nantes,21,2003.0,5.3,62,89,69.7,993,158,28,36,77.8,28,38,73.7,3,5,60.0,0,0.6,0.5,-0.6,5,5,4,0,16
7,Abner,BRA,DF,Lyon,24,2000.0,5.1,214,270,79.3,3049,1438,127,141,90.1,62,79,78.5,15,26,57.7,0,0.4,1.4,-0.4,7,17,3,1,19
8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24,2000.0,4.6,50,76,65.8,623,168,34,44,77.3,14,23,60.9,0,3,0.0,0,0.1,0.4,-0.1,1,2,1,0,6
9,Akor Adams,NGA,FW,Montpellier,24,2000.0,5.1,39,68,57.4,539,86,23,33,69.7,12,21,57.1,1,4,25.0,1,0.6,0.1,0.4,6,2,0,0,3
10,Martin Adeline,FRA,MF,Reims,20,2003.0,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
11,Adryelson,BRA,DF,Lyon,26,1998.0,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
12,Emmanuel Agbadou,CIV,DF,Reims,27,1997.0,6.0,320,365,87.7,6170,2672,132,141,93.6,151,160,94.4,36,62,58.1,0,0.1,0.2,-0.1,1,18,1,0,26
13,Ruben Aguilar,FRA,DF,Lens,31,1993.0,2.9,150,187,80.2,2037,795,93,103,90.3,39,55,70.9,8,11,72.7,1,0.7,0.5,0.3,2,7,3,0,10
14,Jean-Eudes Aholou,CIV,MF,Angers,30,1994.0,4.1,171,189,90.5,2793,697,80,87,92.0,84,89,94.4,4,6,66.7,0,0.1,0.1,-0.1,3,10,1,0,18
15,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19,2005.0,1.0,10,17,58.8,143,71,7,10,70.0,2,4,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,1,0,4
16,Ludovic Ajorque,FRA,FW,Brest,30,1994.0,4.5,82,119,68.9,1093,161,52,68,76.5,24,35,68.6,2,3,66.7,0,0.3,0.2,-0.3,5,6,2,0,4
17,Ümit Akdag,ROU,DF,Toulouse,20,2003.0,0.9,39,61,63.9,697,310,16,28,57.1,21,25,84.0,2,5,40.0,0,0.0,0.0,0.0,0,4,0,0,9
18,Sergio Akieme,ESP,DF,Reims,26,1997.0,4.0,86,117,73.5,1170,367,55,60,91.7,27,36,75.0,2,15,13.3,0,0.0,0.0,0.0,1,4,0,0,8
19,Maghnes Akliouche,FRA,"FW,MF",Monaco,22,2002.0,4.2,159,194,82.0,2233,693,95,104,91.3,48,62,77.4,7,8,87.5,1,0.8,1.2,0.2,7,10,8,0,29
20,Clément Akpa,CIV,DF,Auxerre,22,2001.0,3.8,156,203,76.8,2758,1148,65,78,83.3,72,87,82.8,14,28,50.0,0,0.3,0.4,-0.3,6,12,7,4,22
21,Mohamed Ali Cho,FRA,FW,Nice,20,2004.0,3.9,74,104,71.2,935,201,52,61,85.2,15,26,57.7,3,7,42.9,0,0.7,0.4,-0.7,6,3,3,0,7
22,Jim Allevinah,GAB,FW,Angers,29,1995.0,2.3,61,74,82.4,835,155,34,37,91.9,24,30,80.0,1,2,50.0,0,0.0,0.1,0.0,2,4,0,0,13
23,Jordan Amavi,FRA,DF,Brest,30,1994.0,3.8,149,209,71.3,2451,899,72,89,80.9,68,93,73.1,7,18,38.9,0,0.1,0.0,-0.1,2,14,1,0,13
24,Kelvin Amian,FRA,DF,Nantes,26,1998.0,4.2,164,191,85.9,2572,964,87,89,97.8,62,68,91.2,10,22,45.5,0,0.2,0.4,-0.2,5,15,7,2,20
25,Michael Amir Murillo,PAN,DF,Marseille,28,1996.0,6.0,317,359,88.3,5169,1452,142,151,94.0,159,178,89.3,12,18,66.7,0,0.2,0.5,-0.2,5,22,3,0,20
26,Mathis Amougou,FRA,MF,Saint-Étienne,18,2006.0,5.1,117,147,79.6,1938,730,56,65,86.2,47,58,81.0,10,14,71.4,0,0.1,0.1,-0.1,2,10,3,0,24
