Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1,Keyliane Abdallah,FRA,FW,Marseille,18,2006.0,1,3.0,3.0,0.6,0.0,0,0.0,0,1,3.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49
2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,37,1987.0,5,450.0,90.0,83.3,5.0,5,90.0,5,0,0.0,1,0.6,1.0,15.0,-14.0,-2.8,3.3,13.3,-10.1,-2.01
3,Himad Abdelli,ALG,"MF,FW",Angers,24,1999.0,6,529.0,88.0,98.0,5.9,6,88.0,5,0,0.0,0,0.33,3.0,12.0,-9.0,-1.53,4.7,10.0,-5.3,-0.9
4,Mohamed Abdelmoneim,EGY,DF,Nice,25,1999.0,3,158.0,53.0,29.3,1.8,2,68.0,1,1,23.0,1,1.33,2.0,2.0,0.0,0.0,3.5,2.2,1.3,0.74
5,Ali Abdi,TUN,"DF,MF",Nice,30,1993.0,3,132.0,44.0,24.4,1.5,1,90.0,1,2,21.0,0,1.33,2.0,0.0,2.0,1.36,4.2,2.2,2.0,1.34
6,Matthis Abline,FRA,FW,Nantes,21,2003.0,6,476.0,79.0,88.1,5.3,6,79.0,0,0,0.0,0,1.5,7.0,5.0,2.0,0.38,6.1,4.8,1.3,0.25
7,Abner,BRA,DF,Lyon,24,2000.0,6,457.0,76.0,84.6,5.1,6,76.0,1,0,0.0,0,1.17,4.0,8.0,-4.0,-0.79,6.7,8.6,-1.9,-0.38
8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24,2000.0,6,413.0,69.0,76.5,4.6,5,77.0,2,1,27.0,0,0.83,2.0,6.0,-4.0,-0.87,7.0,3.0,3.9,0.86
9,Mathieu Acapandié,FRA,DF,Nantes,19,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Akor Adams,NGA,FW,Montpellier,24,2000.0,6,461.0,77.0,85.4,5.1,5,88.0,3,1,23.0,0,0.67,6.0,11.0,-5.0,-0.98,5.8,8.6,-2.8,-0.55
11,Martin Adeline,FRA,MF,Reims,20,2003.0,1,26.0,26.0,4.8,0.3,0,0.0,0,1,26.0,1,1.0,0.0,1.0,-1.0,-3.46,0.1,1.0,-1.0,-3.42
12,Raphaël Adiceam,FRA,GK,Auxerre,34,1990.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Adryelson,BRA,DF,Lyon,26,1998.0,1,1.0,1.0,0.2,0.0,0,0.0,0,1,1.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Emmanuel Agbadou,CIV,DF,Reims,27,1997.0,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.83,10.0,8.0,2.0,0.33,6.0,10.1,-4.1,-0.68
15,Ruben Aguilar,FRA,DF,Lens,31,1993.0,4,257.0,64.0,47.6,2.9,3,81.0,2,1,13.0,2,2.0,3.0,0.0,3.0,1.05,5.4,2.2,3.2,1.12
16,Naouirou Ahamada,FRA,MF,Rennes,22,2002.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Jean-Eudes Aholou,CIV,MF,Angers,30,1994.0,5,373.0,75.0,69.1,4.1,5,75.0,1,0,0.0,0,0.4,2.0,7.0,-5.0,-1.21,2.9,7.0,-4.1,-1.0
