Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Keyliane Abdallah,FRA,FW,Marseille,18,2006.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,37,1987.0,5.0,0,2,1,50.0,0.4,0.2,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
3,Himad Abdelli,ALG,"MF,FW",Angers,24,1999.0,5.9,2,7,1,14.3,1.19,0.17,0.0,0.0,26.2,0,2,2,1.8,0.3,0.04,0.2,-0.3
4,Mohamed Abdelmoneim,EGY,DF,Nice,25,1999.0,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
5,Ali Abdi,TUN,"DF,MF",Nice,30,1993.0,1.5,0,2,0,0.0,1.36,0.0,0.0,0.0,12.7,0,0,0,0.5,0.5,0.24,-0.5,-0.5
6,Matthis Abline,FRA,FW,Nantes,21,2003.0,5.3,1,19,6,31.6,3.59,1.13,0.05,0.17,14.7,0,0,0,1.3,1.3,0.07,-0.3,-0.3
7,Abner,BRA,DF,Lyon,24,2000.0,5.1,0,4,2,50.0,0.79,0.39,0.0,0.0,18.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24,2000.0,4.6,0,14,6,42.9,3.05,1.31,0.0,0.0,13.9,0,0,1,3.0,2.3,0.16,-3.0,-2.3
9,Akor Adams,NGA,FW,Montpellier,24,2000.0,5.1,3,14,8,57.1,2.73,1.56,0.21,0.38,14.8,0,0,0,2.6,2.6,0.19,0.4,0.4
10,Martin Adeline,FRA,MF,Reims,20,2003.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
11,Adryelson,BRA,DF,Lyon,26,1998.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
12,Emmanuel Agbadou,CIV,DF,Reims,27,1997.0,6.0,0,7,3,42.9,1.17,0.5,0.0,0.0,28.1,1,0,0,0.4,0.4,0.05,-0.4,-0.4
13,Ruben Aguilar,FRA,DF,Lens,31,1993.0,2.9,0,2,0,0.0,0.7,0.0,0.0,0.0,13.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
14,Jean-Eudes Aholou,CIV,MF,Angers,30,1994.0,4.1,0,8,0,0.0,1.93,0.0,0.0,0.0,19.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
15,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19,2005.0,1.0,0,2,0,0.0,2.07,0.0,0.0,0.0,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
16,Ludovic Ajorque,FRA,FW,Brest,30,1994.0,4.5,1,5,2,40.0,1.12,0.45,0.2,0.5,12.6,0,0,0,0.8,0.8,0.16,0.2,0.2
17,Ümit Akdag,ROU,DF,Toulouse,20,2003.0,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
18,Sergio Akieme,ESP,DF,Reims,26,1997.0,4.0,1,4,1,25.0,1.0,0.25,0.25,1.0,18.8,0,0,0,0.2,0.2,0.04,0.8,0.8
19,Maghnes Akliouche,FRA,"FW,MF",Monaco,22,2002.0,4.2,0,9,1,11.1,2.13,0.24,0.0,0.0,17.0,0,0,0,1.0,1.0,0.11,-1.0,-1.0
20,Clément Akpa,CIV,DF,Auxerre,22,2001.0,3.8,0,2,0,0.0,0.53,0.0,0.0,0.0,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
21,Mohamed Ali Cho,FRA,FW,Nice,20,2004.0,3.9,2,8,5,62.5,2.05,1.28,0.25,0.4,16.8,0,0,0,1.0,1.0,0.12,1.0,1.0
22,Jim Allevinah,GAB,FW,Angers,29,1995.0,2.3,0,4,0,0.0,1.74,0.0,0.0,0.0,19.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
23,Jordan Amavi,FRA,DF,Brest,30,1994.0,3.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
24,Kelvin Amian,FRA,DF,Nantes,26,1998.0,4.2,0,1,0,0.0,0.24,0.0,0.0,0.0,27.6,0,0,0,0.0,0.0,0.03,0.0,0.0
25,Michael Amir Murillo,PAN,DF,Marseille,28,1996.0,6.0,0,2,0,0.0,0.33,0.0,0.0,0.0,24.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1
26,Mathis Amougou,FRA,MF,Saint-Étienne,18,2006.0,5.1,0,3,1,33.3,0.59,0.2,0.0,0.0,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
27,Benjamin André,FRA,MF,Lille,34,1990.0,4.9,0,4,1,25.0,0.81,0.2,0.0,0.0,15.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
28,Dennis Appiah,FRA,DF,Saint-Étienne,32,1992.0,3.9,0,1,0,0.0,0.26,0.0,0.0,0.0,16.0,0,0,0,0.0,0.0,0.02,0.0,0.0
29,Carlens Arcus,HAI,DF,Angers,28,1996.0,4.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
