Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
1,Keyliane Abdallah,FRA,FW,Marseille,18.0,2006.0,1,0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,37.0,1987.0,5,5,450,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.0,0.01,0.3,0.05,2,10,3,0.0,0.05
3,Himad Abdelli,ALG,"MF,FW",Angers,24.0,1999.0,6,6,529,5.9,2,0.34,0,0.0,2,0.34,0,0.0,2,2,0,0,1.8,0.31,0.3,0.05,1.0,0.16,1.2,0.21,24,44,28,0.0,0.48
4,Mohamed Abdelmoneim,EGY,DF,Nice,25.0,1999.0,3,2,158,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0
5,Ali Abdi,TUN,"DF,MF",Nice,30.0,1993.0,3,1,132,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.5,0.33,0.5,0.33,0.5,0.35,1.0,0.68,3,2,10,0.0,0.68
6,Matthis Abline,FRA,FW,Nantes,21.0,2003.0,6,6,476,5.3,1,0.19,0,0.0,1,0.19,1,0.19,0,0,1,0,1.3,0.24,1.3,0.24,0.6,0.12,1.9,0.36,16,16,39,0.19,0.36
7,Abner,BRA,DF,Lyon,24.0,2000.0,6,6,457,5.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.03,0.1,0.03,0.4,0.07,0.5,0.1,12,19,33,0.0,0.1
8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,2000.0,6,5,413,4.6,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,0,3.0,0.66,2.3,0.49,0.1,0.02,2.4,0.51,7,6,34,0.0,0.69
9,Akor Adams,NGA,FW,Montpellier,24.0,2000.0,6,5,461,5.1,3,0.59,1,0.2,4,0.78,3,0.59,0,0,1,0,2.6,0.51,2.6,0.51,0.6,0.11,3.2,0.62,2,3,21,0.78,0.62
10,Martin Adeline,FRA,MF,Reims,20.0,2003.0,1,0,26,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0
11,Adryelson,BRA,DF,Lyon,26.0,1998.0,1,0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0
12,Emmanuel Agbadou,CIV,DF,Reims,27.0,1997.0,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.06,0.4,0.06,0.1,0.02,0.4,0.07,4,26,0,0.0,0.07
13,Ruben Aguilar,FRA,DF,Lens,31.0,1993.0,4,3,257,2.9,0,0.0,1,0.35,1,0.35,0,0.0,0,0,1,0,0.2,0.05,0.2,0.05,0.7,0.24,0.8,0.29,2,10,27,0.35,0.29
