Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
1,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,1.3,2,1.51,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,1.5,6,3.94,5,0,0,1,0,0,2,1.31,2,0,0,0,0,0
3,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,5.6,11,1.97,9,1,1,0,0,0,0,0.0,0,0,0,0,0,0
4,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,23,2001,5.3,12,2.28,7,1,2,2,0,0,2,0.38,1,1,0,0,0,0
5,Kristoffer Ajer,NOR,DF,Brentford,26,1998,5.1,5,0.98,5,0,0,0,0,0,2,0.39,2,0,0,0,0,0
6,Manuel Akanji,SUI,DF,Manchester City,29,1995,6.0,16,2.67,16,0,0,0,0,0,1,0.17,1,0,0,0,0,0
7,Nathan Aké,NED,DF,Manchester City,29,1995,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
8,Carlos Alcaraz,ARG,MF,Southampton,21,2002,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
9,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,5.5,17,3.1,14,3,0,0,0,0,2,0.37,2,0,0,0,0,0
10,Alisson,BRA,GK,Liverpool,31,1992,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
11,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
12,Edson Álvarez,MEX,"MF,DF",West Ham,26,1997,2.5,5,2.02,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
13,Samuel Amo-Ameyaw,ENG,DF,Southampton,18,2006,0.1,2,18.0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
14,Joachim Andersen,DEN,DF,Crystal Palace,28,1996,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
15,Joachim Andersen,DEN,DF,Fulham,28,1996,3.0,3,1.0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0
16,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,21,2002,4.0,9,2.28,5,2,1,1,0,0,1,0.25,0,1,0,0,0,0
17,André,BRA,MF,Wolves,23,2001,2.9,5,1.72,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
18,Michail Antonio,JAM,FW,West Ham,34,1990,4.0,7,1.75,5,0,0,2,0,0,1,0.25,0,0,0,1,0,0
19,Antony,BRA,FW,Manchester Utd,24,2000,0.0,1,90.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
20,Julian Araujo,MEX,DF,Bournemouth,23,2001,3.0,2,0.66,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
21,Cameron Archer,ENG,FW,Southampton,23,2001,2.3,3,1.33,0,0,2,1,0,0,0,0.0,0,0,0,0,0,0
22,Alphonse Areola,FRA,GK,West Ham,31,1993,5.5,1,0.18,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
23,Joe Aribo,NGA,MF,Southampton,28,1996,2.5,5,1.99,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
24,Adam Armstrong,ENG,FW,Southampton,27,1997,2.4,4,1.68,2,1,0,1,0,0,0,0.0,0,0,0,0,0,0
25,Harrison Armstrong,ENG,MF,Everton,17,2007,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
