Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att_kicks,Launch%_kicks,AvgLen_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Alisson,BRA,GK,Liverpool,31,1992,5.0,2,0,0,0,0,3.5,0.27,1.5,0.31,10,32,31.3,166,12,18.1,25.0,10,20.0,23.0,42,2,4.8,9,1.8,16.9
2,Alphonse Areola,FRA,GK,West Ham,31,1993,5.5,9,0,0,1,0,8.0,0.35,-1.0,-0.18,34,76,44.7,151,23,33.8,30.7,48,52.1,40.9,79,3,3.8,6,1.09,14.9
3,Kepa Arrizabalaga,ESP,GK,Bournemouth,29,1994,2.0,5,0,0,0,0,5.4,0.27,0.4,0.18,5,14,35.7,50,11,16.0,28.3,16,37.5,33.8,24,1,4.2,2,1.0,10.6
4,Ederson,BRA,GK,Manchester City,31,1993,6.0,6,1,0,1,1,5.9,0.3,0.9,0.14,22,53,41.5,208,17,22.6,28.9,13,46.2,41.5,56,1,1.8,11,1.83,17.6
5,Łukasz Fabiański,POL,GK,West Ham,39,1985,0.5,1,0,0,0,0,1.2,0.4,0.2,0.42,1,4,25.0,6,3,33.3,37.5,2,100.0,76.5,6,0,0.0,0,0.0,6.0
6,Mark Flekken,NED,GK,Brentford,31,1993,6.0,10,0,0,0,1,9.7,0.25,0.7,0.11,53,111,47.7,310,21,31.6,33.9,23,56.5,47.1,78,5,6.4,10,1.67,14.9
7,Dean Henderson,ENG,GK,Crystal Palace,27,1997,6.0,9,0,0,0,0,10.6,0.43,1.6,0.27,15,69,21.7,131,32,38.9,33.9,51,35.3,33.8,81,5,6.2,9,1.5,15.3
8,Mads Hermansen,DEN,GK,Leicester City,24,2000,6.0,12,1,0,0,1,14.6,0.34,3.6,0.61,27,81,33.3,173,36,34.1,34.0,37,59.5,41.9,117,6,5.1,7,1.17,12.9
9,Sam Johnstone,ENG,GK,Wolves,31,1993,4.0,8,1,0,2,0,6.8,0.31,-1.2,-0.31,29,65,44.6,142,19,40.1,34.3,15,53.3,43.0,55,4,7.3,5,1.25,12.6
10,Caoimhín Kelleher,IRL,GK,Liverpool,25,1998,1.0,0,0,0,0,0,1.5,0.25,1.5,1.53,3,6,50.0,44,8,13.6,21.2,0,0.0,0.0,17,1,5.9,0,0.0,10.0
11,Bernd Leno,GER,GK,Fulham,32,1992,6.0,5,0,0,1,0,6.1,0.28,1.1,0.19,20,67,29.9,202,15,25.2,30.0,25,64.0,50.5,83,5,6.0,5,0.83,12.3
12,Emiliano Martínez,ARG,GK,Aston Villa,32,1992,6.0,9,1,0,0,0,7.3,0.32,-1.7,-0.29,31,64,48.4,175,21,27.4,31.3,29,55.2,45.2,74,8,10.8,7,1.17,13.3
13,Alex McCarthy,ENG,GK,Southampton,34,1989,2.0,2,0,0,1,0,2.3,0.25,0.3,0.13,4,7,57.1,49,11,14.3,22.2,4,0.0,18.5,26,3,11.5,0,0.0,6.9
14,Arijanet Muric,KVX,GK,Ipswich Town,25,1998,5.0,8,1,0,0,0,9.1,0.41,1.1,0.22,14,49,28.6,152,25,22.4,27.2,22,68.2,52.6,67,7,10.4,5,1.0,13.6
15,Neto,BRA,GK,Bournemouth,35,1989,2.0,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6
16,André Onana,CMR,GK,Manchester Utd,28,1996,6.0,8,0,0,2,0,10.8,0.39,2.8,0.46,23,63,36.5,244,36,22.5,26.2,14,57.1,44.4,58,3,5.2,9,1.5,15.9
17,Jordan Pickford,ENG,GK,Everton,30,1994,6.0,15,0,0,3,0,11.5,0.36,-3.5,-0.59,74,149,49.7,184,18,65.8,46.4,45,62.2,47.5,98,6,6.1,16,2.67,19.0
