Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%_penalty,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_penalty
1,Alisson,BRA,GK,Liverpool,31,1992,5,5,450,5.0,2,0.4,13,11,84.6,4,0,1,3,60.0,0,0,0,0,0
2,Alphonse Areola,FRA,GK,West Ham,31,1993,6,6,495,5.5,9,1.64,23,14,60.9,1,2,3,1,16.7,0,0,0,0,0
3,Kepa Arrizabalaga,ESP,GK,Bournemouth,29,1994,2,2,180,2.0,5,2.5,20,15,75.0,1,0,1,0,0.0,0,0,0,0,0
4,Ederson,BRA,GK,Manchester City,31,1993,6,6,540,6.0,6,1.0,18,13,72.2,4,2,0,1,16.7,1,1,0,0,0.0
5,Łukasz Fabiański,POL,GK,West Ham,39,1985,1,0,45,0.5,1,2.0,3,2,66.7,0,0,0,0,0.0,0,0,0,0,0
6,Mark Flekken,NED,GK,Brentford,31,1993,6,6,540,6.0,10,1.67,39,30,74.4,2,1,3,0,0.0,0,0,0,0,0
7,Dean Henderson,ENG,GK,Crystal Palace,27,1997,6,6,540,6.0,9,1.5,27,18,66.7,0,3,3,1,16.7,0,0,0,0,0
8,Mads Hermansen,DEN,GK,Leicester City,24,2000,6,6,540,6.0,12,2.0,42,31,73.8,0,3,3,0,0.0,1,1,0,0,0.0
9,Sam Johnstone,ENG,GK,Wolves,31,1993,4,4,360,4.0,8,2.0,20,12,65.0,0,1,3,0,0.0,1,1,0,0,0.0
10,Caoimhín Kelleher,IRL,GK,Liverpool,25,1998,1,1,90,1.0,0,0.0,6,6,100.0,1,0,0,1,100.0,0,0,0,0,0
11,Bernd Leno,GER,GK,Fulham,32,1992,6,6,540,6.0,5,0.83,22,17,77.3,3,2,1,1,16.7,0,0,0,0,0
12,Emiliano Martínez,ARG,GK,Aston Villa,32,1992,6,6,540,6.0,9,1.5,21,12,61.9,4,1,1,0,0.0,1,1,0,0,0.0
13,Alex McCarthy,ENG,GK,Southampton,34,1989,2,2,180,2.0,2,1.0,9,7,77.8,0,0,2,0,0.0,0,0,0,0,0
14,Arijanet Muric,KVX,GK,Ipswich Town,25,1998,5,5,450,5.0,8,1.6,21,13,66.7,0,4,1,1,20.0,1,1,0,0,0.0
15,Neto,BRA,GK,Bournemouth,35,1989,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,0
16,André Onana,CMR,GK,Manchester Utd,28,1996,6,6,540,6.0,8,1.33,26,17,69.2,2,1,3,3,50.0,1,0,1,0,100.0
17,Jordan Pickford,ENG,GK,Everton,30,1994,6,6,540,6.0,15,2.5,32,17,53.1,1,1,4,0,0.0,0,0,0,0,0
18,Nick Pope,ENG,GK,Newcastle Utd,32,1992,6,6,540,6.0,7,1.17,35,29,80.0,3,2,1,1,16.7,0,0,0,0,0
19,Aaron Ramsdale,ENG,GK,Southampton,26,1998,3,3,270,3.0,7,2.33,23,16,69.6,0,1,2,0,0.0,0,0,0,0,0
20,David Raya,ESP,GK,Arsenal,29,1995,6,6,540,6.0,5,0.83,29,24,82.8,4,2,0,3,50.0,0,0,0,0,0
21,José Sá,POR,GK,Wolves,31,1993,2,2,180,2.0,8,4.0,14,6,42.9,0,0,2,0,0.0,0,0,0,0,0
22,Robert Sánchez,ESP,GK,Chelsea,26,1997,6,6,540,6.0,7,1.17,31,23,77.4,4,1,1,2,33.3,1,0,1,0,100.0
23,Matz Sels,BEL,GK,Nott'ham Forest,32,1992,6,6,540,6.0,5,0.83,17,12,76.5,2,3,1,2,33.3,1,1,0,0,0.0
24,Jason Steele,ENG,GK,Brighton,34,1990,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,0
25,Mark Travers,IRL,GK,Bournemouth,25,1999,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,0
26,Bart Verbruggen,NED,GK,Brighton,22,2002,4,4,360,4.0,7,1.75,17,10,70.6,0,3,1,1,25.0,2,2,0,0,0.0
27,Guglielmo Vicario,ITA,GK,Tottenham,27,1996,6,6,540,6.0,5,0.83,19,14,73.7,3,1,2,2,33.3,0,0,0,0,0
28,Christian Walton,ENG,GK,Ipswich Town,28,1995,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,0
