Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,1.3,0,0,0,1,0,0,0,1,2,0,0,0,4,0,0,0.0
2,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,1.5,0,0,0,2,0,0,9,2,2,0,0,0,10,1,1,50.0
3,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,5.6,1,0,0,3,7,0,10,10,6,0,0,0,39,1,6,14.3
4,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,23,2001,5.3,3,0,0,10,5,0,8,4,6,0,0,0,24,1,2,33.3
5,Kristoffer Ajer,NOR,DF,Brentford,26,1998,5.1,1,0,0,5,3,0,4,4,3,0,0,0,12,5,8,38.5
6,Manuel Akanji,SUI,DF,Manchester City,29,1995,6.0,1,0,0,3,3,0,5,3,2,0,0,0,26,7,12,36.8
7,Nathan Aké,NED,DF,Manchester City,29,1995,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0
8,Carlos Alcaraz,ARG,MF,Southampton,21,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
9,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,5.5,2,0,0,2,2,0,29,4,9,0,0,0,26,1,3,25.0
10,Alisson,BRA,GK,Liverpool,31,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,100.0
11,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,Edson Álvarez,MEX,"MF,DF",West Ham,26,1997,2.5,2,0,0,8,2,0,0,3,5,0,0,0,10,3,1,75.0
13,Samuel Amo-Ameyaw,ENG,DF,Southampton,18,2006,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
14,Joachim Andersen,DEN,DF,Crystal Palace,28,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0
15,Joachim Andersen,DEN,DF,Fulham,28,1996,3.0,0,0,0,1,3,0,0,4,2,0,0,0,14,9,10,47.4
16,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,21,2002,4.0,1,0,0,5,10,0,11,4,11,0,0,0,26,6,4,60.0
17,André,BRA,MF,Wolves,23,2001,2.9,2,0,0,4,7,0,0,2,4,0,0,0,16,0,0,0.0
