Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,1.3,97,88,8,5,0,0,0,0,0,0,0,0,87,1,1
2,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,1.5,67,66,0,0,0,0,9,0,0,0,0,0,42,1,2
3,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,5.6,262,207,54,5,0,0,10,49,0,0,0,0,198,1,7
4,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,23,2001,5.3,233,183,47,14,0,1,8,31,2,0,1,0,200,3,3
5,Kristoffer Ajer,NOR,DF,Brentford,26,1998,5.1,220,195,25,2,0,2,4,23,0,0,0,0,170,0,9
6,Manuel Akanji,SUI,DF,Manchester City,29,1995,6.0,546,540,5,1,2,3,5,3,0,0,0,0,515,1,2
7,Nathan Aké,NED,DF,Manchester City,29,1995,0.0,7,4,3,1,0,0,0,2,0,0,0,0,6,0,1
8,Carlos Alcaraz,ARG,MF,Southampton,21,2002,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0
9,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,5.5,366,296,69,13,3,5,29,41,15,10,3,0,260,1,5
10,Alisson,BRA,GK,Liverpool,31,1992,5.0,176,160,16,6,0,0,0,0,0,0,0,0,148,0,0
11,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
12,Edson Álvarez,MEX,"MF,DF",West Ham,26,1997,2.5,127,123,3,2,1,3,0,1,0,0,0,0,113,1,0
13,Samuel Amo-Ameyaw,ENG,DF,Southampton,18,2006,0.1,5,4,1,0,0,0,1,0,1,0,0,0,5,0,0
14,Joachim Andersen,DEN,DF,Crystal Palace,28,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0
15,Joachim Andersen,DEN,DF,Fulham,28,1996,3.0,207,187,20,17,0,6,0,2,0,0,0,0,175,0,0
16,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,21,2002,4.0,155,136,18,8,0,0,11,0,4,3,1,0,115,1,4
17,André,BRA,MF,Wolves,23,2001,2.9,118,117,1,1,1,2,0,0,0,0,0,0,113,0,2
18,Michail Antonio,JAM,FW,West Ham,34,1990,4.0,75,67,7,0,1,1,10,4,0,0,0,0,43,1,8
19,Antony,BRA,FW,Manchester Utd,24,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Julian Araujo,MEX,DF,Bournemouth,23,2001,3.0,129,108,21,0,0,0,3,21,0,0,0,0,100,0,2
21,Cameron Archer,ENG,FW,Southampton,23,2001,2.3,34,29,5,0,0,0,1,0,0,0,0,0,28,0,0
22,Alphonse Areola,FRA,GK,West Ham,31,1993,5.5,201,140,59,11,0,0,0,0,0,0,0,0,152,2,1
23,Joe Aribo,NGA,MF,Southampton,28,1996,2.5,127,125,1,0,0,0,6,1,0,0,0,0,109,1,4
24,Adam Armstrong,ENG,FW,Southampton,27,1997,2.4,60,55,5,0,0,1,1,2,0,0,0,0,51,0,5
25,Harrison Armstrong,ENG,MF,Everton,17,2007,0.0,4,3,0,0,0,0,1,0,0,0,0,0,1,1,0
26,Kepa Arrizabalaga,ESP,GK,Bournemouth,29,1994,2.0,66,46,20,4,0,0,0,0,0,0,0,0,53,0,0
27,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27,1997,0.9,19,19,0,0,0,0,1,0,0,0,0,0,13,0,1
28,Yasin Ayari,SWE,MF,Brighton,20,2003,2.2,90,88,2,1,2,0,4,0,1,0,1,0,67,0,3
29,Jordan Ayew,GHA,"FW,MF",Crystal Palace,33,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
30,Jordan Ayew,GHA,FW,Leicester City,33,1991,3.0,72,70,2,1,0,1,9,0,0,0,0,0,54,0,3
31,Leon Bailey,JAM,"FW,MF",Aston Villa,27,1997,3.2,103,99,3,0,2,0,7,0,3,3,0,0,71,1,5
32,Carlos Baleba,CMR,MF,Brighton,20,2004,3.9,175,173,1,1,1,2,0,0,0,0,0,0,155,1,0
33,Ross Barkley,ENG,MF,Aston Villa,30,1993,1.4,96,94,1,1,0,2,0,0,0,0,0,0,89,1,1
34,Harvey Barnes,ENG,FW,Newcastle Utd,26,1997,3.6,95,93,1,0,1,0,7,1,0,0,0,0,80,1,1
35,Calvin Bassey,NGA,DF,Fulham,24,1999,6.0,345,315,29,9,0,2,0,0,0,0,0,0,308,1,3
36,Jan Bednarek,POL,DF,Southampton,28,1996,4.9,463,437,26,8,0,0,0,0,0,0,0,0,437,0,1
37,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,1998,4.3,105,102,3,1,1,1,6,0,0,0,0,0,84,0,7
38,Rodrigo Bentancur,URU,MF,Tottenham,27,1997,3.4,228,222,6,6,0,0,0,0,0,0,0,0,213,0,3
39,Sander Berge,NOR,MF,Fulham,26,1998,1.2,49,47,2,2,0,0,0,0,0,0,0,0,44,0,0
40,Lucas Bergvall,SWE,"MF,FW",Tottenham,18,2006,0.6,59,52,7,1,0,0,5,2,4,2,2,0,50,0,0
41,Victor Bernth Kristiansen,DEN,DF,Leicester City,21,2002,5.9,306,237,66,16,0,1,22,47,3,2,1,0,235,3,2
42,Beto,GNB,FW,Everton,26,1998,0.5,8,6,2,0,0,1,0,0,0,0,0,0,3,0,0
43,Philip Billing,DEN,MF,Bournemouth,28,1996,0.3,13,10,2,0,0,0,3,1,1,1,0,0,6,1,0
44,Yves Bissouma,MLI,MF,Tottenham,28,1996,2.0,154,150,4,4,0,1,0,0,0,0,0,0,143,0,1
45,Lamare Bogarde,NED,DF,Aston Villa,20,2004,1.9,99,86,13,6,0,0,0,7,0,0,0,0,86,0,0
46,Willy Boly,CIV,DF,Nott'ham Forest,33,1991,1.0,54,54,0,0,0,0,0,0,0,0,0,0,43,0,0
47,Jarrod Bowen,ENG,"FW,MF",West Ham,27,1996,5.7,129,107,22,0,0,1,30,0,19,6,13,0,84,0,8
48,Conor Bradley,NIR,DF,Liverpool,21,2003,0.9,85,68,17,3,0,1,1,14,0,0,0,0,73,0,1
49,Jarrad Branthwaite,ENG,DF,Everton,22,2002,1.0,32,32,0,0,0,0,0,0,0,0,0,0,27,0,1
50,Ben Brereton,CHI,FW,Southampton,25,1999,3.8,128,126,2,1,1,0,3,1,0,0,0,0,105,0,3
51,Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,0.2,13,13,0,0,1,0,0,0,0,0,0,0,12,0,0
52,Santiago Bueno,URU,DF,Wolves,25,1998,0.9,55,53,2,0,0,0,0,0,0,0,0,0,50,0,0
53,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19,2004,3.2,97,87,9,4,2,1,6,3,2,2,0,0,72,1,1
54,Dan Burn,ENG,DF,Newcastle Utd,32,1992,6.0,289,282,7,5,0,1,0,1,0,0,0,0,264,0,1
55,Wes Burns,WAL,FW,Ipswich Town,29,1994,2.3,55,52,3,1,0,0,8,2,0,0,0,0,38,0,2
56,Moisés Caicedo,ECU,MF,Chelsea,22,2001,5.8,319,311,7,6,3,1,3,1,0,0,0,0,279,1,2
57,Tom Cairney,SCO,MF,Fulham,33,1991,0.8,45,45,0,0,0,0,2,0,0,0,0,0,41,0,2
58,Jens Cajuste,SWE,MF,Ipswich Town,25,1999,0.9,35,33,2,1,0,0,1,1,0,0,0,0,31,0,0
59,Riccardo Calafiori,ITA,DF,Arsenal,22,2002,2.3,108,99,9,0,0,0,1,9,0,0,0,0,94,0,1
60,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,5.6,83,83,0,0,0,1,1,0,0,0,0,0,51,0,4
61,Diego Carlos,BRA,DF,Aston Villa,31,1993,2.0,136,129,6,5,0,1,0,0,0,0,0,0,120,1,0
62,Fabio Carvalho,POR,"FW,MF",Brentford,22,2002,2.6,83,73,9,2,0,0,6,0,5,2,0,0,56,1,4
63,Casemiro,BRA,MF,Manchester Utd,32,1992,3.0,205,198,5,5,4,1,7,0,0,0,0,0,161,2,4
64,Matty Cash,POL,DF,Aston Villa,27,1997,1.1,49,37,12,4,0,0,2,8,0,0,0,0,38,0,1
65,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,1.0,36,32,4,1,1,0,0,0,0,0,0,0,25,0,1
