Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,1.3,87,97,89.7,1491,610,32,33,97.0,52,53,98.1,2,8,25.0,0,0.0,0.0,0.0,1,0,0,0,2
2,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,1.5,42,67,62.7,507,77,33,41,80.5,8,16,50.0,1,4,25.0,1,0.5,0.6,0.5,2,1,0,0,2
3,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,5.6,198,262,75.6,3117,1476,104,119,87.4,76,105,72.4,12,26,46.2,0,0.3,0.5,-0.3,3,18,3,2,25
4,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,23,2001,5.3,200,233,85.8,2739,707,121,127,95.3,72,84,85.7,2,10,20.0,1,0.7,0.3,0.3,5,13,3,0,21
5,Kristoffer Ajer,NOR,DF,Brentford,26,1998,5.1,170,220,77.3,2721,995,86,98,87.8,68,87,78.2,11,20,55.0,0,0.2,0.1,-0.2,2,14,2,2,17
6,Manuel Akanji,SUI,DF,Manchester City,29,1995,6.0,515,546,94.3,8428,2075,251,262,95.8,233,243,95.9,26,32,81.3,0,0.2,0.7,-0.2,5,62,8,2,54
7,Nathan Aké,NED,DF,Manchester City,29,1995,0.0,6,7,85.7,78,13,5,5,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
8,Carlos Alcaraz,ARG,MF,Southampton,21,2002,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6
9,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,5.5,260,366,71.0,4851,1937,125,140,89.3,93,129,72.1,38,84,45.2,1,1.7,2.1,-0.7,14,22,9,3,35
10,Alisson,BRA,GK,Liverpool,31,1992,5.0,148,176,84.1,3039,1755,52,52,100.0,78,80,97.5,18,43,41.9,0,0.0,0.0,0.0,0,2,0,0,0
11,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,0.0,4,4,100.0,61,22,2,2,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,1,0,2
12,Edson Álvarez,MEX,"MF,DF",West Ham,26,1997,2.5,113,127,89.0,1815,480,59,64,92.2,42,45,93.3,10,14,71.4,0,0.1,0.3,-0.1,3,14,2,0,11
13,Samuel Amo-Ameyaw,ENG,DF,Southampton,18,2006,0.1,5,5,100.0,68,13,4,4,100.0,1,1,100.0,0,0,0.0,0,0.1,0.1,-0.1,1,0,1,1,0
14,Joachim Andersen,DEN,DF,Crystal Palace,28,1996,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4
15,Joachim Andersen,DEN,DF,Fulham,28,1996,3.0,175,207,84.5,3626,1517,55,58,94.8,93,100,93.0,25,45,55.6,0,0.2,0.0,-0.2,1,18,0,0,12
16,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,21,2002,4.0,115,155,74.2,1790,701,65,74,87.8,43,59,72.9,5,14,35.7,1,0.2,0.2,0.8,5,9,1,0,14
17,André,BRA,MF,Wolves,23,2001,2.9,113,118,95.8,1890,516,53,54,98.1,48,49,98.0,9,10,90.0,0,0.1,0.2,-0.1,1,7,0,0,8
18,Michail Antonio,JAM,FW,West Ham,34,1990,4.0,43,75,57.3,874,137,16,25,64.0,18,26,69.2,8,12,66.7,1,0.2,0.1,0.8,1,4,1,0,8
19,Antony,BRA,FW,Manchester Utd,24,2000,0.0,1,2,50.0,13,0,1,2,50.0,0,0,0.0,0,0,0.0,0,0.1,0.1,-0.1,1,0,0,0,0
20,Julian Araujo,MEX,DF,Bournemouth,23,2001,3.0,100,129,77.5,1763,633,47,51,92.2,45,53,84.9,7,19,36.8,0,0.0,0.0,0.0,0,12,1,0,10
21,Cameron Archer,ENG,FW,Southampton,23,2001,2.3,28,34,82.4,364,21,19,23,82.6,8,10,80.0,0,0,0.0,0,0.0,0.0,0.0,0,0,1,0,2
22,Alphonse Areola,FRA,GK,West Ham,31,1993,5.5,152,201,75.6,4022,3013,40,40,100.0,62,63,98.4,49,94,52.1,0,0.0,0.0,0.0,0,3,0,0,0
23,Joe Aribo,NGA,MF,Southampton,28,1996,2.5,109,127,85.8,1375,271,76,83,91.6,28,33,84.8,1,3,33.3,0,0.7,0.5,-0.7,3,5,2,0,11
24,Adam Armstrong,ENG,FW,Southampton,27,1997,2.4,51,60,85.0,670,84,31,33,93.9,16,18,88.9,1,2,50.0,0,0.1,0.1,-0.1,1,3,0,0,5
25,Harrison Armstrong,ENG,MF,Everton,17,2007,0.0,1,4,25.0,23,0,0,0,0.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
26,Kepa Arrizabalaga,ESP,GK,Bournemouth,29,1994,2.0,53,66,80.3,1292,812,7,8,87.5,34,34,100.0,11,23,47.8,0,0.0,0.0,0.0,0,0,0,0,0
27,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27,1997,0.9,13,19,68.4,148,15,11,15,73.3,2,4,50.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
28,Yasin Ayari,SWE,MF,Brighton,20,2003,2.2,67,90,74.4,932,233,40,50,80.0,21,26,80.8,2,5,40.0,0,0.1,0.4,-0.1,2,7,4,1,9
29,Jordan Ayew,GHA,"FW,MF",Crystal Palace,33,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0
