Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1,Max Aarons,ENG,DF,Bournemouth,24,2000,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,2,120.0,60.0,22.2,1.3,1,90.0,1,1,30.0,4,3.0,4.0,0.0,4.0,3.0,2.7,1.1,1.6,1.24
3,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,5,137.0,27.0,25.4,1.5,1,61.0,0,4,19.0,0,1.8,5.0,1.0,4.0,2.63,2.6,1.3,1.3,0.86
4,Asher Agbinone,ENG,MF,Crystal Palace,19,2005,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Naouirou Ahamada,FRA,MF,Crystal Palace,22,2002,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,6,503.0,84.0,93.1,5.6,6,84.0,5,0,0.0,0,1.5,6.0,4.0,2.0,0.36,6.9,4.7,2.2,0.39
7,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,23,2001,6,473.0,79.0,87.6,5.3,6,79.0,2,0,0.0,0,0.17,6.0,15.0,-9.0,-1.71,5.0,7.9,-2.9,-0.54
8,Kristoffer Ajer,NOR,DF,Brentford,26,1998,6,457.0,76.0,84.6,5.1,6,76.0,3,0,0.0,0,1.17,5.0,8.0,-3.0,-0.59,4.8,9.5,-4.7,-0.93
9,Manuel Akanji,SUI,DF,Manchester City,29,1995,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,2.33,14.0,6.0,8.0,1.33,12.2,5.2,7.1,1.18
10,Nathan Aké,NED,DF,Manchester City,29,1995,1,3.0,3.0,0.6,0.0,0,0.0,0,1,3.0,2,3.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,3.94
11,Carlos Alcaraz,ARG,MF,Southampton,21,2002,1,10.0,10.0,2.2,0.1,0,0.0,0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,2.92
12,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,6,492.0,82.0,91.1,5.5,6,82.0,3,0,0.0,0,2.5,12.0,2.0,10.0,1.83,11.3,3.9,7.3,1.34
13,Alisson,BRA,GK,Liverpool,31,1992,5,450.0,90.0,83.3,5.0,5,90.0,5,0,0.0,0,2.4,9.0,2.0,7.0,1.4,10.4,3.4,6.9,1.38
14,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,2,3.0,2.0,0.6,0.0,0,0.0,0,2,2.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-1.64
15,Edson Álvarez,MEX,"MF,DF",West Ham,26,1997,4,223.0,56.0,41.3,2.5,3,70.0,0,1,13.0,0,1.0,1.0,6.0,-5.0,-2.02,1.7,4.8,-3.1,-1.25
16,Samuel Amo-Ameyaw,ENG,DF,Southampton,18,2006,1,10.0,10.0,2.2,0.1,0,0.0,0,1,10.0,2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,2.92
17,Joachim Andersen,DEN,DF,Crystal Palace,28,1996,1,90.0,90.0,16.7,1.0,1,90.0,1,0,0.0,0,0.0,1.0,2.0,-1.0,-1.0,1.2,1.6,-0.4,-0.42
18,Joachim Andersen,DEN,DF,Fulham,28,1996,3,270.0,90.0,50.0,3.0,3,90.0,3,0,0.0,1,2.33,5.0,2.0,3.0,1.0,5.1,3.1,2.0,0.67
19,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,21,2002,6,356.0,59.0,65.9,4.0,5,67.0,0,1,19.0,0,1.5,3.0,5.0,-2.0,-0.51,4.6,4.3,0.3,0.08
20,André,BRA,MF,Wolves,23,2001,4,261.0,65.0,48.3,2.9,3,85.0,2,1,5.0,0,0.25,3.0,6.0,-3.0,-1.03,2.3,5.1,-2.9,-0.98
