Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
1,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,1.3,107,22,72,36,0,0,107,1,1,100.0,0,0.0,66,239,154,0,0,0,0,0,81,0
2,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,1.5,102,0,8,32,64,11,102,6,0,0.0,6,100.0,65,445,216,5,5,3,9,2,72,35
3,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,5.6,323,27,115,147,69,1,323,10,5,50.0,4,40.0,142,1002,637,14,8,2,4,7,151,8
4,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,23,2001,5.3,285,19,74,127,89,10,285,12,7,58.3,4,33.3,150,757,331,12,11,2,5,3,170,16
5,Kristoffer Ajer,NOR,DF,Brentford,26,1998,5.1,262,16,109,118,39,4,262,7,4,57.1,3,42.9,144,909,542,10,4,0,6,5,173,10
6,Manuel Akanji,SUI,DF,Manchester City,29,1995,6.0,582,36,147,261,174,4,582,0,0,0.0,0,0.0,349,1810,1079,12,19,0,3,1,474,2
7,Nathan Aké,NED,DF,Manchester City,29,1995,0.0,9,1,3,1,5,0,9,0,0,0.0,0,0.0,4,28,7,0,0,0,0,1,5,0
8,Carlos Alcaraz,ARG,MF,Southampton,21,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1
9,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,5.5,415,13,112,178,125,9,415,12,4,33.3,7,58.3,217,1222,729,18,12,3,6,9,272,21
10,Alisson,BRA,GK,Liverpool,31,1992,5.0,184,132,181,3,0,0,184,0,0,0.0,0,0.0,121,451,259,0,0,0,0,0,134,0
11,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,0.0,4,0,0,2,2,0,4,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
12,Edson Álvarez,MEX,"MF,DF",West Ham,26,1997,2.5,158,8,53,81,27,2,158,3,0,0.0,2,66.7,93,524,207,1,5,0,1,2,105,3
13,Samuel Amo-Ameyaw,ENG,DF,Southampton,18,2006,0.1,6,0,0,0,6,1,6,0,0,0.0,0,0.0,6,50,25,0,0,1,0,2,6,2
14,Joachim Andersen,DEN,DF,Crystal Palace,28,1996,1.0,93,14,38,50,5,0,93,0,0,0.0,0,0.0,49,189,103,1,1,0,0,1,67,1
15,Joachim Andersen,DEN,DF,Fulham,28,1996,3.0,250,33,132,109,12,4,250,0,0,0.0,0,0.0,145,624,354,3,2,0,0,0,157,0
16,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,21,2002,4.0,218,14,49,99,76,14,218,11,5,45.5,4,36.4,114,593,265,9,7,2,12,5,120,18
17,André,BRA,MF,Wolves,23,2001,2.9,142,12,48,85,11,1,142,3,3,100.0,0,0.0,83,304,137,0,1,0,3,3,105,0
18,Michail Antonio,JAM,FW,West Ham,34,1990,4.0,115,1,10,51,56,12,115,7,2,28.6,4,57.1,68,502,286,9,6,1,14,7,88,26
19,Antony,BRA,FW,Manchester Utd,24,2000,0.0,3,0,1,1,1,1,3,0,0,0.0,0,0.0,1,2,0,0,0,0,0,0,2,0
20,Julian Araujo,MEX,DF,Bournemouth,23,2001,3.0,152,10,52,80,22,1,152,0,0,0.0,0,0.0,64,237,121,2,0,0,3,1,76,10
21,Cameron Archer,ENG,FW,Southampton,23,2001,2.3,53,0,3,25,25,11,52,3,2,66.7,1,33.3,26,113,46,3,0,3,3,5,32,10
