Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,6.0,5,0,0,1,0,4.5,0.16,-0.5,-0.09,36,108,33.3,165,20,44.2,36.0,80,11,13.8,3,0.5,8.9
Aston Villa,1,6.0,9,1,0,0,0,7.3,0.32,-1.7,-0.29,31,64,48.4,167,21,28.7,31.3,74,8,10.8,7,1.17,13.3
Bournemouth,3,5.0,8,0,0,0,0,10.9,0.31,2.9,0.58,20,53,37.7,112,21,33.9,36.8,60,3,5.0,7,1.4,12.6
Brentford,1,6.0,10,0,0,0,1,9.7,0.25,0.7,0.11,53,111,47.7,288,21,34.0,33.9,78,5,6.4,10,1.67,14.9
Brighton,2,6.0,8,2,1,0,0,7.7,0.29,-0.3,-0.05,21,43,48.8,232,27,17.7,25.1,44,4,9.1,13,2.17,15.4
Chelsea,1,6.0,7,0,0,0,0,7.4,0.21,0.4,0.06,20,66,30.3,226,38,25.2,28.5,64,9,14.1,18,3.0,16.7
Crystal Palace,1,6.0,9,0,0,0,0,10.6,0.43,1.6,0.27,15,69,21.7,131,32,38.9,33.9,81,5,6.2,9,1.5,15.3
Everton,1,6.0,15,0,0,3,0,11.5,0.36,-3.5,-0.59,74,149,49.7,182,18,66.5,46.4,98,6,6.1,16,2.67,19.0
Fulham,1,6.0,5,0,0,1,0,6.1,0.28,1.1,0.19,20,67,29.9,181,15,28.2,30.0,83,5,6.0,5,0.83,12.3
Ipswich Town,2,6.0,10,1,0,0,0,11.4,0.42,1.4,0.24,20,63,31.7,186,32,24.7,30.4,83,8,9.6,6,1.0,13.8
Leicester City,1,6.0,12,1,0,0,1,14.6,0.34,3.6,0.61,27,81,33.3,164,36,36.0,34.0,117,6,5.1,7,1.17,12.9
Liverpool,2,6.0,2,0,0,0,0,5.1,0.27,3.1,0.51,13,38,34.2,190,20,18.4,25.0,59,3,5.1,9,1.5,16.9
Manchester City,1,6.0,6,1,0,1,1,5.9,0.3,0.9,0.14,22,53,41.5,198,17,23.7,28.9,56,1,1.8,11,1.83,17.6
Manchester Utd,1,6.0,8,0,0,2,0,10.8,0.39,2.8,0.46,23,63,36.5,223,36,24.7,26.2,58,3,5.2,9,1.5,15.9
Newcastle Utd,1,6.0,7,0,0,0,1,8.6,0.25,2.6,0.44,18,75,24.0,128,30,38.3,36.6,102,5,4.9,12,2.0,16.9
Nott'ham Forest,1,6.0,5,1,1,0,0,4.2,0.21,-0.8,-0.13,38,118,32.2,110,6,84.5,45.9,98,3,3.1,1,0.17,7.1
Southampton,2,5.0,9,0,0,4,0,11.4,0.39,2.4,0.48,12,46,26.1,135,29,32.6,22.2,58,7,12.1,6,1.2,6.9
Tottenham,1,6.0,5,0,0,1,0,6.8,0.36,1.8,0.3,3,16,18.8,199,42,8.0,21.1,67,8,11.9,15,2.5,17.3
West Ham,2,6.0,10,0,0,1,0,9.2,0.36,-0.8,-0.13,35,80,43.8,156,26,34.0,37.5,85,3,3.5,6,1.0,6.0
Wolves,2,6.0,16,1,0,3,0,11.4,0.33,-4.6,-0.76,42,101,41.6,186,22,47.3,34.3,74,5,6.8,10,1.67,12.6
