Squad,# Pl,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
Arsenal,21,6.0,108,67,49,39,20,60,110,54.5,50,75,32,43,45,153,133,6
Aston Villa,20,6.0,113,69,43,53,17,47,87,54.0,40,54,15,39,32,145,107,5
Bournemouth,21,5.0,99,52,46,34,19,37,90,41.1,53,69,18,51,44,143,121,3
Brentford,20,6.0,118,75,62,32,24,51,93,54.8,42,92,35,57,57,175,129,4
Brighton,24,6.0,103,56,34,47,22,53,107,49.5,54,63,14,49,48,151,69,5
Chelsea,21,6.0,100,61,50,40,10,54,112,48.2,58,66,24,42,48,148,123,6
Crystal Palace,21,6.0,135,77,63,56,16,53,109,48.6,56,58,13,45,49,184,140,4
Everton,22,6.0,125,75,62,46,17,55,92,59.8,37,59,22,37,71,196,137,3
Fulham,19,6.0,105,64,49,38,18,32,77,41.6,45,53,18,35,51,156,127,4
Ipswich Town,24,6.0,110,58,65,32,13,49,110,44.5,61,70,24,46,54,164,165,4
Leicester City,21,6.0,132,79,72,42,18,55,114,48.2,59,107,39,68,46,178,190,3
Liverpool,22,6.0,92,62,41,35,16,52,93,55.9,41,67,11,56,46,138,109,3
Manchester City,20,6.0,82,48,32,32,18,30,61,49.2,31,46,11,35,38,120,89,5
Manchester Utd,21,6.0,135,81,63,52,20,71,108,65.7,37,59,18,41,76,211,84,4
Newcastle Utd,19,6.0,92,55,46,34,12,54,104,51.9,50,84,31,53,47,139,150,7
Nott'ham Forest,22,6.0,113,65,62,41,10,53,98,54.1,45,65,26,39,56,169,166,2
Southampton,24,5.0,83,49,30,36,17,36,72,50.0,36,54,23,31,40,123,99,6
Tottenham,21,6.0,112,75,44,44,24,57,99,57.6,42,73,16,57,54,166,100,2
West Ham,22,6.0,96,51,48,36,12,44,89,49.4,45,75,27,48,55,151,140,2
Wolves,23,6.0,121,70,70,39,12,53,104,51.0,51,72,24,48,55,176,124,1
