Squad,# Pl,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
Arsenal,21,6.0,151,25.17,118,10,8,12,1,2,21,3.5,15,4,0,2,0,0
Aston Villa,20,6.0,121,20.17,91,10,5,9,3,3,21,3.5,19,1,0,1,0,0
Bournemouth,21,5.0,151,30.2,115,10,6,8,8,4,9,1.8,9,0,0,0,0,0
Brentford,20,6.0,106,17.67,80,9,6,4,6,1,14,2.33,11,1,0,2,0,0
Brighton,24,6.0,167,27.83,113,12,14,12,13,3,15,2.5,11,0,1,1,1,1
Chelsea,21,6.0,136,22.67,114,3,10,4,5,0,27,4.5,21,1,2,1,2,0
Crystal Palace,21,6.0,149,24.83,114,12,4,12,7,0,6,1.0,4,0,0,1,1,0
Everton,22,6.0,121,20.17,81,16,6,6,7,5,13,2.17,7,1,0,0,2,3
Fulham,19,6.0,165,27.5,111,20,7,16,7,4,14,2.33,13,0,0,0,1,0
Ipswich Town,24,6.0,93,15.5,57,15,8,4,6,3,9,1.5,6,0,2,1,0,0
Leicester City,21,6.0,90,15.0,60,13,6,3,8,0,13,2.17,8,2,2,0,1,0
Liverpool,22,6.0,166,27.67,127,8,13,11,4,3,23,3.83,22,0,0,0,1,0
Manchester City,20,6.0,216,36.0,180,11,11,7,5,2,23,3.83,14,0,6,1,1,1
Manchester Utd,21,6.0,147,24.5,130,11,1,3,1,1,10,1.67,8,2,0,0,0,0
Newcastle Utd,19,6.0,125,20.83,91,11,7,6,7,3,16,2.67,12,1,1,0,1,1
Nott'ham Forest,22,6.0,128,21.33,97,10,6,10,4,1,9,1.5,4,1,0,2,2,0
Southampton,24,5.0,106,21.2,76,5,8,9,7,1,4,0.8,3,0,1,0,0,0
Tottenham,21,6.0,194,32.33,142,15,9,17,8,3,16,2.67,11,1,1,2,0,1
West Ham,22,6.0,151,25.17,105,14,10,13,5,4,8,1.33,3,1,1,2,1,0
Wolves,23,6.0,103,17.17,74,8,9,5,3,4,8,1.33,6,1,0,0,0,1
