Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%
Arsenal,1,6,6,540,6.0,5,0.83,29,24,82.8,,4,2,0,3,50.0
Aston Villa,1,6,6,540,6.0,9,1.5,21,12,61.9,0.0,4,1,1,0,0.0
Bournemouth,3,5,5,450,5.0,8,1.6,36,28,77.8,,1,2,2,0,0.0
Brentford,1,6,6,540,6.0,10,1.67,39,30,74.4,,2,1,3,0,0.0
Brighton,2,6,6,540,6.0,8,1.33,21,13,71.4,0.0,2,3,1,2,33.3
Chelsea,1,6,6,540,6.0,7,1.17,31,23,77.4,100.0,4,1,1,2,33.3
Crystal Palace,1,6,6,540,6.0,9,1.5,27,18,66.7,,0,3,3,1,16.7
Everton,1,6,6,540,6.0,15,2.5,32,17,53.1,,1,1,4,0,0.0
Fulham,1,6,6,540,6.0,5,0.83,22,17,77.3,,3,2,1,1,16.7
Ipswich Town,2,6,6,540,6.0,10,1.67,26,16,65.4,0.0,0,4,2,1,16.7
Leicester City,1,6,6,540,6.0,12,2.0,42,31,73.8,0.0,0,3,3,0,0.0
Liverpool,2,6,6,540,6.0,2,0.33,19,17,89.5,,5,0,1,4,66.7
Manchester City,1,6,6,540,6.0,6,1.0,18,13,72.2,0.0,4,2,0,1,16.7
Manchester Utd,1,6,6,540,6.0,8,1.33,26,17,69.2,100.0,2,1,3,3,50.0
Newcastle Utd,1,6,6,540,6.0,7,1.17,35,29,80.0,,3,2,1,1,16.7
Nott'ham Forest,1,6,6,540,6.0,5,0.83,17,12,76.5,0.0,2,3,1,2,33.3
Southampton,2,5,5,450,5.0,9,1.8,32,23,71.9,,0,1,4,0,0.0
Tottenham,1,6,6,540,6.0,5,0.83,19,14,73.7,,3,1,2,2,33.3
West Ham,2,6,6,540,6.0,10,1.67,26,16,61.5,,1,2,3,1,16.7
Wolves,2,6,6,540,6.0,16,2.67,34,18,55.9,0.0,0,1,5,0,0.0
