Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,21,6.0,2561,2315,238,63,11,16,93,83,37,33,0,2,2089,8,40
Aston Villa,20,6.0,2952,2686,258,97,21,10,77,86,23,19,2,1,2501,8,52
Bournemouth,21,5.0,2044,1810,221,51,4,6,109,91,33,27,2,0,1527,13,41
Brentford,20,6.0,2830,2567,255,71,9,22,92,99,24,15,1,0,2257,8,52
Brighton,24,6.0,3466,3175,286,94,11,16,140,107,36,16,14,1,2897,5,59
Chelsea,21,6.0,3196,2927,256,84,20,11,75,86,29,21,1,0,2703,13,42
Crystal Palace,21,6.0,3072,2793,268,72,8,12,104,99,31,17,3,0,2418,11,53
Everton,22,6.0,2130,1832,275,64,9,13,102,121,22,14,3,4,1574,23,49
Fulham,19,6.0,2868,2560,302,99,7,17,130,111,35,12,19,0,2330,6,52
Ipswich Town,24,6.0,2267,2013,238,87,12,9,76,72,33,23,5,0,1798,16,48
Leicester City,21,6.0,2459,2179,267,90,8,8,86,97,16,11,3,0,1957,13,42
Liverpool,22,6.0,3603,3321,277,70,11,21,92,128,41,26,9,0,3070,5,44
Manchester City,20,6.0,4056,3798,252,65,17,12,108,102,50,16,7,1,3605,6,61
Manchester Utd,21,6.0,3406,3134,261,61,20,12,102,112,39,19,3,7,2851,11,67
Newcastle Utd,19,6.0,2533,2223,298,100,12,14,91,101,31,20,5,0,2019,12,55
Nott'ham Forest,22,6.0,2310,2013,275,83,6,9,91,100,28,16,12,0,1708,22,57
Southampton,24,5.0,3079,2864,208,70,11,7,80,65,26,10,7,0,2673,7,46
Tottenham,21,6.0,3652,3347,296,90,13,12,144,113,56,28,7,0,3097,9,79
West Ham,22,6.0,2628,2373,246,55,7,30,114,99,25,9,14,0,2091,9,59
Wolves,23,6.0,2526,2255,258,75,11,16,81,99,21,10,8,0,2023,13,52
