Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,G+A-PK,xG+xAG
Arsenal,21,26.1,47.2,6,66,540,6.0,11,1.83,9,1.5,20,3.33,11,1.83,0,0,21,2,10.1,1.68,10.1,1.68,7.2,1.2,17.2,2.87,113,240,3.33,2.87
Aston Villa,20,26.9,52.0,6,66,540,6.0,12,2.0,11,1.83,23,3.83,12,2.0,0,0,13,0,9.3,1.54,9.3,1.54,7.7,1.28,17.0,2.83,112,200,3.83,2.83
Bournemouth,21,25.4,43.0,5,55,450,5.0,5,1.0,4,0.8,9,1.8,5,1.0,0,1,16,0,8.6,1.73,7.8,1.57,6.5,1.31,14.4,2.87,83,194,1.8,3.03
Brentford,20,26.3,46.0,6,66,540,6.0,8,1.33,4,0.67,12,2.0,8,1.33,0,0,10,0,7.0,1.17,7.0,1.17,4.3,0.71,11.3,1.89,87,180,2.0,1.89
Brighton,24,26.3,61.5,6,66,540,6.0,10,1.67,7,1.17,17,2.83,10,1.67,0,0,13,0,9.0,1.5,9.0,1.5,6.2,1.04,15.2,2.53,149,321,2.83,2.53
Chelsea,21,23.8,54.0,6,66,540,6.0,15,2.5,12,2.0,27,4.5,14,2.33,1,1,21,0,12.1,2.01,11.3,1.88,10.4,1.74,21.7,3.62,120,190,4.33,3.75
Crystal Palace,21,26.2,51.3,6,66,540,6.0,4,0.67,2,0.33,6,1.0,3,0.5,1,1,11,0,7.5,1.25,6.7,1.12,5.6,0.93,12.3,2.05,91,246,0.83,2.18
Everton,22,28.6,38.0,6,66,540,6.0,7,1.17,5,0.83,12,2.0,7,1.17,0,0,11,1,6.1,1.02,6.1,1.02,5.2,0.87,11.3,1.88,69,163,2.0,1.88
Fulham,19,28.1,50.5,6,66,540,6.0,8,1.33,7,1.17,15,2.5,7,1.17,1,1,20,0,8.2,1.37,7.4,1.24,6.5,1.08,13.9,2.31,125,229,2.33,2.44
Ipswich Town,24,26.1,39.0,6,66,540,6.0,5,0.83,4,0.67,9,1.5,5,0.83,0,0,19,0,4.3,0.72,4.3,0.72,4.0,0.67,8.4,1.4,72,144,1.5,1.4
Leicester City,21,26.7,41.8,6,66,540,6.0,8,1.33,7,1.17,15,2.5,8,1.33,0,0,15,0,4.3,0.72,4.3,0.72,3.5,0.59,7.8,1.31,68,149,2.5,1.31
Liverpool,22,27.6,58.7,6,66,540,6.0,12,2.0,10,1.67,22,3.67,11,1.83,1,1,12,0,12.4,2.06,11.6,1.93,9.7,1.61,21.3,3.55,147,272,3.5,3.68
Manchester City,20,27.6,64.5,6,66,540,6.0,14,2.33,9,1.5,23,3.83,13,2.17,1,1,15,0,12.2,2.04,11.5,1.91,10.1,1.68,21.5,3.59,222,318,3.67,3.72
Manchester Utd,21,26.1,53.7,6,66,540,6.0,5,0.83,5,0.83,10,1.67,5,0.83,0,0,19,1,10.4,1.74,10.4,1.74,9.5,1.58,19.9,3.32,94,253,1.67,3.32
Newcastle Utd,19,27.6,44.8,6,66,540,6.0,8,1.33,7,1.17,15,2.5,7,1.17,1,1,15,1,8.3,1.38,7.5,1.25,6.8,1.13,14.3,2.38,91,196,2.33,2.51
Nott'ham Forest,22,26.7,40.7,6,66,540,6.0,6,1.0,3,0.5,9,1.5,5,0.83,1,1,19,1,7.2,1.2,6.4,1.07,5.0,0.84,11.5,1.91,110,164,1.33,2.04
Southampton,24,26.2,60.2,5,55,450,5.0,2,0.4,2,0.4,4,0.8,2,0.4,0,1,13,1,6.9,1.39,6.1,1.23,5.5,1.1,11.6,2.33,121,201,0.8,2.49
Tottenham,21,25.7,62.8,6,66,540,6.0,11,1.83,8,1.33,19,3.17,11,1.83,0,0,16,0,13.4,2.24,13.4,2.24,9.2,1.53,22.6,3.77,172,335,3.17,3.77
West Ham,22,28.6,44.8,6,66,540,6.0,5,0.83,3,0.5,8,1.33,4,0.67,1,1,16,0,7.0,1.16,6.2,1.03,4.1,0.69,10.3,1.71,116,212,1.17,1.85
Wolves,23,27.0,46.0,6,66,540,6.0,6,1.0,4,0.67,10,1.67,6,1.0,0,0,19,0,5.5,0.92,5.5,0.92,4.0,0.67,9.5,1.59,89,154,1.67,1.59
