Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,1.5,1,5,1,20.0,3.28,0.66,0.2,1.0,14.0,0,0,0,0.3,0.3,0.07,0.7,0.7
3,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,5.6,0,2,0,0.0,0.36,0.0,0.0,0.0,30.4,0,0,0,0.0,0.0,0.02,0.0,0.0
4,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,23,2001,5.3,1,8,2,25.0,1.52,0.38,0.13,0.5,15.2,0,0,0,0.9,0.9,0.12,0.1,0.1
5,Kristoffer Ajer,NOR,DF,Brentford,26,1998,5.1,0,1,1,100.0,0.2,0.2,0.0,0.0,6.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3
6,Manuel Akanji,SUI,DF,Manchester City,29,1995,6.0,0,4,0,0.0,0.67,0.0,0.0,0.0,22.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
7,Nathan Aké,NED,DF,Manchester City,29,1995,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
8,Carlos Alcaraz,ARG,MF,Southampton,21,2002,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
9,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,5.5,0,6,1,16.7,1.1,0.18,0.0,0.0,25.1,2,0,0,0.3,0.3,0.05,-0.3,-0.3
10,Alisson,BRA,GK,Liverpool,31,1992,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
11,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
12,Edson Álvarez,MEX,"MF,DF",West Ham,26,1997,2.5,0,2,0,0.0,0.81,0.0,0.0,0.0,28.0,0,0,0,0.0,0.0,0.01,0.0,0.0
13,Samuel Amo-Ameyaw,ENG,DF,Southampton,18,2006,0.1,0,1,0,0.0,9.0,0.0,0.0,0.0,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
