Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
1,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,2,1,120,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0,2,0,0.0,0.01
2,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,5,1,137,1.5,1,0.66,1,0.66,2,1.31,1,0.66,0,0,0,0,0.3,0.22,0.3,0.22,0.5,0.31,0.8,0.53,5,2,35,1.31,0.53
3,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,6,6,503,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.01,0.0,0.01,0.3,0.05,0.3,0.05,14,25,8,0.0,0.05
4,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,23,2001,6,6,473,5.3,1,0.19,1,0.19,2,0.38,1,0.19,0,0,3,0,0.9,0.18,0.9,0.18,0.7,0.13,1.6,0.31,12,21,16,0.38,0.31
5,Kristoffer Ajer,NOR,DF,Brentford,26,1998,6,6,457,5.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.3,0.05,0.3,0.05,0.2,0.05,0.5,0.1,10,17,10,0.0,0.1
6,Manuel Akanji,SUI,DF,Manchester City,29,1995,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.01,0.1,0.01,0.2,0.03,0.2,0.04,12,54,2,0.0,0.04
7,Nathan Aké,NED,DF,Manchester City,29,1995,1,0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0
8,Carlos Alcaraz,ARG,MF,Southampton,21,2002,1,0,10,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.62,0.1,0.62,0.1,0.86,0.2,1.48,4,6,1,0.0,1.48
9,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,6,6,492,5.5,0,0.0,1,0.18,1,0.18,0,0.0,0,0,2,0,0.3,0.05,0.3,0.05,1.7,0.31,2.0,0.36,18,35,21,0.18,0.36
10,Alisson,BRA,GK,Liverpool,31,1992,5,5,450,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,2,0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0
12,Edson Álvarez,MEX,"MF,DF",West Ham,26,1997,4,3,223,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.01,0.0,0.01,0.1,0.05,0.2,0.06,1,11,3,0.0,0.06
13,Samuel Amo-Ameyaw,ENG,DF,Southampton,18,2006,1,0,10,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.18,0.0,0.18,0.1,0.62,0.1,0.8,0,0,2,0.0,0.8
