Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
1,Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
2,Tammy Abraham,ENG,FW,Roma,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
3,Tammy Abraham,ENG,FW,Milan,26,1997,2.9,4,1,0,4,0,0,0,0.0,0,2,0,2,1,5,3,0
4,Federico Accornero,ITA,MF,Genoa,20,2004,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
5,Francesco Acerbi,ITA,DF,Inter,36,1988,5.0,6,4,5,1,0,2,3,66.7,1,5,5,0,9,15,22,0
6,Che Adams,SCO,"FW,MF",Torino,28,1996,3.9,2,1,0,1,1,0,0,0.0,0,2,2,0,0,2,1,0
7,Yacine Adli,FRA,MF,Fiorentina,24,2000,0.7,2,2,2,0,0,0,1,0.0,1,0,0,0,2,4,1,0
8,Michel Aebischer,SUI,MF,Bologna,27,1997,3.7,7,4,1,4,2,4,8,50.0,4,3,1,2,4,11,1,0
9,Honest Ahanor,ITA,DF,Genoa,16,2008,0.8,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,2,0
10,David Akpan Ankeye,NGA,FW,Genoa,22,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
11,Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.7,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,1
12,Pontus Almqvist,SWE,FW,Parma,25,1999,1.4,5,3,3,1,1,3,5,60.0,2,1,0,1,5,10,1,0
13,Giorgio Altare,ITA,DF,Venezia,26,1998,2.2,5,4,4,1,0,1,4,25.0,3,3,2,1,4,9,9,0
14,Sofyan Amrabat,MAR,MF,Fiorentina,28,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0
15,Angeliño,ESP,DF,Roma,27,1997,6.0,8,3,2,4,2,3,4,75.0,1,4,3,1,6,14,17,0
16,Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
17,Faustino Anjorin,ENG,MF,Empoli,22,2001,1.7,5,0,3,2,0,1,3,33.3,2,4,0,4,0,5,4,0
18,Marko Arnautović,AUT,FW,Inter,35,1989,0.4,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0
19,Kristjan Asllani,ALB,MF,Inter,22,2002,1.6,4,0,3,1,0,2,6,33.3,4,3,1,2,1,5,3,0
20,Arthur Atta,FRA,MF,Udinese,21,2003,0.2,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0
