Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
1,Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2,Tammy Abraham,ENG,FW,Roma,26,1997,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3,Tammy Abraham,ENG,FW,Milan,26,1997,2.9,8,2.8,3,0,0,4,1,0,3,1.05,1,0,0,1,1,0
4,Federico Accornero,ITA,MF,Genoa,20,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5,Francesco Acerbi,ITA,DF,Inter,36,1988,5.0,2,0.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
6,Che Adams,SCO,"FW,MF",Torino,28,1996,3.9,12,3.04,9,0,0,1,2,0,1,0.25,1,0,0,0,0,0
7,Yacine Adli,FRA,MF,Fiorentina,24,2000,0.7,4,5.37,1,2,1,0,0,0,2,2.69,0,1,1,0,0,0
8,Michel Aebischer,SUI,MF,Bologna,27,1997,3.7,8,2.16,6,1,0,0,0,1,0,0.0,0,0,0,0,0,0
9,Honest Ahanor,ITA,DF,Genoa,16,2008,0.8,1,1.32,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
10,David Akpan Ankeye,NGA,FW,Genoa,22,2002,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
11,Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.7,2,3.05,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
12,Pontus Almqvist,SWE,FW,Parma,25,1999,1.4,4,2.9,3,0,1,0,0,0,1,0.73,1,0,0,0,0,0
13,Giorgio Altare,ITA,DF,Venezia,26,1998,2.2,1,0.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
14,Sofyan Amrabat,MAR,MF,Fiorentina,28,1996,2.0,4,2.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
15,Angeliño,ESP,DF,Roma,27,1997,6.0,17,2.83,15,2,0,0,0,0,0,0.0,0,0,0,0,0,0
16,Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
17,Faustino Anjorin,ENG,MF,Empoli,22,2001,1.7,2,1.16,2,0,0,0,0,0,1,0.58,1,0,0,0,0,0
18,Marko Arnautović,AUT,FW,Inter,35,1989,0.4,1,2.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
19,Kristjan Asllani,ALB,MF,Inter,22,2002,1.6,5,3.1,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
20,Arthur Atta,FRA,MF,Udinese,21,2003,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
21,Emil Audero,ITA,GK,Como,27,1997,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
22,Tommaso Augello,ITA,DF,Cagliari,30,1994,4.5,14,3.08,10,4,0,0,0,0,0,0.0,0,0,0,0,0,0
23,Carlos Augusto,BRA,DF,Inter,25,1999,2.1,2,0.95,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0
24,Yann Aurel Bisseck,GER,DF,Inter,23,2000,2.0,2,1.0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
25,Paulo Azzi,BRA,DF,Cagliari,30,1994,3.7,15,4.02,9,2,1,2,0,1,0,0.0,0,0,0,0,0,0
26,Milan Badelj,CRO,MF,Genoa,35,1989,4.4,10,2.26,9,0,0,0,1,0,0,0.0,0,0,0,0,0,0
27,Mitchel Bakker,NED,MF,Atalanta,24,2000,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
28,Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,1.7,10,5.92,7,0,1,0,1,1,3,1.78,2,0,0,0,0,1
29,Botond Balogh,HUN,DF,Parma,22,2002,4.8,2,0.42,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
30,Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,2.7,10,3.75,7,0,1,1,1,0,0,0.0,0,0,0,0,0,0
31,Daniel Bandeira,POR,MF,Hellas Verona,24,2000,2.5,2,0.79,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
32,Mattia Bani,ITA,DF,Genoa,30,1993,3.5,1,0.29,0,0,0,1,0,0,1,0.29,0,0,0,1,0,0
33,Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,3,5.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
