Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%_penalty,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_penalty
1,Emil Audero,ITA,GK,Como,27,1997,3,3,270,3.0,6,2.0,12,6,66.7,2,1,0,0,0.0,2,2,0,0,0.0
2,Elia Caprile,ITA,GK,Napoli,23,2001,2,1,145,1.6,0,0.0,2,2,100.0,1,0,0,2,200.0,0,0,0,0,0
3,Marco Carnesecchi,ITA,GK,Atalanta,24,2000,5,5,450,5.0,12,2.4,23,13,47.8,1,1,3,0,0.0,0,0,0,0,0
4,Leandro Chichizola,ARG,GK,Parma,34,1990,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,0
5,Michele Di Gregorio,ITA,GK,Juventus,27,1997,4,4,360,4.0,0,0.0,3,3,100.0,2,2,0,4,100.0,0,0,0,0,0
6,Wladimiro Falcone,ITA,GK,Lecce,29,1995,6,6,540,6.0,11,1.83,27,16,66.7,1,2,3,2,33.3,2,2,0,0,0.0
7,David de Gea,ESP,GK,Fiorentina,33,1990,3,3,270,3.0,4,1.33,14,10,71.4,1,1,1,1,33.3,0,0,0,0,0
8,Pierluigi Gollini,ITA,GK,Genoa,29,1995,6,6,540,6.0,10,1.67,24,13,66.7,1,2,3,1,16.7,3,2,1,0,33.3
9,Jesse Joronen,FIN,GK,Venezia,31,1993,6,6,540,6.0,10,1.67,32,23,78.1,1,1,4,2,33.3,3,3,0,0,0.0
10,Mike Maignan,FRA,GK,Milan,29,1995,6,6,540,6.0,7,1.17,24,18,70.8,3,2,1,2,33.3,0,0,0,0,0
11,Alex Meret,ITA,GK,Napoli,27,1997,5,5,395,4.4,4,0.91,13,9,76.9,3,1,1,2,40.0,1,1,0,0,0.0
12,Vanja Milinković-Savić,SRB,GK,Torino,27,1997,5,5,450,5.0,5,1.0,26,20,80.8,3,2,0,2,40.0,1,0,1,0,100.0
13,Lorenzo Montipò,ITA,GK,Hellas Verona,28,1996,6,6,540,6.0,11,1.83,31,20,67.7,2,0,4,2,33.3,2,1,0,1,0.0
14,Juan Musso,ARG,GK,Atalanta,30,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,0
15,Maduka Okoye,NGA,GK,Udinese,25,1999,6,6,540,6.0,10,1.67,32,22,75.0,3,1,2,1,16.7,3,2,0,1,0.0
16,Alberto Paleari,ITA,GK,Torino,32,1992,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,0
17,Mattia Perin,ITA,GK,Juventus,31,1992,2,2,180,2.0,0,0.0,5,5,100.0,1,1,0,2,100.0,0,0,0,0,0
18,Semuel Pizzignacco,ITA,GK,Monza,23,2001,2,2,180,2.0,1,0.5,3,2,66.7,0,1,1,1,50.0,0,0,0,0,0
19,Ivan Provedel,ITA,GK,Lazio,30,1994,6,6,540,6.0,10,1.67,23,13,65.2,3,1,2,0,0.0,2,2,0,0,0.0
20,Federico Ravaglia,ITA,GK,Bologna,24,1999,1,1,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,0
21,Pepe Reina,ESP,GK,Como,42,1982,3,3,270,3.0,5,1.67,13,8,61.5,0,1,2,0,0.0,0,0,0,0,0
22,Simone Scuffet,ITA,GK,Cagliari,28,1996,5,5,450,5.0,8,1.6,19,11,57.9,0,2,3,1,20.0,0,0,0,0,0
23,Łukasz Skorupski,POL,GK,Bologna,33,1991,5,5,450,5.0,8,1.6,17,9,52.9,0,4,1,0,0.0,1,0,1,0,100.0
24,Yann Sommer,SUI,GK,Inter,35,1988,6,6,540,6.0,7,1.17,25,17,72.0,3,2,1,2,33.3,1,0,1,0,100.0
25,Zion Suzuki,JPN,GK,Parma,22,2002,3,3,270,3.8,4,1.33,20,16,80.0,1,2,1,0,0.0,0,0,0,0,0
26,Mile Svilar,SRB,GK,Roma,25,1999,6,6,540,6.0,4,0.67,22,18,86.4,2,3,1,3,50.0,1,1,0,0,0.0
27,Pietro Terracciano,ITA,GK,Fiorentina,34,1990,3,3,270,3.0,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0,0
28,Stefano Turati,ITA,GK,Monza,23,2001,4,4,360,4.0,7,1.75,18,11,61.1,0,2,2,0,0.0,0,0,0,0,0
29,Devis Vásquez,COL,GK,Empoli,26,1998,6,6,540,6.0,2,0.33,16,14,87.5,2,4,0,4,66.7,0,0,0,0,0
