Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
2,Tammy Abraham,ENG,FW,Roma,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
3,Tammy Abraham,ENG,FW,Milan,26,1997,2.9,0,0,0,4,2,0,1,1,1,1,0,0,2,2,6,25.0
4,Federico Accornero,ITA,MF,Genoa,20,2004,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
5,Francesco Acerbi,ITA,DF,Inter,36,1988,5.0,0,0,0,3,8,0,1,9,4,0,0,0,14,13,4,76.5
6,Che Adams,SCO,"FW,MF",Torino,28,1996,3.9,0,0,0,4,7,3,2,0,1,0,0,0,5,5,12,29.4
7,Yacine Adli,FRA,MF,Fiorentina,24,2000,0.7,0,0,0,0,2,0,8,2,2,0,0,0,2,1,0,100.0
8,Michel Aebischer,SUI,MF,Bologna,27,1997,3.7,0,0,0,8,6,0,4,4,4,0,0,0,17,3,4,42.9
9,Honest Ahanor,ITA,DF,Genoa,16,2008,0.8,0,0,0,0,3,0,1,0,0,0,0,0,3,0,1,0.0
10,David Akpan Ankeye,NGA,FW,Genoa,22,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.7,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,100.0
12,Pontus Almqvist,SWE,FW,Parma,25,1999,1.4,0,0,0,3,2,0,0,5,3,0,0,0,10,3,1,75.0
13,Giorgio Altare,ITA,DF,Venezia,26,1998,2.2,1,0,0,5,1,0,3,4,4,0,0,1,6,8,4,66.7
14,Sofyan Amrabat,MAR,MF,Fiorentina,28,1996,2.0,0,0,0,4,1,0,3,0,2,0,0,0,7,1,1,50.0
15,Angeliño,ESP,DF,Roma,27,1997,6.0,0,0,0,5,5,1,19,6,3,0,0,0,24,11,5,68.8
16,Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
17,Faustino Anjorin,ENG,MF,Empoli,22,2001,1.7,0,0,0,2,6,0,2,0,0,0,0,0,4,2,3,40.0
18,Marko Arnautović,AUT,FW,Inter,35,1989,0.4,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0.0
19,Kristjan Asllani,ALB,MF,Inter,22,2002,1.6,2,0,0,2,3,0,4,1,0,0,0,0,13,1,3,25.0
20,Arthur Atta,FRA,MF,Udinese,21,2003,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
