Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Tammy Abraham,ENG,FW,Roma,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Tammy Abraham,ENG,FW,Milan,26,1997,2.9,35,31,4,0,1,0,1,0,0,0,0,0,26,0,0
4,Federico Accornero,ITA,MF,Genoa,20,2004,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1
5,Francesco Acerbi,ITA,DF,Inter,36,1988,5.0,366,351,14,9,0,0,1,4,0,0,0,0,348,1,0
6,Che Adams,SCO,"FW,MF",Torino,28,1996,3.9,93,86,7,1,1,1,2,1,0,0,0,0,64,0,4
7,Yacine Adli,FRA,MF,Fiorentina,24,2000,0.7,69,62,7,2,0,1,8,1,4,0,4,0,49,0,2
8,Michel Aebischer,SUI,MF,Bologna,27,1997,3.7,184,174,8,4,1,1,4,0,4,1,2,0,158,2,2
9,Honest Ahanor,ITA,DF,Genoa,16,2008,0.8,11,9,2,0,0,0,1,2,0,0,0,0,8,0,0
10,David Akpan Ankeye,NGA,FW,Genoa,22,2002,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
11,Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.7,19,17,2,1,0,0,3,0,1,1,0,0,15,0,0
12,Pontus Almqvist,SWE,FW,Parma,25,1999,1.4,44,42,2,0,0,0,0,2,0,0,0,0,31,0,2
13,Giorgio Altare,ITA,DF,Venezia,26,1998,2.2,103,89,13,3,0,1,3,10,0,0,0,0,72,1,0
14,Sofyan Amrabat,MAR,MF,Fiorentina,28,1996,2.0,133,122,11,10,0,4,3,1,0,0,0,0,112,0,0
15,Angeliño,ESP,DF,Roma,27,1997,6.0,475,424,51,11,0,4,19,39,1,0,1,0,403,0,4
16,Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
17,Faustino Anjorin,ENG,MF,Empoli,22,2001,1.7,70,65,5,4,1,0,2,0,1,0,1,0,55,0,1
18,Marko Arnautović,AUT,FW,Inter,35,1989,0.4,15,15,0,0,0,0,1,0,0,0,0,0,10,0,0
19,Kristjan Asllani,ALB,MF,Inter,22,2002,1.6,165,155,9,2,1,0,4,0,6,0,3,0,147,1,2
20,Arthur Atta,FRA,MF,Udinese,21,2003,0.2,11,10,1,1,0,0,0,0,0,0,0,0,8,0,1
21,Emil Audero,ITA,GK,Como,27,1997,3.0,118,105,13,7,0,0,0,0,0,0,0,0,88,0,0
22,Tommaso Augello,ITA,DF,Cagliari,30,1994,4.5,263,197,65,9,0,0,31,45,11,1,10,0,180,1,7
23,Carlos Augusto,BRA,DF,Inter,25,1999,2.1,122,107,15,3,0,0,3,12,0,0,0,0,110,0,4
24,Yann Aurel Bisseck,GER,DF,Inter,23,2000,2.0,139,138,1,1,0,0,2,0,0,0,0,0,129,0,1
25,Paulo Azzi,BRA,DF,Cagliari,30,1994,3.7,155,139,16,1,0,0,21,15,0,0,0,0,106,0,4
26,Milan Badelj,CRO,MF,Genoa,35,1989,4.4,215,210,4,3,1,2,2,0,1,0,0,0,167,1,2
27,Mitchel Bakker,NED,MF,Atalanta,24,2000,0.2,9,8,1,0,0,0,1,0,1,0,1,0,7,0,0
28,Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,1.7,63,62,1,0,0,1,1,1,0,0,0,0,52,0,2
29,Botond Balogh,HUN,DF,Parma,22,2002,4.8,187,179,8,6,0,0,0,0,0,0,0,0,167,0,0
30,Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,2.7,74,74,0,0,1,1,10,0,0,0,0,0,61,0,0
31,Daniel Bandeira,POR,MF,Hellas Verona,24,2000,2.5,125,113,12,5,0,1,8,0,7,4,3,0,101,0,1
32,Mattia Bani,ITA,DF,Genoa,30,1993,3.5,132,124,7,6,0,0,0,0,0,0,0,0,115,1,2
33,Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,20,20,0,0,0,0,1,0,0,0,0,0,17,0,0
34,Federico Barba,ITA,DF,Como,31,1993,2.0,113,98,15,7,0,0,0,0,0,0,0,0,101,0,0
35,Nicolò Barella,ITA,MF,Inter,27,1997,3.5,201,195,2,1,4,4,5,1,0,0,0,0,167,4,2
36,Davide Bartesaghi,ITA,DF,Milan,18,2005,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
37,Federico Baschirotto,ITA,DF,Lecce,28,1996,6.0,220,175,45,19,0,1,0,3,0,0,0,0,198,0,1
38,Daniele Baselli,ITA,MF,Como,32,1992,0.2,27,26,1,1,0,0,0,0,0,0,0,0,24,0,0
39,Alessandro Bastoni,ITA,DF,Inter,25,1999,4.4,374,334,37,13,1,3,12,19,0,0,0,0,329,3,4
40,Reda Belahyane,FRA,MF,Hellas Verona,20,2004,5.8,227,222,5,5,0,2,0,0,0,0,0,0,192,0,2
41,Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,43,35,7,0,0,0,5,7,0,0,0,0,31,1,0
42,Raoul Bellanova,ITA,DF,Atalanta,24,2000,3.3,137,114,23,2,0,0,21,18,3,0,3,0,109,0,3
43,Andrea Belotti,ITA,FW,Como,30,1993,2.2,39,36,3,0,0,0,1,0,0,0,0,0,30,0,3
44,Lucas Beltrán,ARG,"MF,FW",Fiorentina,23,2001,1.0,45,44,1,0,0,1,0,1,0,0,0,0,33,0,0
45,Ismaël Bennacer,ALG,MF,Milan,26,1997,0.6,47,43,4,2,0,2,4,0,2,2,0,0,43,0,0
46,Medon Berisha,ALB,"MF,FW",Lecce,20,2003,0.9,53,42,11,5,0,0,7,0,5,4,1,0,42,0,1
47,Adrian Bernabe,ESP,MF,Parma,23,2001,4.9,297,257,39,25,2,7,6,1,7,3,1,0,250,1,5
48,Sam Beukema,NED,DF,Bologna,25,1998,5.5,396,384,9,8,1,6,0,1,0,0,0,0,349,3,3
49,Alessandro Bianco,ITA,MF,Monza,21,2002,2.1,128,122,6,6,1,0,1,0,0,0,0,0,112,0,2
50,Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,12,11,0,0,0,1,0,0,0,0,0,0,9,1,0
51,Jaka Bijol,SVN,DF,Udinese,25,1999,6.0,232,216,15,9,0,0,0,0,0,0,0,0,186,1,1
52,Cristiano Biraghi,ITA,DF,Fiorentina,32,1992,4.5,300,239,58,28,0,3,29,8,20,7,8,1,250,3,5
53,Samuele Birindelli,ITA,DF,Monza,25,1999,1.9,87,69,18,2,0,0,10,16,0,0,0,0,69,0,2
54,Emil Bohinen,NOR,MF,Genoa,25,1999,0.8,37,37,0,0,0,0,0,0,0,0,0,0,29,0,3
55,Warren Bondo,FRA,MF,Monza,21,2003,5.1,200,195,5,4,0,2,1,1,0,0,0,0,183,0,1
56,Ange-Yoan Bonny,FRA,FW,Parma,20,2003,4.3,88,80,8,1,1,1,0,0,2,0,0,0,67,0,2
57,Edoardo Bove,ITA,MF,Fiorentina,22,2002,3.2,95,86,9,6,0,3,0,2,1,0,0,0,78,0,4
58,Domagoj Bradarić,CRO,MF,Hellas Verona,24,1999,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
59,Matthias Braunöder,AUT,MF,Como,22,2002,1.5,53,52,1,1,0,0,0,0,0,0,0,0,47,0,1
60,Iker Bravo,ESP,MF,Udinese,19,2005,0.5,15,14,1,1,0,0,0,0,0,0,0,0,14,0,0
61,Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,504,496,8,6,0,1,0,1,0,0,0,0,468,0,0
62,Brenner,BRA,"MF,FW",Udinese,24,2000,3.6,83,75,7,2,1,1,6,1,4,2,2,0,65,1,3
